stage neutrality: 386 fixtures, payload=on, flags /O1 /Oi /EHsc /GS- /c
  [1/386] SAME     add3.cpp  hits=71 regions=43 tuples=309
  [131/386] SAME     w21_census_gate_neg.cpp  hits=118 regions=62 tuples=362
  [132/386] SAME     w22_int_spelling.cpp  hits=182 regions=91 tuples=432
  [133/386] SAME     w22_int_spelling_neg.cpp  hits=93 regions=44 tuples=210
  [134/386] SAME     w232_gl_sep26_implicit.cpp  hits=30 regions=16 tuples=90
  [135/386] SAME     w23_gl_callee_bind.cpp  hits=75 regions=40 tuples=175
  [136/386] SAME     w23_gl_callee_bind_neg.cpp  hits=37 regions=16 tuples=66
  [137/386] SAME     w25_store_leaf.cpp  hits=548 regions=261 tuples=1175
  [138/386] SAME     w25_store_leaf_neg.cpp  hits=219 regions=114 tuples=561
  [139/386] SAME     w26_bool_value.cpp  hits=207 regions=102 tuples=478
  [140/386] SAME     w26_bool_value_neg.cpp  hits=156 regions=86 tuples=589
  [141/386] SAME     w275_entry_park.cpp  hits=189 regions=140 tuples=1910
  [142/386] SAME     w27_fp_reg.cpp  hits=425 regions=194 tuples=871
  [143/386] SAME     w27_fp_reg_qual.cpp  hits=128 regions=58 tuples=258
  [144/386] SAME     w28_fltused_order.cpp  hits=67 regions=32 tuples=145
  [145/386] SAME     w28_fp_store.cpp  hits=182 regions=84 tuples=364
  [146/386] SAME     w28_fp_store_framed.cpp  hits=95 regions=46 tuples=232
  [147/386] SAME     w28_fp_store_framed_neg.cpp  hits=59 regions=31 tuples=169
  [148/386] SAME     w28_fp_store_neg.cpp  hits=163 regions=86 tuples=435
  [149/386] SAME     w29_fp_contract.cpp  hits=210 regions=98 tuples=465
  [150/386] SAME     w30_callseq_tail_intlike.cpp  hits=315 regions=168 tuples=1082
  [151/386] SAME     w30_callseq_tail_intlike_neg.cpp  hits=195 regions=104 tuples=654
  [152/386] SAME     w31_fp_tail.cpp  hits=240 regions=128 tuples=662
  [153/386] SAME     w31_fp_tail_neg.cpp  hits=150 regions=80 tuples=509
  [154/386] SAME     w32_volatile_formal_neg.cpp  hits=210 regions=112 tuples=677
  [155/386] SAME     w32_volatile_free.cpp  hits=102 regions=53 tuples=262
  [156/386] SAME     w34_fp_multi.cpp  hits=405 regions=216 tuples=1208
  [157/386] SAME     w34_fp_multi_neg.cpp  hits=165 regions=88 tuples=535
  [158/386] SAME     w35_offset_run.cpp  hits=330 regions=176 tuples=858
  [159/386] SAME     w35_offset_run_neg.cpp  hits=120 regions=64 tuples=337
  [160/386] SAME     w36_member_call.cpp  hits=375 regions=200 tuples=969
  [161/386] SAME     w36_member_call_neg.cpp  hits=255 regions=136 tuples=781
  [162/386] SAME     w37_bit_and_neg.cpp  hits=174 regions=104 tuples=873
  [163/386] SAME     w38_store_run.cpp  hits=360 regions=178 tuples=898
  [164/386] SAME     w38_store_run_neg.cpp  hits=189 regions=98 tuples=527
  [165/386] SAME     w41_framed_member_call.cpp  hits=375 regions=200 tuples=1189
  [166/386] SAME     w41_framed_member_call_neg.cpp  hits=225 regions=120 tuples=800
  [167/386] SAME     w42_shift_mask.cpp  hits=1674 regions=1240 tuples=16058
  [168/386] SAME     w42_shift_mask_neg.cpp  hits=189 regions=140 tuples=1838
  [169/386] SAME     w43_cmp_shift_or.cpp  hits=885 regions=472 tuples=3240
  [170/386] SAME     w43_cmp_shift_or_neg.cpp  hits=240 regions=128 tuples=841
  [171/386] SAME     w45_store_run_scheduled.cpp  hits=210 regions=112 tuples=780
  [172/386] SAME     w45_store_run_scheduled_neg.cpp  hits=90 regions=48 tuples=307
  [173/386] SAME     w5_chain.cpp  hits=57 regions=29 tuples=164
  [174/386] SAME     w5_tree2.cpp  hits=59 regions=31 tuples=168
  [175/386] SAME     w5_tree3.cpp  hits=60 regions=32 tuples=222
  [176/386] SAME     w5_tree_neg.cpp  hits=161 regions=84 tuples=522
  [177/386] SAME     w6_k_boundary.cpp  hits=30 regions=16 tuples=102
  [178/386] SAME     w6_rel_k.cpp  hits=285 regions=152 tuples=1047
  [179/386] SAME     w6_unsigned_wide.cpp  hits=105 regions=56 tuples=344
  [180/386] SAME     w70_bitwise.cpp  hits=471 regions=240 tuples=1241
  [181/386] SAME     w70_bitwise_neg.cpp  hits=322 regions=161 tuples=816
  [182/386] SAME     w71_alloc_undetermined.cpp  hits=171 regions=87 tuples=469
  [183/386] SAME     w71_alloc_undetermined_neg.cpp  hits=30 regions=16 tuples=96
  [184/386] SAME     w844_store_run_call.cpp  hits=180 regions=96 tuples=918
  [185/386] SAME     w844_store_run_call_neg.cpp  hits=105 regions=56 tuples=456
  [186/386] SAME     w8_cond_tail.cpp  hits=27 regions=20 tuples=224
  [187/386] SAME     w8_cond_tail_neg.cpp  hits=46 regions=32 tuples=312
  [188/386] SAME     w8_cond_tail_value.cpp  hits=54 regions=40 tuples=520
  [189/386] SAME     w9_cmp_zero_le.cpp  hits=103 regions=54 tuples=285
  [190/386] SAME     w9_rel_signed.cpp  hits=162 regions=120 tuples=1308
  [191/386] SAME     w9_rel_unsigned.cpp  hits=162 regions=120 tuples=1308
  [192/386] NOFIRE   wa16_bss_static_reloc.cpp  hits=0 regions=0 tuples=0
  [193/386] NOFIRE   wa16_bss_two_align16.cpp  hits=0 regions=0 tuples=0
  [194/386] NOFIRE   wa16_data_align16.cpp  hits=0 regions=0 tuples=0
  [195/386] NOFIRE   wa16_data_align32.cpp  hits=0 regions=0 tuples=0
  [196/386] NOFIRE   wa16_data_scalar_align16.cpp  hits=0 regions=0 tuples=0
  [197/386] SAME     wa16_dyninit_plain_align16.cpp  hits=15 regions=8 tuples=54
  [198/386] SAME     wadjust_obj_recv.cpp  hits=315 regions=168 tuples=986
  [199/386] SAME     wadjust_obj_recv_neg.cpp  hits=165 regions=88 tuples=547
  [200/386] SAME     wae_assign_dst.cpp  hits=69 regions=34 tuples=160
  [201/386] SAME     wae_assign_dst_neg.cpp  hits=87 regions=45 tuples=260
  [202/386] NOFIRE   walign_data_declalign8.cpp  hits=0 regions=0 tuples=0
  [203/386] SAME     walign_data_poly_object.cpp  hits=15 regions=8 tuples=50
  [204/386] SAME     walign_dyninit_align16.cpp  hits=15 regions=8 tuples=54
  [205/386] SAME     walign_dyninit_poly.cpp  hits=15 regions=8 tuples=54
  [206/386] SAME     walign_dyninit_poly_double.cpp  hits=15 regions=8 tuples=54
  [207/386] SAME     wbdnz_ctr.cpp  hits=600 regions=460 tuples=4780
  [208/386] SAME     wbdnz_ctr_neg.cpp  hits=709 regions=548 tuples=6103
  [209/386] SAME     wbdnz_ctr_then_framed_neg.cpp  hits=45 regions=31 tuples=289
  [210/386] SAME     wbiquad_fp_store_diamond.cpp  hits=46 regions=32 tuples=644
  [211/386] SAME     wbiquad_fp_store_diamond_neg.cpp  hits=322 regions=245 tuples=5658
  [212/386] SAME     wblockir_float_walk.cpp  hits=120 regions=92 tuples=1294
  [213/386] SAME     wblockir_float_walk_neg.cpp  hits=370 regions=286 tuples=4409
  [214/386] SAME     wblockir_float_walk_then_framed_neg.cpp  hits=45 regions=31 tuples=379
  [215/386] SAME     wcb_cmp_two_calls.cpp  hits=284 regions=151 tuples=1341
  [216/386] SAME     wcb_cmp_two_calls_neg.cpp  hits=373 regions=212 tuples=2163
  [217/386] SAME     wcf_neighbours.cpp  hits=205 regions=121 tuples=880
  [218/386] SAME     wcf_shapes.cpp  hits=316 regions=218 tuples=2060
  [219/386] SAME     wcfg1_if_call_join.cpp  hits=235 regions=200 tuples=3600
  [220/386] SAME     wcfg1_if_call_join_neg.cpp  hits=266 regions=224 tuples=3947
  [221/386] SAME     wch_chained_call.cpp  hits=254 regions=135 tuples=940
  [222/386] SAME     wch_chained_call_neg.cpp  hits=210 regions=112 tuples=856
  [223/386] SAME     wcl_chain_link_arg.cpp  hits=405 regions=216 tuples=1804
  [224/386] SAME     wcl_chain_link_arg_neg.cpp  hits=195 regions=104 tuples=920
  [225/386] SAME     wco_chain_tail_load.cpp  hits=285 regions=152 tuples=1123
  [226/386] SAME     wco_chain_tail_load_neg.cpp  hits=165 regions=88 tuples=645
  [227/386] SAME     wco_explicit_return.cpp  hits=195 regions=104 tuples=516
  [228/386] SAME     wcr_cmp_order.cpp  hits=449 regions=239 tuples=2361
  [229/386] SAME     wcr_cmp_order_neg.cpp  hits=443 regions=254 tuples=2713
  [230/386] SAME     wcv_reinterpret.cpp  hits=613 regions=277 tuples=1298
  [231/386] SAME     wcv_reinterpret_neg.cpp  hits=259 regions=126 tuples=613
  [232/386] SAME     wda_dataaddr_neg.cpp  hits=90 regions=48 tuples=316
  [233/386] SAME     wda_neighbours.cpp  hits=89 regions=47 tuples=242
  [234/386] SAME     wdata_static_scan.cpp  hits=138 regions=117 tuples=2085
  [235/386] SAME     wdata_static_scan_neg.cpp  hits=276 regions=234 tuples=4169
  [236/386] SAME     wdec_ec_localcall_neg.cpp  hits=28 regions=14 tuples=66
  [237/386] SAME     wdec_ec_varargs_long_neg.cpp  hits=14 regions=7 tuples=33
  [238/386] SAME     wdec_ec_varargs_neg.cpp  hits=14 regions=7 tuples=33
  [239/386] SAME     wdec_ecshort_eight.cpp  hits=28 regions=14 tuples=66
  [240/386] SAME     wdec_ecshort_leaf.cpp  hits=14 regions=7 tuples=33
  [241/386] SAME     wdec_ecshort_mix.cpp  hits=30 regions=16 tuples=84
  [242/386] SAME     wdivmod_leaf.cpp  hits=58 regions=30 tuples=196
  [243/386] SAME     wdr_neighbours.cpp  hits=157 regions=80 tuples=450
  [244/386] SAME     wdr_virtual_byval.cpp  hits=225 regions=120 tuples=938
  [245/386] SAME     wec_ctor_base.cpp  hits=120 regions=64 tuples=427
  [246/386] SAME     wec_ctor_base_neg.cpp  hits=120 regions=64 tuples=508
  [247/386] SAME     wextdata_guard_chain_shared_tail.cpp  hits=162 regions=141 tuples=4173
  [248/386] SAME     wextdata_guard_chain_shared_tail_neg.cpp  hits=429 regions=373 tuples=11067
  [249/386] SAME     wfcnt_fence_holds_exact.cpp  hits=28 regions=14 tuples=66
  [250/386] SAME     wfence2_forceinline_callee_neg.cpp  hits=117 regions=103 tuples=2839
  [251/386] SAME     wfence2_kept_local_callee.cpp  hits=72 regions=58 tuples=1458
  [252/386] SAME     wfence2_small_callee_neg.cpp  hits=28 regions=14 tuples=66
  [253/386] SAME     wfence2_static_callee_neg.cpp  hits=117 regions=103 tuples=2839
  [254/386] SAME     wfl_chain_tail_fp_load.cpp  hits=255 regions=136 tuples=1003
  [255/386] SAME     wfl_chain_tail_fp_load_neg.cpp  hits=120 regions=64 tuples=534
  [256/386] SAME     wfltret_value_tail.cpp  hits=120 regions=64 tuples=502
  [257/386] SAME     wfltret_value_tail_neg.cpp  hits=143 regions=80 tuples=679
  [258/386] SAME     wfr_argreg.cpp  hits=60 regions=32 tuples=203
  [259/386] SAME     wfr_argreg_member.cpp  hits=30 regions=16 tuples=102
  [260/386] SAME     wfr_argreg_neg.cpp  hits=30 regions=16 tuples=103
  [261/386] SAME     wfr_argreg_types.cpp  hits=105 regions=56 tuples=357
  [262/386] SAME     wfr_cmp_stride.cpp  hits=193 regions=102 tuples=590
  [263/386] SAME     wfr_cmp_stride_neg.cpp  hits=75 regions=40 tuples=264
  [264/386] SAME     whash_loop_then_framed.cpp  hits=46 regions=32 tuples=429
  [265/386] SAME     whash_ptr_walk_loop.cpp  hits=31 regions=24 tuples=379
  [266/386] SAME     wifn_guard_ret_chain.cpp  hits=101 regions=80 tuples=1477
  [267/386] SAME     wifn_guard_ret_chain_neg.cpp  hits=410 regions=340 tuples=6387
  [268/386] SAME     winlfence_local_callee_neg.cpp  hits=336 regions=217 tuples=2869
  [269/386] SAME     winlfence_opaque_callee.cpp  hits=89 regions=47 tuples=295
  [270/386] SAME     wjson_utf8_copy.cpp  hits=108 regions=101 tuples=5491
  [271/386] TRUNCATED wjson_utf8_copy_neg.cpp  REFUSE funcwalk arena-full
  [271/386] TRUNCATED wjson_utf8_copy_neg.cpp  ARENA bytes=4194303 full=1
  [271/386] SAME     wjson_utf8_copy_neg.cpp  hits=1084 regions=711 tuples=38302
  [272/386] SAME     wkg_splice_pos.cpp  hits=255 regions=171 tuples=2550
  [273/386] SAME     wla_lit_call_arg.cpp  hits=509 regions=271 tuples=1530
  [274/386] SAME     wla_lit_call_arg_neg.cpp  hits=300 regions=160 tuples=952
  [275/386] SAME     wlb_moved_formal.cpp  hits=359 regions=191 tuples=981
  [276/386] SAME     wlb_moved_formal_neg.cpp  hits=210 regions=112 tuples=630
  [277/386] SAME     wlin_mixed_bind.cpp  hits=30 regions=16 tuples=161
  [278/386] SAME     wlin_mixed_bind_neg.cpp  hits=45 regions=24 tuples=207
  [279/386] SAME     wlo_dyninit_mixed.cpp  hits=15 regions=8 tuples=40
  [280/386] SAME     wlo_dyninit_pair.cpp  hits=30 regions=16 tuples=104
  [281/386] SAME     wlr_lit_run.cpp  hits=375 regions=200 tuples=1310
  [282/386] SAME     wlr_lit_run_neg.cpp  hits=165 regions=88 tuples=603
  [283/386] SAME     wmain2_eh_scope.cpp  hits=15 regions=8 tuples=89
  [284/386] SAME     wmain2_eh_scope_neg.cpp  hits=15 regions=8 tuples=89
  [285/386] ERR    wmain_no_return.cpp  disarmed replay: tapped replay produced no (or an empty) obj at <home>/tmp/c2rs-cli-stage-2401378-1787307553253243359-284/cap/out.obj — c2 crashed or aborted mid-pass.
stderr:
[c2host] InvokeCompilerPass @10BEBFFD argc=20 argv0=<home>/code/milohax/c2-rs-wt-w-restim/crates/c2-reference/../../compilers/X360/16.00.11886.00/c2.dll
z:\<home>\code\milohax\c2-rs-wt-w-restim\fixtures\cpp\wmain_no_return.cpp(47) : error C4716: 'no_return_call' : must return a value
z:\<home>\code\milohax\c2-rs-wt-w-restim\fixtures\cpp\wmain_no_return.cpp(50) : error C4716: 'no_return_tail' : must return a value
[c2host] returned 1

  [286/386] ERR    wmain_no_return_neg.cpp  disarmed replay: tapped replay produced no (or an empty) obj at <home>/tmp/c2rs-cli-stage-2401378-1787307553323941043-285/cap/out.obj — c2 crashed or aborted mid-pass.
stderr:
[c2host] InvokeCompilerPass @10BEBFFD argc=20 argv0=<home>/code/milohax/c2-rs-wt-w-restim/crates/c2-reference/../../compilers/X360/16.00.11886.00/c2.dll
z:\<home>\code\milohax\c2-rs-wt-w-restim\fixtures\cpp\wmain_no_return_neg.cpp(45) : error C4716: 'neg_multi_reg' : must return a value
z:\<home>\code\milohax\c2-rs-wt-w-restim\fixtures\cpp\wmain_no_return_neg.cpp(49) : error C4716: 'neg_empty' : must return a value
z:\<home>\code\milohax\c2-rs-wt-w-restim\fixtures\cpp\wmain_no_return_neg.cpp(52) : error C4716: 'neg_call_stop' : must return a value
[c2host] returned 1

  [287/386] SAME     wmcall_seq.cpp  hits=120 regions=64 tuples=446
  [288/386] SAME     wmcall_seq_neg.cpp  hits=98 regions=56 tuples=466
  [289/386] SAME     wmmio3_close_call_chain.cpp  hits=92 regions=64 tuples=1155
  [290/386] SAME     wmmio3_close_call_chain_neg.cpp  hits=502 regions=418 tuples=10691
  [291/386] SAME     wmmio3_close_extern_neg.cpp  hits=93 regions=58 tuples=790
  [292/386] SAME     wmmio3_close_sibling_neg.cpp  hits=77 regions=56 tuples=1296
  [293/386] NOFIRE   wnpos_provide_rdata.cpp  hits=0 regions=0 tuples=0
  [294/386] NOFIRE   wnpos_provide_rw.cpp  hits=0 regions=0 tuples=0
  [295/386] NOFIRE   wnpos_provide_sizes.cpp  hits=0 regions=0 tuples=0
  [296/386] SAME     wnpos_refuse_explicit_inst.cpp  hits=15 regions=8 tuples=39
  [297/386] NOFIRE   wnpos_refuse_suppressed.cpp  hits=0 regions=0 tuples=0
  [298/386] SAME     wor_emit_order.cpp  hits=40 regions=19 tuples=104
  [299/386] SAME     wor_emit_order_led.cpp  hits=30 regions=16 tuples=90
  [300/386] SAME     wor_emit_order_neg.cpp  hits=30 regions=16 tuples=68
  [301/386] SAME     worder3_bss_slot_after_text.cpp  hits=15 regions=8 tuples=42
  [302/386] NOFIRE   worder3_bss_slot_extern.cpp  hits=0 regions=0 tuples=0
  [303/386] NOFIRE   worder3_bss_slot_mixed.cpp  hits=0 regions=0 tuples=0
  [304/386] NOFIRE   worder3_bss_slot_y3.cpp  hits=0 regions=0 tuples=0
  [305/386] SAME     wosf_handle_guard.cpp  hits=40 regions=33 tuples=859
  [306/386] SAME     wosf_handle_guard_neg.cpp  hits=399 regions=329 tuples=8611
  [307/386] SAME     wpark_lit_permuted.cpp  hits=159 regions=124 tuples=1918
  [308/386] SAME     wpark_lit_permuted_neg.cpp  hits=177 regions=128 tuples=1730
  [309/386] SAME     wpool2_free_list.cpp  hits=76 regions=55 tuples=651
  [310/386] SAME     wpool2_free_list_neg.cpp  hits=177 regions=128 tuples=1536
  [311/386] SAME     wpool_guard_bclr_fold_neg.cpp  hits=19 regions=12 tuples=99
  [312/386] SAME     wpool_store_leaf_member_value.cpp  hits=15 regions=8 tuples=40
  [313/386] SAME     wpool_store_run_member_value_neg.cpp  hits=15 regions=8 tuples=44
  [314/386] SAME     wr1_sym_addr.cpp  hits=405 regions=216 tuples=1276
  [315/386] SAME     wr1_sym_addr_neg.cpp  hits=195 regions=104 tuples=606
  [316/386] SAME     wr1c_dyninit_extern.cpp  hits=15 regions=8 tuples=54
  [317/386] SAME     wr1c_dyninit_two_objects.cpp  hits=15 regions=8 tuples=54
  [318/386] SAME     wrr_arg_vocab.cpp  hits=120 regions=64 tuples=335
