# DISASSEMBLY-DERIVED (tier 2: addresses).  GENERATED by
# docs/whitebox/scripts/build_ref.py -- do not hand-edit.
# Every addr is an absolute VA in c2.dll sha256 c80981c015166effecc71ad8112d5577a065b2300891dfdb02b9c13787a66258.
# NAVIGATION ONLY.  Nothing here may enter crates/ without a
# docs/whitebox/DISCLOSURE.md row naming the address.
# kind: func-entry | in-func | data | unmapped
# tu_conf: in-anchor (a fact) | gap (a hypothesis, C2_MAP.md 3.1)
#          no-ice-site (a TU the partition cannot see) | n/a (not code)
addr	kind	func	func_size	ncallers	ncallees	tu	tu_conf	subsys	page	conf	label	n_cites	cites
10b02300	data	-	-	-	-	n/a	n/a	-	-	high	globregs-file: assertion filename `...\be\p2\globregs.c`; site 10b5644b in FUN_10b55eae (1468 B) — builds the per-block live/interference bitsets read by color.c	0	-
10b024f8	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_INLINE_FINDINGS.md:1
10b025ec	data	-	-	-	-	n/a	n/a	-	-	unknown	-	3	whitebox/WB_INLINE_FINDINGS.md:2,BOARD.md:1
10b12af8	data	-	-	-	-	n/a	n/a	-	-	unknown	-	2	BOARD.md:1,whitebox/WB_REGALLOC_FINDINGS.md:1
10b12bd4	data	-	-	-	-	n/a	n/a	-	-	unknown	-	2	BOARD.md:1,whitebox/WB_REGALLOC_FINDINGS.md:1
10b13358	data	-	-	-	-	n/a	n/a	-	-	unknown	-	3	rungs/_2026-08-04-w-db-findings.md:2,rungs/_2026-08-04-w-db-prereg.md:1
10b1335c	data	-	-	-	-	n/a	n/a	-	-	unknown	-	3	rungs/_2026-08-04-w-db-findings.md:2,rungs/_2026-08-04-w-db-prereg.md:1
10b13368	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	rungs/_2026-08-04-w-db-findings.md:1
10b13374	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	rungs/_2026-08-04-w-db-findings.md:1
10b13380	data	-	-	-	-	n/a	n/a	-	-	unknown	-	3	rungs/_2026-08-04-w-db-findings.md:1,rungs/_2026-08-04-w-mark-findings.md:1,rungs/_2026-08-04-w-mark-prereg.md:1
10b1338c	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	rungs/_2026-08-04-w-db-findings.md:1
10b13628	data	-	-	-	-	n/a	n/a	-	-	unknown	-	2	whitebox/WB_LOOP_FINDINGS.md:1,whitebox/WB_LOOP_PREREG.md:1
10b13828	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_LOOP_FINDINGS.md:1
10b139d0	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_REGALLOC_FINDINGS.md:1
10b13b5c	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_LOOP_FINDINGS.md:1
10b13bcc	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_LOOP_FINDINGS.md:1
10b13be4	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_LOOP_FINDINGS.md:1
10b13c58	data	-	-	-	-	n/a	n/a	-	-	unknown	-	2	BOARD.md:1,whitebox/WB_REGALLOC_FINDINGS.md:1
10b13d58	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_LOOP_FINDINGS.md:1
10b1410c	data	-	-	-	-	n/a	n/a	-	-	unknown	-	4	whitebox/WB_LOOP_FINDINGS.md:2,whitebox/WB_LOOP_PREREG.md:2
10b165f8	data	-	-	-	-	n/a	n/a	-	-	unknown	-	2	whitebox/C2_MAP.md:1,whitebox/C2_MAP_METHOD.md:1
10b16624	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_EH_FINDINGS.md:1
10b16630	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_EH_FINDINGS.md:1
10b170a4	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_REGALLOC_FINDINGS.md:1
10b170d8	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_REGALLOC_FINDINGS.md:1
10b177b0	data	-	-	-	-	n/a	n/a	-	-	high	regasg-file: assertion filename `...\be\p2\regasg.c`; site 10bc5c02 in FUN_10bc58d5 (1891 B, 10 callees) — the register-ASSIGNMENT pass, distinct from color.c	0	-
10b181c0	data	10b181c0	4	0	0	n/a	n/a	regalloc	P_REGALLOC.md	high	reg-name-table: the PPC register-NAME table, and its index IS c2's register number: 0 noreg, 1 r0, 2 sp, 3 toc, 4..13 r3..r12, 14 r13, 15..32 r14..r31, 33 d0, 34..65 fp0..fp31, 66 cr, 67..74 cr0..cr7, 83 lr, 84 ctr, 229..356 vr0..vr127. ...	7	BOARD.md:2,whitebox/WB_REGALLOC_FINDINGS.md:2,whitebox/WB_SELECT_PREREG.md:2,whitebox/WB_LIVE_FINDINGS.md:1
10b1830c	data	10b1830c	4	0	0	n/a	n/a	-	-	unknown	-	1	whitebox/WB_REGALLOC_FINDINGS.md:1
10b18910	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_DAGORDER_FINDINGS.md:1
10b18990	data	-	-	-	-	n/a	n/a	-	-	medium	type-size-table|sel-signedness-erase: byte table indexed by (tuple type byte & 0x1f); 10c0f7f9 requires the loop compare's entry to be 4 or 2. Best available explanation for the a9 MISS (a 64-bit counter is not converted) — FINDINGS 7.4	16	whitebox/WB_LOOP_FINDINGS.md:5,whitebox/WB_SELECT_FINDINGS.md:4,BOARD.md:3,rungs/2026-08-08-wb-loop.md:1,rungs/2026-08-09-w-bdnz.md:1,rungs/2026-08-09-wb-selfit.md:1
10b189a4	data	-	-	-	-	n/a	n/a	-	-	high	cond-signed-to-unsigned|sel-rel-unsign: Byte remap applied to a relational's condition code when the operand type is unsigned: [0,1,2,7,8,9,10,7,8,9,10,...] i.e. LT->ULT, LE->ULE, GT->UGT, GE->UGE. Read by 0x10c1ac5c and 0x10c1af2d	14	BOARD.md:5,whitebox/WB_SELECT_FINDINGS.md:4,whitebox/WB_SELECT_FINDINGS_R2.md:3,whitebox/WB_SELECT_RECONCILED.md:2
10b189b8	data	-	-	-	-	n/a	n/a	-	-	high	sel-rel-commute: Relation-code remap, 20 bytes: swaps 3<->4, 5<->6, 7<->8, 9<->10 and zeroes 0x0b..0x0e — the OPERAND-SWAP map	7	BOARD.md:3,whitebox/WB_SELECT_FINDINGS.md:3,whitebox/WB_SELECT_RECONCILED.md:1
10b189cc	data	-	-	-	-	n/a	n/a	-	-	high	sel-rel-negate: Relation-code remap, 20 bytes: swaps 1<->2, 3<->6, 4<->5, 7<->0x0a, 8<->9, 0x0b<->0x0c, 0x0d<->0x0e, 0x0f<->0x10, 0x11<->0x12 — the NEGATION map	15	whitebox/WB_MERGER4_FINDINGS.md:4,BOARD.md:3,whitebox/WB_SELECT_FINDINGS.md:3,rungs/2026-08-14-merger4.md:2,whitebox/WB_SELECT_RECONCILED.md:2,whitebox/WB_DAGCLIENTS_FINDINGS.md:1
10b189e0	data	-	-	-	-	n/a	n/a	-	-	unknown	-	2	rungs/2026-08-14-merger4.md:1,whitebox/WB_MERGER4_FINDINGS.md:1
10b18a30	data	-	-	-	-	n/a	n/a	-	-	unknown	-	2	rungs/2026-08-14-merger4.md:1,whitebox/WB_MERGER4_FINDINGS.md:1
10b18c04	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_EH_FINDINGS.md:1
10b18c14	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_EH_FINDINGS.md:1
10b18c24	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_EH_FINDINGS.md:1
10b18c38	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_EH_FINDINGS.md:1
10b18c4c	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_EH_FINDINGS.md:1
10b18c5c	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_EH_FINDINGS.md:1
10b18c70	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_EH_FINDINGS.md:1
10b18c84	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_EH_FINDINGS.md:1
10b18d00	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_EH_FINDINGS.md:1
10b18db4	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/BOARD_PROPOSED.md:1
10b18dbc	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_EH_FINDINGS.md:1
10b18dc4	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_EH_FINDINGS.md:1
10b19698	data	-	-	-	-	n/a	n/a	-	-	unknown	-	3	whitebox/WB_LOOP_PREREG.md:1,whitebox/WB_MEMCPY_FINDINGS.md:1,whitebox/WB_SELECT_PREREG.md:1
10b19700	data	-	-	-	-	n/a	n/a	-	-	unknown	-	4	whitebox/WB_SELECT_FINDINGS_R2.md:3,whitebox/WB_FRAME_FINDINGS.md:1
10b19714	data	-	-	-	-	n/a	n/a	-	-	unknown	-	4	whitebox/WB_MEMCPY_FINDINGS.md:3,BOARD.md:1
10b1971c	data	-	-	-	-	n/a	n/a	-	-	unknown	-	5	whitebox/WB_MEMCPY_FINDINGS.md:4,BOARD.md:1
10b19724	data	-	-	-	-	n/a	n/a	-	-	unknown	-	4	whitebox/WB_MEMCPY_FINDINGS.md:3,BOARD.md:1
10b197c0	data	-	-	-	-	n/a	n/a	-	-	high	cond-code-names: The relational condition-code name pool: ILLEGAL, EQ(1), NE(2), LT(3), LE(4), GT(5), GE(6), ULT(7), ULE(8), UGT(9), UGE(10), then SO/NSO/NS. The enum the carry expander switches on	4	whitebox/WB_SELECT_FINDINGS_R2.md:3,whitebox/WB_SELECT_RECONCILED.md:1
10b197f4	data	-	-	-	-	n/a	n/a	-	-	unknown	-	8	whitebox/WB_SELECT_FINDINGS_R2.md:4,whitebox/WB_SELECT_RECONCILED.md:2,BOARD.md:1,whitebox/WB_SELECT_FINDINGS.md:1
10b1b1f0	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_SELECT_FINDINGS.md:1
10b1b25f	data	-	-	-	-	n/a	n/a	-	-	unknown	-	3	whitebox/WB_SELECT_FINDINGS_R2.md:3
10b1b260	data	10b1b260	4	0	0	n/a	n/a	dag	P_DAG.md	high	md-opcode-table|sel-mnemonic-table: The machine-opcode table: 12-byte records {const char *mnemonic; u32 operand_format; u32 attributes}. Index IS c2's machine opcode. 0 = _first, 661 = _last, 662 = illegal; 1..~620 are the real PPC mnem...	20	whitebox/WB_SELECT_FINDINGS.md:6,whitebox/WB_SELECT_FINDINGS_R2.md:5,BOARD.md:3,rungs/2026-08-09-wb-select2.md:2,rungs/2026-08-09-wb-select.md:1,rungs/2026-08-09-wb-tables.md:1
10b1b308	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_SELECT_FINDINGS.md:1
10b1b35c	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_SELECT_FINDINGS.md:1
10b1d190	data	10b1d190	4	0	0	n/a	n/a	-	-	high	md-simplified-mnemonics: The simplified/extended-mnemonic table, 16-byte records {name, real opcode, fixed operand field, flag}: subi->addi(11), subis->addis(14), subic->addic(12), sub->subf(385), subc->subfc(387), blt/ble/beq...->bc(33)...	3	whitebox/WB_SELECT_FINDINGS_R2.md:2,whitebox/WB_SELECT_RECONCILED.md:1
10b1e7d0	data	-	-	-	-	n/a	n/a	-	-	high	str-ctr-inlineasm-diag: "Backend doesn't support encoding of CTR changes, use bdnz\n". Single xref 0x10c03112, which is in p2\ppc\inlnasm.c — it is the INLINE-ASM diagnostic, NOT the loop lowering. Recorded so the string is not mistaken ...	1	whitebox/WB_LOOP_FINDINGS.md:1
10b1fd08	data	-	-	-	-	n/a	n/a	-	-	high	pat-convert|emit.optab.convert: Per-operator opcode table: CONVERT/WIDEN -> extsb extsh extsw mr, by type index	32	whitebox/WB_SELECT_RECONCILED.md:7,whitebox/WB_SELECT_FINDINGS_R2.md:6,whitebox/WB_TABLES_FINDINGS.md:6,rungs/2026-08-09-wb-selfit.md:4,BOARD.md:3,whitebox/WB_SELECT_FINDINGS.md:2
10b1fe38	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_LOOP_FINDINGS.md:1
10b200d8	data	-	-	-	-	n/a	n/a	-	-	high	section-name-literal: ".XBLD$W" IS a literal inside c2.dll (raw 0x1f4d8), xref from 0x10c12530 in FUN_10c1252c - explains the 2nd .XBLD$W section in every obj; ".CRT" / ".text$yc" / ".rdata$r" remain ABSENT	0	-
10b202b0	data	-	-	-	-	n/a	n/a	dag	P_DAG.md	unknown	-	2	whitebox/WB_DAGORDER_FINDINGS.md:2
10b221d0	data	-	-	-	-	n/a	n/a	dag	P_DAG.md	unknown	-	1	whitebox/WB_DAGORDER_FINDINGS.md:1
10b24160	data	-	-	-	-	n/a	n/a	-	-	unknown	-	2	BOARD.md:1,whitebox/WB_DAGCLIENTS_FINDINGS.md:1
10b25e48	data	-	-	-	-	n/a	n/a	-	-	unknown	-	12	whitebox/WB_READER_FINDINGS.md:6,BOARD.md:1,rungs/2026-08-08-wb-eh.md:1,rungs/2026-08-08-wb-reader.md:1,whitebox/WB_EH_FINDINGS.md:1,whitebox/WB_EH_PREREG.md:1
10b25f10	data	-	-	-	-	n/a	n/a	-	-	unknown	-	3	whitebox/WB_READER_FINDINGS.md:2,rungs/2026-08-08-wb-reader.md:1
10b26268	data	-	-	-	-	n/a	n/a	-	-	unknown	-	1	whitebox/WB_READER_FINDINGS.md:1
10b264e4	data	-	-	-	-	n/a	n/a	-	-	unknown	-	2	whitebox/WB_EH_FINDINGS.md:2
10b266d0	func-entry	10b266d0	147	2	0	-	gap	-	-	unknown	-	3	whitebox/C2_MAP.md:3
10b26763	func-entry	10b26763	29	4	1	-	gap	-	-	unknown	-	2	BOARD.md:1,whitebox/WB_LIVE_FINDINGS.md:1
10b26ca4	func-entry	10b26ca4	33	15	1	-	gap	-	-	unknown	-	1	whitebox/WB_LIVE_FINDINGS.md:1
10b26eb2	func-entry	10b26eb2	27	144	1	-	gap	-	-	high	bitset-free: 144 callers; always paired with a store of 0 into the field it frees	1	whitebox/WB_CHOOSER_FINDINGS.md:1
10b26ecd	func-entry	10b26ecd	13	177	1	-	gap	-	-	high	bitset-new: bitset library, 177 callers — allocate. The five below are the set primitives every allocator pass in p2 is written over; identified by caller count and by their use in 10b55eae/10b2ceb7 with a register number as the element	2	whitebox/WB_CHOOSER_FINDINGS.md:1,whitebox/WB_LIVE_FINDINGS.md:1
10b26eda	func-entry	10b26eda	33	206	1	-	gap	-	-	high	bitset-insert: 206 callers; called as (set, *(u32*)(reg + 0x1c)) throughout globregs.c and color.c	5	whitebox/WB_CHOOSER_FINDINGS.md:3,rungs/2026-08-08-wb-chooser.md:1,whitebox/WB_LIVE_FINDINGS.md:1
10b26efb	func-entry	10b26efb	60	70	2	-	gap	-	-	high	bitset-remove: 70 callers; the inverse of 10b26eda at the same call shapes	2	whitebox/WB_CHOOSER_FINDINGS.md:1,whitebox/WB_LIVE_FINDINGS.md:1
10b26f37	func-entry	10b26f37	47	168	1	-	gap	-	-	high	bitset-test: 168 callers, returns a char; guards every insert in 10b2ceb7's coalescing test	3	whitebox/WB_CHOOSER_FINDINGS.md:1,whitebox/WB_LIVE_FINDINGS.md:1,whitebox/WB_LOOP_FINDINGS.md:1
10b27091	func-entry	10b27091	107	35	3	-	gap	-	-	unknown	-	1	whitebox/WB_LIVE_FINDINGS.md:1
10b270fc	func-entry	10b270fc	51	16	0	-	gap	-	-	unknown	-	4	whitebox/WB_LIVE_FINDINGS.md:3,BOARD.md:1
10b2712f	func-entry	10b2712f	82	65	2	-	gap	-	-	unknown	-	1	whitebox/WB_LIVE_FINDINGS.md:1
10b271a5	func-entry	10b271a5	82	58	1	-	gap	-	-	unknown	-	3	whitebox/WB_LIVE_FINDINGS.md:3
10b271f7	func-entry	10b271f7	23	4	2	-	gap	-	-	unknown	-	1	whitebox/WB_LIVE_FINDINGS.md:1
10b27290	func-entry	10b27290	137	30	1	-	gap	-	-	high	bitset-pop: 30 callers; returns 0xffffffff when empty — the iteration idiom in 10b55eae	2	whitebox/WB_CHOOSER_FINDINGS.md:1,whitebox/WB_LIVE_FINDINGS.md:1
10b2733d	func-entry	10b2733d	63	11	1	-	gap	-	-	unknown	-	1	whitebox/WB_LIVE_FINDINGS.md:1
10b27474	func-entry	10b27474	132	92	2	-	gap	-	-	unknown	-	1	whitebox/WB_LIVE_FINDINGS.md:1
10b275d8	func-entry	10b275d8	27	6	2	-	gap	-	-	unknown	-	8	whitebox/WB_LIVE_FINDINGS.md:5,BOARD.md:3
10b276e4	func-entry	10b276e4	91	6	1	-	gap	-	-	high	emit-marker: sets +0x4c|=0x20, recurses over the func record reference list	18	rungs/_2026-08-04-w-mark-findings.md:5,rungs/_2026-08-04-w-mark-prereg.md:3,rungs/_2026-08-04-w-refs-findings.md:3,BOARD.md:1,rungs/2026-08-08-w-phase7.md:1,rungs/_2026-08-04-w-roots-findings.md:1
10b276ea	in-func	10b276e4	91	6	1	-	gap	-	-	high	emit-marker	2	rungs/_2026-08-04-w-mark-findings.md:1,rungs/_2026-08-04-w-mark-prereg.md:1
10b276ee	in-func	10b276e4	91	6	1	-	gap	-	-	high	emit-marker	2	rungs/_2026-08-04-w-mark-findings.md:1,rungs/_2026-08-04-w-mark-prereg.md:1
10b276fb	in-func	10b276e4	91	6	1	-	gap	-	-	high	emit-marker	2	rungs/_2026-08-04-w-mark-findings.md:1,rungs/_2026-08-04-w-mark-prereg.md:1
10b27701	in-func	10b276e4	91	6	1	-	gap	-	-	high	emit-marker	3	rungs/_2026-08-04-w-mark-findings.md:2,rungs/_2026-08-04-w-mark-prereg.md:1
10b2770a	in-func	10b276e4	91	6	1	-	gap	-	-	high	emit-marker	2	rungs/_2026-08-04-w-mark-findings.md:1,rungs/_2026-08-04-w-mark-prereg.md:1
10b27715	in-func	10b276e4	91	6	1	-	gap	-	-	high	emit-marker	6	rungs/_2026-08-04-w-skip-findings.md:2,BOARD.md:1,rungs/_2026-08-04-w-mark-findings.md:1,rungs/_2026-08-04-w-mark-prereg.md:1,rungs/_2026-08-04-w-skip-prereg.md:1
10b27720	in-func	10b276e4	91	6	1	-	gap	-	-	high	emit-marker	2	rungs/_2026-08-04-w-mark-findings.md:1,rungs/_2026-08-04-w-mark-prereg.md:1
10b27729	in-func	10b276e4	91	6	1	-	gap	-	-	high	emit-marker	2	rungs/_2026-08-04-w-mark-findings.md:1,rungs/_2026-08-04-w-mark-prereg.md:1
10b27731	in-func	10b276e4	91	6	1	-	gap	-	-	high	emit-marker	6	rungs/_2026-08-04-w-mark-findings.md:3,rungs/_2026-08-04-w-mark-prereg.md:2,rungs/_2026-08-04-w-refs-findings.md:1
10b2773e	in-func	10b276e4	91	6	1	-	gap	-	-	high	emit-marker	2	rungs/_2026-08-04-w-mark-findings.md:1,rungs/_2026-08-04-w-mark-prereg.md:1
10b2773f	func-entry	10b2773f	79	1	0	-	gap	-	-	high	emit-closure: additive fixpoint over the inline-candidate list; non-LTCG path	6	whitebox/C2_MAP.md:3,rungs/_2026-08-04-w-mark-findings.md:1,rungs/_2026-08-04-w-mark-prereg.md:1,whitebox/BOARD_PROPOSED.md:1
10b2778e	func-entry	10b2778e	354	4	1	-	gap	-	-	high	emit-order: topological sort (callee before caller) of DAT_10c4630c	14	whitebox/WB_CHOOSER_FINDINGS.md:5,BOARD.md:3,rungs/2026-08-08-wb-chooser.md:3,rungs/2026-08-08-wb-frame.md:1,whitebox/C2_MAP.md:1,whitebox/WB_FRAME_FINDINGS.md:1
10b278f0	func-entry	10b278f0	166	2	1	-	gap	-	-	high	emit-reachability: recursive reachability step; sets rec+0xb1 bit 0x4	0	-
10b27b7f	func-entry	10b27b7f	416	1	5	-	gap	-	-	high	emit-prune: LTCG pruner; clears +0x4c bit 0x20; "not allowed to be inlined (globally unreferenced)"	10	rungs/_2026-08-04-w-roots-findings.md:2,BOARD.md:1,rungs/_2026-08-04-w-mark-findings.md:1,rungs/_2026-08-04-w-mark-prereg.md:1,rungs/_2026-08-04-w-refs-findings.md:1,rungs/_2026-08-04-w-roots-prereg.md:1
10b27cde	in-func	10b27b7f	416	1	5	-	gap	-	-	high	emit-prune	2	whitebox/BOARD_PROPOSED.md:1,whitebox/C2_MAP.md:1
10b27db2	func-entry	10b27db2	32	3	1	-	gap	-	-	high	inline-candidate-reg: pushes a record onto DAT_10c3cf68, sets sym+0x80	1	rungs/_2026-08-04-w-skip-findings.md:1
10b27dbd	in-func	10b27db2	32	3	1	-	gap	-	-	high	inline-candidate-reg	2	rungs/_2026-08-04-w-mark-findings.md:1,rungs/_2026-08-04-w-mark-prereg.md:1
10b27dc3	in-func	10b27db2	32	3	1	-	gap	-	-	high	inline-candidate-reg	1	rungs/_2026-08-04-w-mark-findings.md:1
10b27ec7	func-entry	10b27ec7	87	2	3	-	gap	-	-	unknown	-	6	rungs/_2026-08-04-w-skip-findings.md:3,rungs/_2026-08-04-w-skip-prereg.md:2,BOARD.md:1
10b27f3c	func-entry	10b27f3c	400	1	7	-	gap	-	-	high	emit-prune-driver: sets DAT_10c2e308=1; selects 10b2773f vs 10b27b7f on DAT_10c45f9c	23	rungs/_2026-08-04-w-skip-findings.md:4,rungs/_2026-08-04-w-emitp-findings.md:3,rungs/_2026-08-04-w-skip-prereg.md:3,BOARD.md:2,rungs/_2026-08-04-w-db-findings.md:2,rungs/_2026-08-04-w-emitp-prereg.md:2
10b27f8b	in-func	10b27f3c	400	1	7	-	gap	-	-	high	emit-prune-driver	2	rungs/_2026-08-04-w-skip-findings.md:1,rungs/_2026-08-04-w-skip-prereg.md:1
10b27fd1	in-func	10b27f3c	400	1	7	-	gap	-	-	high	emit-prune-driver	2	rungs/_2026-08-04-w-skip-findings.md:1,rungs/_2026-08-04-w-skip-prereg.md:1
10b281af	func-entry	10b281af	34	0	0	-	gap	coff	P_COFF.md	high	coff-writer: sole _time64 caller; TimeDateStamp callback; returns 0 when DAT_10c2ead8 set	2	whitebox/C2_MAP.md:2
10b281f7	func-entry	10b281f7	32	1	0	-	gap	coff	P_COFF.md	high	comdat: identity map 1..8 for the COMDAT Selection byte	2	whitebox/C2_MAP.md:2
10b28261	func-entry	10b28261	163	1	0	-	gap	coff	P_COFF.md	high	section-align|section-select: align -> nibble: (log2(a)+1)<<20, 1->0x100000 ... 0x1000->0xD00000	3	rungs/2026-08-18-c2map2.md:2,whitebox/C2_MAP.md:1
10b28304	func-entry	10b28304	172	1	0	-	gap	coff	P_COFF.md	high	section-select: inverse of 10b28261	1	whitebox/C2_MAP.md:1
10b283b0	func-entry	10b283b0	74	4	2	-	gap	coff	P_COFF.md	high	section-comdat|comdat: COMDAT spin-off: FUN_10be74cf(base->name+4, base->class+0x3b, newidx, base->kind+0x4d, selection, sym); copies +0x43 and +0x53 from base; stores ".data" into child+4 when base kind==1 (consumer of that store NOT id...	2	whitebox/BOARD_PROPOSED.md:1,whitebox/C2_MAP.md:1
10b28548	func-entry	10b28548	62	1	1	-	gap	coff	P_COFF.md	high	debug-symbol-gate: writes .debug$S records 0xb/0xc, gated on kind + flags37 0x200 + the emit bit	1	whitebox/C2_MAP.md:1
10b28586	func-entry	10b28586	548	1	9	coff.c	in-anchor	coff	P_COFF.md	high	coff-writer: _wfopen_s(objpath,"wb"); Machine 0x1f2/0xc13; @comp.id; creates .drectve	9	whitebox/C2_MAP.md:7,whitebox/PREREG.md:2
10b287b8	func-entry	10b287b8	183	4	10	coff.c	gap	coff	P_COFF.md	high	section-emit|section-select: per-section finalize: kind=FUN_10be7727, align=FUN_10be77a3(kind,sect)->sect+0x43, then FUN_10b982d6; ORs IMAGE_SCN_LNK_COMDAT	3	whitebox/C2_MAP.md:3
10b2888e	func-entry	10b2888e	48	5	4	coff.c	gap	coff	P_COFF.md	medium	coff-writer: emits section then pads raw data to sect[0x18]	1	whitebox/C2_MAP.md:1
10b289fd	func-entry	10b289fd	46	0	3	coff.c	gap	coff	P_COFF.md	high	section-align|section-select: ORs FUN_10b28261(sect+0x43) into chars ONLY when (sect[0x53] & 0xF00000)==0; proven by an IL override carrying align nibble 5	2	rungs/2026-08-18-c2map2.md:1,whitebox/C2_MAP.md:1
