# DISASSEMBLY-DERIVED (tier 2: addresses, tu, label, hop;
# tier 1: the 53 file names, the string TEXT, the import names).
# GENERATED by docs/whitebox/scripts/build_funcs.py -- do not hand-edit.
# ONE ROW PER FUNCTION IN THE IMAGE -- the complement of ADDR.tsv,
# which has a row only for an address already cited or labelled.
# Every addr is an absolute VA in c2.dll sha256 c80981c015166effecc71ad8112d5577a065b2300891dfdb02b9c13787a66258.
# NAVIGATION ONLY.  Nothing here may enter crates/ without a
# docs/whitebox/DISCLOSURE.md row naming the address.
# cover:   paged > labelled > cited > none
# conf:    a hand label's own confidence, else `mech` -- WEAKER than [R].
#          [R] says the instructions were read correctly; `mech` says only
#          that these tables join here.
# tu_conf: in-anchor (a fact) | gap (a hypothesis, C2_MAP.md 3.1)
#          no-ice-site (a TU the partition cannot see) | n/a
# hop:     undirected call-graph distance to the nearest paged/labelled
#          function; 0 = itself, >6 prints as `6+`, `-` = unreachable.
addr	size	kind	tu	tu_conf	subsys	page	cover	conf	label	ncallers	ncallees	hop	nstr	strings	nimp	imports
10b27da5	13	ghidra	-	gap	-	-	none	mech	-	3	1	1	0	-	0	-
10b27db2	32	ghidra	-	gap	-	-	labelled	high	inline-candidate-reg: pushes a record onto DAT_10c3cf68, sets sym+0x80	3	1	0	0	-	0	-
10b27dd2	21	ghidra	-	gap	-	-	none	mech	-	3	1	2	0	-	0	-
10b27de7	21	ghidra	-	gap	-	-	none	mech	-	1	1	2	0	-	0	-
10b27dfc	13	ghidra	-	gap	-	-	none	mech	-	3	1	2	0	-	0	-
10b27e09	28	ghidra	-	gap	-	-	none	mech	-	1	1	2	0	-	0	-
10b27e25	46	ghidra	-	gap	-	-	none	mech	-	1	1	2	0	-	0	-
10b27e53	56	ghidra	-	gap	-	-	none	mech	-	1	2	3	0	-	0	-
10b27e8b	60	ghidra	-	gap	-	-	none	mech	-	2	1	3	0	-	0	-
10b27ec7	87	ghidra	-	gap	-	-	cited	mech	-	2	3	1	0	-	0	-
10b27f1e	30	ghidra	-	gap	-	-	none	mech	-	1	0	4	0	-	0	-
10b27f3c	400	ghidra	-	gap	-	-	labelled	high	emit-prune-driver: sets DAT_10c2e308=1; selects 10b2773f vs 10b27b7f on DAT_10c45f9c	1	7	0	0	-	0	-
10b280cc	19	ghidra	-	gap	-	-	none	mech	-	1	1	3	0	-	0	-
10b280df	46	ghidra	-	gap	-	-	none	mech	-	4	2	2	0	-	0	-
10b2810d	40	ghidra	-	gap	-	-	none	mech	-	1	3	2	0	-	0	-
10b28135	49	ghidra	-	gap	-	-	none	mech	-	1	3	2	0	-	0	-
10b281af	34	ghidra	-	gap	coff	P_COFF.md	paged	high	coff-writer: sole _time64 caller; TimeDateStamp callback; returns 0 when DAT_10c2ead8 set	0	0	0	0	-	1	_time64
10b281d1	38	ghidra	-	gap	-	-	none	mech	-	1	1	1	0	-	0	-
10b281f7	32	ghidra	-	gap	coff	P_COFF.md	paged	high	comdat: identity map 1..8 for the COMDAT Selection byte	1	0	0	0	-	0	-
10b2823b	38	ghidra	-	gap	symbol	P_SYMBOL.md	paged	high	coff-sym-type: 38 bytes: THE COFF `Type` word. Returns 0x20 (IMAGE_SYM_DTYPE_FUNCTION<<4) iff ([sym+0x30]==3 AND (byte)([sym+0x31]+0xac) <= 2, i.e. +0x31 in {0x54,0x55,0x56}) OR ([sym+0x30]==4 AND [s…	2	0	0	0	-	0	-
10b28261	163	ghidra	-	gap	coff	P_COFF.md	paged	high	section-align|section-select: align -> nibble: (log2(a)+1)<<20, 1->0x100000 ... 0x1000->0xD00000	1	0	0	0	-	0	-
10b28304	172	ghidra	-	gap	coff	P_COFF.md	paged	high	section-select: inverse of 10b28261	1	0	0	0	-	0	-
10b283b0	74	ghidra	-	gap	coff	P_COFF.md	paged	high	section-comdat|comdat: COMDAT spin-off: FUN_10be74cf(base->name+4, base->class+0x3b, newidx, base->kind+0x4d, selection, sym); copies +0x43 and +0x53 from base; stores ".data" into child+4 when base …	4	2	0	1	.data	0	-
10b283fa	207	ghidra	-	gap	-	-	none	mech	-	2	2	1	0	-	0	-
10b28548	62	ghidra	-	gap	coff	P_COFF.md	paged	high	debug-symbol-gate: writes .debug$S records 0xb/0xc, gated on kind + flags37 0x200 + the emit bit	1	1	0	0	-	0	-
10b28586	548	ghidra	coff.c	in-anchor	coff	P_COFF.md	paged	high	coff-writer: _wfopen_s(objpath,"wb"); Machine 0x1f2/0xc13; @comp.id; creates .drectve	1	9	0	3	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\co… | .drectve | DRECTVE	1	_wfopen_s
10b287aa	14	ghidra	coff.c	gap	coff	P_COFF.md	none	mech	-	0	1	3	0	-	0	-
10b287b8	183	ghidra	coff.c	gap	coff	P_COFF.md	paged	high	section-emit|section-select: per-section finalize: kind=FUN_10be7727, align=FUN_10be77a3(kind,sect)->sect+0x43, then FUN_10b982d6; ORs IMAGE_SCN_LNK_COMDAT	4	10	0	0	-	0	-
10b2888e	48	ghidra	coff.c	gap	coff	P_COFF.md	paged	medium	coff-writer: emits section then pads raw data to sect[0x18]	5	4	0	0	-	0	-
10b288be	289	ghidra	coff.c	gap	coff	P_COFF.md	none	mech	-	2	5	1	0	-	0	-
10b289df	30	ghidra	coff.c	gap	coff	P_COFF.md	none	mech	-	1	2	1	0	-	0	-
10b289fd	46	ghidra	coff.c	gap	coff	P_COFF.md	paged	high	section-align|section-select: ORs FUN_10b28261(sect+0x43) into chars ONLY when (sect[0x53] & 0xF00000)==0; proven by an IL override carrying align nibble 5	0	3	0	0	-	0	-
10b28a9b	724	ghidra	coff.c	gap	symbol	P_SYMBOL.md	paged	high	coff-symbol-writer|sym-emit-driver: writes COFF symbols; marks alias targets; emits /EXPORT: directives	2	12	0	2	/EXPORT: | ,DATA	0	-
10b29050	140	ghidra	coff.c	gap	coff	P_COFF.md	cited	mech	-	0	6	1	0	-	0	-
10b290dc	207	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	cited	mech	-	1	2	1	1	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\co…	1	fseek
10b291ab	6	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b291b1	45	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	paged	high	coff-writer: section-number ceiling check at 0xfeff	3	1	0	0	-	0	-
10b291de	62	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	paged	high	coff-writer: non-COMDAT output-section descriptor ctor: +4 name, +8 chars, +0x10 index	1	1	0	0	-	0	-
10b2921c	76	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	paged	high	comdat: COMDAT output-section descriptor ctor: +0x16 Selection, +0x18 assoc number	1	1	0	0	-	0	-
10b29268	21	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	paged	high	coff-writer: ORs alignment bits into descriptor +8 (Characteristics)	1	1	0	0	-	0	-
10b2927d	59	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	0	1	2	0	-	0	-
10b292b8	64	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	1	1	0	-	0	-
10b292f8	19	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	2	1	2	0	-	0	-
10b2930b	7	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	4	0	2	0	-	0	-
10b29312	6	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	4	0	-	0	-
10b29318	88	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	4	0	-	0	-
10b293b3	57	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	high	pdb-client	6	1	2	1	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\co…	1	SigForPbCb
10b293ec	80	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	4	0	-	0	-
10b2943c	79	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	2	0	1	0	-	0	-
10b2948b	104	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	paged	high	comdat: 18-byte aux section-definition; Selection/Number only when chars&0x1000	2	0	0	0	-	0	-
10b294f3	83	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	2	0	-	0	-
10b29546	29	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	2	0	2	0	-	0	-
10b29563	58	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	2	0	-	2	_wunlink,fclose
10b2959d	97	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	3	2	0	-	2	GetTempFileNameW,GetTempPathW
10b295fe	313	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	1	2	1	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\co…	1	fwrite
10b29737	204	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	2	2	2	0	-	2	_wfopen_s,fclose
10b29803	44	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	3	1	2	0	-	0	-
10b2982f	481	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	2	2	1	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\co…	4	_wfopen_s,fclose,fseek
10b29a10	176	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	2	2	1	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\co…	2	fread,fseek
10b29af7	364	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	2	0	1	1	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\co…	5	fread,free,fseek
10b29c63	23	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	4	0	2	0	-	0	-
10b29c7a	275	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	2	2	2	1	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\co…	1	fwrite
10b29d8d	13	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	1	2	0	-	0	-
10b29d9a	13	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	3	1	1	0	-	0	-
10b29da7	75	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	3	2	0	-	0	-
10b29df2	32	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	3	1	1	0	-	0	-
10b29e12	13	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	3	1	2	0	-	0	-
10b29e1f	11	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	1	2	0	-	0	-
10b29e2a	57	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	2	2	0	-	0	-
10b29e63	13	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	0	1	2	0	-	0	-
10b29e70	23	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b29e87	17	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	0	0	-	0	-	0	-
10b29e98	21	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b29ead	26	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b29ec7	58	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b29f01	8	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b29f09	26	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	0	0	-	0	-	0	-
10b29f23	32	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	2	0	3	0	-	0	-
10b29f43	16	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b29f53	108	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	2	1	0	-	0	-
10b29fbf	13	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	1	2	0	-	0	-
10b29fcc	13	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	1	2	0	-	0	-
10b29fd9	11	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	1	2	0	-	0	-
10b29fe4	7	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	6+	0	-	0	-
10b29feb	8	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	2	1	3	0	-	0	-
10b29ff3	4	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b29ff7	4	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b29ffb	4	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	3	0	-	0	-
10b29fff	7	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b2a006	32	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	2	2	3	0	-	0	-
10b2a026	12	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b2a032	15	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	4	0	-	0	-
10b2a041	15	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	1	3	0	-	0	-
10b2a050	21	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	2	2	0	-	0	-
10b2a065	7	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b2a06c	9	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	4	0	-	0	-
10b2a075	18	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	4	0	-	0	-
10b2a087	22	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	4	0	-	1	strcpy_s
10b2a09d	7	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b2a0a4	6	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b2a0aa	7	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b2a0b1	6	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b2a0b7	7	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b2a0be	7	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	0	-	0	-	0	-
10b2a0c5	5	thunk	coffemit.c	in-anchor	coff	P_COFF.md	none	high	thunk	1	0	2	0	-	0	-
10b2a0ca	90	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	2	3	3	0	-	0	-
10b2a124	106	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	3	3	1	1	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\co…	0	-
10b2a18e	119	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	3	1	0	-	1	ftell
10b2a205	96	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	2	2	0	-	0	-
10b2a265	78	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	paged	high	coff-writer: symbol Name encoder: <=8 inline zero-padded else {0,strtab-offset}	2	3	0	0	-	0	-
10b2a2b3	359	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	5	1	1	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\co…	0	-
10b2a41a	38	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	2	3	0	-	0	-
10b2a440	287	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	5	4	2	1	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\co…	0	-
10b2a55f	18	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	1	3	0	-	0	-
10b2a571	28	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	2	1	1	0	-	0	-
10b2a58d	16	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	1	1	0	-	0	-
10b2a59d	88	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	1	4	1	.file	0	-
10b2a5f5	71	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	2	2	0	-	0	-
10b2a63c	35	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	1	2	0	-	0	-
10b2a65f	248	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	5	1	0	-	0	-
10b2a757	164	ghidra	coffemit.c	in-anchor	symbol	P_SYMBOL.md	paged	high	sym-add: 164 bytes, coffemit.c anchor: append a COFF symbol with no aux. SectionNumber comes in EDX; DAT_10c2e218 (value 0) is the UNDEFINED section number	4	4	0	0	-	0	-
10b2a7fb	60	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	1	3	1	0	-	0	-
10b2a870	43	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	2	1	2	0	-	0	-
10b2a89b	63	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	0	2	2	0	-	0	-
10b2a8da	92	ghidra	coffemit.c	in-anchor	symbol	P_SYMBOL.md	paged	high	sym-add-aux: 92 bytes, coffemit.c anchor: append a COFF symbol AND hand back a pointer to its one aux slot. Also the target of the kind-4 `[sym+0x20]&0x20000000` path at 10b28c48	2	3	0	0	-	0	-
10b2a936	1050	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	paged	high	coff-writer: fwrite 0x12 IMAGE_SYMBOL; ".file" memcpy 8, SectionNumber 0xfffe, StorageClass 0x67	0	7	0	2	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\co… | .file	2	fputc,fwrite
10b2ad50	159	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	paged	high	coff-writer: 8-byte Name encoder: '/'+decimal, '//'+base64 over the 64-char alphabet	1	5	0	1	ABCDEFGHIJKLMNOPQRSTUVWXYZabcdefghijklmnopqrs…	0	-
10b2adef	31	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	none	mech	-	0	2	3	0	-	0	-
10b2ae0e	321	ghidra	coffemit.c	in-anchor	coff	P_COFF.md	paged	high	coff-writer: latches Machine/FILE*/alloc/err/time callbacks into 0x10c44bf0..0x10c44c0c	1	4	0	1	@comp.id	0	-
