# op      dec  mnemonic       base_word  form  arm
0x002b    43  bl            48000001     7  10bfa285
0x002c    44  bla           48000003     7  10bfa285
0x002d    45  cmp           7c000000    14  10bfa34f
0x002e    46  cmpi          2c000000    15  10bfa3ba
0x002f    47  cmpl          7c000040    14  10bfa34f
0x0030    48  cmpli         28000000    16  10bfa415
0x0031    49  cntlzd        7c000074    38  10bfa587
0x0032    50  cntlzw        7c000034    38  10bfa587
0x0033    51  cntlzw.       7c000035    38  10bfa587
0x0034    52  crand         4c000202     9  10bfa81d
0x0035    53  crandc        4c000102     9  10bfa81d
0x0036    54  creqv         4c000242     9  10bfa81d
0x0037    55  crnand        4c0001c2     9  10bfa81d
0x0038    56  crnor         4c000042     9  10bfa81d
0x0039    57  cror          4c000382     9  10bfa81d
0x003a    58  crorc         4c000342     9  10bfa81d
0x003b    59  crxor         4c000182     9  10bfa81d
0x003c    60  dcbf          7c0000ac   111  10bfa8ae
0x003d    61  dcbi          7c0003ac   111  10bfa8ae
0x003e    62  dcbst         7c00006c   111  10bfa8ae
0x003f    63  dcbt          7c00022c   111  10bfa8ae
0x0040    64  dcbtst        7c0001ec   111  10bfa8ae
0x0041    65  dcbz          7c0007ec   111  10bfa8ae
0x0042    66  dcbz128       7c0007ec   111  10bfa8ae
0x0043    67  divd          7c0003d2    49  10bfa456
0x0044    68  divd.         7c0003d3    49  10bfa456
0x0045    69  divdo         7c0007d2    49  10bfa456
0x0046    70  divdo.        7c0007d3    49  10bfa456
0x0047    71  divdu         7c000392    49  10bfa456
0x0048    72  divdu.        7c000393    49  10bfa456
0x0049    73  divduo        7c000792    49  10bfa456
0x004a    74  divduo.       7c000793    49  10bfa456
0x004b    75  divw          7c0003d6    49  10bfa456
0x004c    76  divw.         7c0003d7    49  10bfa456
0x004d    77  divwo         7c0007d6    49  10bfa456
0x004e    78  divwo.        7c0007d7    49  10bfa456
0x004f    79  divwu         7c000396    49  10bfa456
0x0050    80  divwu.        7c000397    49  10bfa456
0x0051    81  divwuo        7c000796    49  10bfa456
0x0052    82  divwuo.       7c000797    49  10bfa456
0x0053    83  dss           7c00066c    72  10bfae1b
0x0054    84  dst           7c0002ac    73  10bfae1b
0x0055    85  dstst         7c0002ec    73  10bfae1b
0x0056    86  eciwx         7c00026c    49  10bfa456
0x0057    87  ecowx         7c00036c    61  10bfa1a1
0x0058    88  eieio         7c0006ac     0  10bfae1b
0x0059    89  eqv           7c000238    39  10bfa53b
0x005a    90  eqv.          7c000239    39  10bfa53b
0x005b    91  extsb         7c000774    38  10bfa587
0x005c    92  extsb.        7c000775    38  10bfa587
0x005d    93  extsh         7c000734    38  10bfa587
0x005e    94  extsh.        7c000735    38  10bfa587
0x005f    95  extsw         7c0007b4    38  10bfa587
0x0060    96  extsw.        7c0007b5    38  10bfa587
0x0061    97  fabs          fc000210    25  10bfa4df
0x0062    98  fabs.         fc000211    25  10bfa4df
0x0063    99  fadd          fc00002a    22  10bfa456
0x0064   100  fadd.         fc00002b    22  10bfa456
0x0065   101  fadds         ec00002a    22  10bfa456
0x0066   102  fadds.        ec00002b    22  10bfa456
0x0067   103  fcfid         fc00069c    25  10bfa4df
0x0068   104  fcfid.        fc00069d    25  10bfa4df
0x0069   105  fcmpo         fc000040    12  10bfa34f
0x006a   106  fcmpu         fc000000    12  10bfa34f
0x006b   107  fctid         fc00065c    25  10bfa4df
0x006c   108  fctid.        fc00065d    25  10bfa4df
0x006d   109  fctidz        fc00065e    25  10bfa4df
0x006e   110  fctidz.       fc00065f    25  10bfa4df
0x006f   111  fctiw         fc00001c    25  10bfa4df
0x0070   112  fctiw.        fc00001d    25  10bfa4df
0x0071   113  fctiwz        fc00001e    25  10bfa4df
0x0072   114  fctiwz.       fc00001f    25  10bfa4df
0x0073   115  fdiv          fc000024    22  10bfa456
0x0074   116  fdiv.         fc000025    22  10bfa456
0x0075   117  fdivs         ec000024    22  10bfa456
0x0076   118  fdivs.        ec000025    22  10bfa456
0x0077   119  fmadd         fc00003a    24  10bfa49a
0x0078   120  fmadd.        fc00003b    24  10bfa49a
0x0079   121  fmadds        ec00003a    24  10bfa49a
0x007a   122  fmadds.       ec00003b    24  10bfa49a
0x007b   123  fmr           fc000090    25  10bfa4df
0x007c   124  fmr.          fc000091    25  10bfa4df
0x007d   125  fmsub         fc000038    24  10bfa49a
0x007e   126  fmsub.        fc000039    24  10bfa49a
0x007f   127  fmsubs        ec000038    24  10bfa49a
0x0080   128  fmsubs.       ec000039    24  10bfa49a
0x0081   129  fmul          fc000032    23  10bfa478
0x0082   130  fmul.         fc000033    23  10bfa478
0x0083   131  fmuls         ec000032    23  10bfa478
0x0084   132  fmuls.        ec000033    23  10bfa478
0x0085   133  fnabs         fc000110    25  10bfa4df
0x0086   134  fnabs.        fc000111    25  10bfa4df
0x0087   135  fneg          fc000050    25  10bfa4df
0x0088   136  fneg.         fc000051    25  10bfa4df
0x0089   137  fnmadd        fc00003e    24  10bfa49a
0x008a   138  fnmadd.       fc00003f    24  10bfa49a
0x008b   139  fnmadds       ec00003e    24  10bfa49a
0x008c   140  fnmadds.      ec00003f    24  10bfa49a
0x008d   141  fnmsub        fc00003c    24  10bfa49a
0x008e   142  fnmsub.       fc00003d    24  10bfa49a
0x008f   143  fnmsubs       ec00003c    24  10bfa49a
0x0090   144  fnmsubs.      ec00003d    24  10bfa49a
0x0091   145  fres          ec000030    25  10bfa4df
0x0092   146  fres.         ec000031    25  10bfa4df
0x0093   147  frsp          fc000018    25  10bfa4df
0x0094   148  frsp.         fc000019    25  10bfa4df
0x0095   149  frsqrte       fc000034    25  10bfa4df
0x0096   150  frsqrte.      fc000035    25  10bfa4df
0x0097   151  fsel          fc00002e    24  10bfa49a
0x0098   152  fsel.         fc00002f    24  10bfa49a
0x0099   153  fsqrt         fc00002c    25  10bfa4df
0x009a   154  fsqrt.        fc00002d    25  10bfa4df
0x009b   155  fsqrts        ec00002c    25  10bfa4df
0x009c   156  fsqrts.       ec00002d    25  10bfa4df
0x009d   157  fsub          fc000028    22  10bfa456
0x009e   158  fsub.         fc000029    22  10bfa456
0x009f   159  fsubs         ec000028    22  10bfa456
0x00a0   160  fsubs.        ec000029    22  10bfa456
0x00a1   161  icbi          7c0007ac   111  10bfa8ae
0x00a2   162  isync         4c00012c     0  10bfae1b
0x00a3   163  lbz           88000000    45  10bfa667
0x00a4   164  lbzu          8c000000    45  10bfa667
0x00a5   165  lbzux         7c0000ee    50  10bfa17f
0x00a6   166  lbzx          7c0000ae    50  10bfa17f
0x00a7   167  ld            e8000000    46  10bfa667
0x00a8   168  ldbrx         7c000428    50  10bfa17f
0x00a9   169  ldarx         7c0000a8    50  10bfa17f
0x00aa   170  ldu           e8000001    46  10bfa667
0x00ab   171  ldux          7c00006a    50  10bfa17f
0x00ac   172  ldx           7c00002a    50  10bfa17f
0x00ad   173  lfd           c8000000    21  10bfa667
0x00ae   174  lfdu          cc000000    21  10bfa667
0x00af   175  lfdux         7c0004ee    26  10bfa17f
0x00b0   176  lfdx          7c0004ae    26  10bfa17f
0x00b1   177  lfs           c0000000    21  10bfa667
0x00b2   178  lfsu          c4000000    21  10bfa667
0x00b3   179  lfsux         7c00046e    26  10bfa17f
0x00b4   180  lfsx          7c00042e    26  10bfa17f
0x00b5   181  lha           a8000000    45  10bfa667
0x00b6   182  lhau          ac000000    45  10bfa667
0x00b7   183  lhaux         7c0002ee    50  10bfa17f
0x00b8   184  lhax          7c0002ae    50  10bfa17f
0x00b9   185  lhbrx         7c00062c    50  10bfa17f
0x00ba   186  lhz           a0000000    45  10bfa667
0x00bb   187  lhzu          a4000000    45  10bfa667
0x00bc   188  lhzux         7c00026e    50  10bfa17f
0x00bd   189  lhzx          7c00022e    50  10bfa17f
0x00be   190  lmw           b8000000    45  10bfa667
0x00bf   191  lswi          7c0004aa    48  10bfa81d
0x00c0   192  lswx          7c00042a    50  10bfa17f
0x00c1   193  lvebx         7c00000e    74  10bfa14e
0x00c2   194  lvehx         7c00004e    74  10bfa14e
0x00c3   195  lvewx         7c00008e    74  10bfa14e
0x00c4   196  lvewx128      10000083    88  10bfa98f
0x00c5   197  lvlx          7c00040e    74  10bfa14e
0x00c6   198  lvlx128       10000403    88  10bfa98f
0x00c7   199  lvlxl         7c00060e    74  10bfa14e
0x00c8   200  lvlxl128      10000603    88  10bfa98f
0x00c9   201  lvrx          7c00044e    74  10bfa14e
0x00ca   202  lvrx128       10000443    88  10bfa98f
0x00cb   203  lvrxl         7c00064e    74  10bfa14e
0x00cc   204  lvrxl128      10000643    88  10bfa98f
0x00cd   205  lvx           7c0000ce    74  10bfa14e
0x00ce   206  lvx128        100000c3    88  10bfa98f
0x00cf   207  lvxl          7c0002ce    74  10bfa14e
0x00d0   208  lvxl128       100002c3    88  10bfa98f
0x00d1   209  lwa           e8000002    46  10bfa667
0x00d2   210  lwarx         7c000028    50  10bfa17f
0x00d3   211  lwaux         7c0002ea    50  10bfa17f
0x00d4   212  lwax          7c0002aa    50  10bfa17f
0x00d5   213  lwbrx         7c00042c    50  10bfa17f
0x00d6   214  lwz           80000000    45  10bfa667
0x00d7   215  lwzu          84000000    45  10bfa667
0x00d8   216  lwzux         7c00006e    50  10bfa17f
0x00d9   217  lwzx          7c00002e    50  10bfa17f
0x00da   218  lvsl          7c00000c    74  10bfa14e
0x00db   219  lvsl128       10000001    88  10bfa98f
0x00dc   220  lvsr          7c00004c    74  10bfa14e
0x00dd   221  lvsr128       10000041    88  10bfa98f
0x00de   222  mcrf          4c000000    11  10bfa81d
0x00df   223  mcrfs         fc000080    11  10bfa81d
0x00e0   224  mcrxr         7c000400    10  10bfa81d
0x00e1   225  mfcr          7c000026    44  10bfa75c
0x00e2   226  mffs          fc00048e    20  10bfa75c
0x00e3   227  mffs.         fc00048f    20  10bfa75c
0x00e4   228  mfmsr         7c0000a6    44  10bfa75c
0x00e5   229  mfocrf        7c000026   109  10bfae00
0x00e6   230  mfspr         7c0002a6    54  10bfa76a
0x00e7   231  mfsr          7c0004a6   113  10bfae1b
0x00e8   232  mfsrin        7c000526   113  10bfae1b
0x00e9   233  mftb          7c0002e6   108  10bfa7d0
0x00ea   234  mfvscr        10000604    75  10bfa0b4
0x00eb   235  mtcrf         7c000120    17  10bfa827
0x00ec   236  mtfsb0        fc00008c     8  10bfa81d
0x00ed   237  mtfsb0.       fc00008d     8  10bfa81d
0x00ee   238  mtfsb1        fc00004c     8  10bfa81d
0x00ef   239  mtfsb1.       fc00004d     8  10bfa81d
0x00f0   240  mtfsf         fc00058e    19  10bfa83a
0x00f1   241  mtfsf.        fc00058f    19  10bfa83a
0x00f2   242  mtfsfi        fc00010c    13  10bfa81d
0x00f3   243  mtfsfi.       fc00010d    13  10bfa81d
0x00f4   244  mtmsr         7c000124    57  10bfa79e
0x00f5   245  mtmsrd        7c000164    57  10bfa79e
0x00f6   246  mtmsrdee      7c010164    57  10bfa79e
0x00f7   247  mtocrf        7c000120   110  10bfade3
0x00f8   248  mtspr         7c0003a6    62  10bfa7a3
0x00f9   249  mtsr          7c0001a4   113  10bfae1b
0x00fa   250  mtsrin        7c0001e4   113  10bfae1b
0x00fb   251  mtvscr        10000644    76  10bfa0d4
0x00fc   252  mulhd         7c000092    49  10bfa456
0x00fd   253  mulhd.        7c000093    49  10bfa456
0x00fe   254  mulhdo        7c000492    49  10bfa456
0x00ff   255  mulhdo.       7c000493    49  10bfa456
0x0100   256  mulhdu        7c000012    49  10bfa456
0x0101   257  mulhdu.       7c000013    49  10bfa456
0x0102   258  mulhduo       7c000412    49  10bfa456
0x0103   259  mulhduo.      7c000413    49  10bfa456
0x0104   260  mulhw         7c000096    49  10bfa456
0x0105   261  mulhw.        7c000097    49  10bfa456
0x0106   262  mulhwo        7c000496    49  10bfa456
0x0107   263  mulhwo.       7c000497    49  10bfa456
0x0108   264  mulhwu        7c000016    49  10bfa456
0x0109   265  mulhwu.       7c000017    49  10bfa456
0x010a   266  mulhwuo       7c000416    49  10bfa456
0x010b   267  mulhwuo.      7c000417    49  10bfa456
0x010c   268  mulld         7c0001d2    49  10bfa456
0x010d   269  mulld.        7c0001d3    49  10bfa456
0x010e   270  mulldo        7c0005d2    49  10bfa456
0x010f   271  mulldo.       7c0005d3    49  10bfa456
0x0110   272  mulli         1c000000    51  10bfa4ed
0x0111   273  mullw         7c0001d6    49  10bfa456
0x0112   274  mullw.        7c0001d7    49  10bfa456
0x0113   275  mullwo        7c0005d6    49  10bfa456
0x0114   276  mullwo.       7c0005d7    49  10bfa456
0x0115   277  nand          7c0003b8    39  10bfa53b
0x0116   278  nand.         7c0003b9    39  10bfa53b
0x0117   279  neg           7c0000d0    47  10bfa4c8
0x0118   280  neg.          7c0000d1    47  10bfa4c8
0x0119   281  nego          7c0004d0    47  10bfa4c8
0x011a   282  nego.         7c0004d1    47  10bfa4c8
0x011b   283  nor           7c0000f8    39  10bfa53b
0x011c   284  nor.          7c0000f9    39  10bfa53b
0x011d   285  or            7c000378    39  10bfa53b
0x011e   286  or.           7c000379    39  10bfa53b
0x011f   287  orc           7c000338    39  10bfa53b
0x0120   288  orc.          7c000339    39  10bfa53b
0x0121   289  ori           60000000    43  10bfa56b
0x0122   290  oris          64000000    43  10bfa56b
0x0123   291  rfi           4c000064     0  10bfae1b
0x0124   292  rfid          4c000024     0  10bfae1b
0x0125   293  rldcl         78000010    66  10bfad3b
0x0126   294  rldcl.        78000011    66  10bfad3b
0x0127   295  rldcr         78000012    67  10bfad3b
0x0128   296  rldcr.        78000013    67  10bfad3b
0x0129   297  rldic         78000008    68  10bfad76
0x012a   298  rldic.        78000009    68  10bfad76
0x012b   299  rldicl        78000000    68  10bfad76
0x012c   300  rldicl.       78000001    68  10bfad76
0x012d   301  rldicr        78000004    69  10bfad76
0x012e   302  rldicr.       78000005    69  10bfad76
0x012f   303  rldimi        7800000c    68  10bfad76
0x0130   304  rldimi.       7800000d    68  10bfad76
0x0131   305  rlwimi        50000000    56  10bfa719
0x0132   306  rlwimi.       50000001    56  10bfa719
0x0133   307  rlwinm        54000000    42  10bfa6dc
0x0134   308  rlwinm.       54000001    42  10bfa6dc
0x0135   309  rlwnm         5c000000    40  10bfa6a1
0x0136   310  rlwnm.        5c000001    40  10bfa6a1
0x0137   311  sc            44000002   112  10bfae1b
0x0138   312  slbia         7c0003e4     0  10bfae1b
0x0139   313  slbie         7c000364   113  10bfae1b
0x013a   314  slbmfee       7c000726   113  10bfae1b
0x013b   315  slbmfev       7c0006a6   113  10bfae1b
0x013c   316  slbmte        7c000324   113  10bfae1b
0x013d   317  sld           7c000036    39  10bfa53b
0x013e   318  sld.          7c000037    39  10bfa53b
0x013f   319  slw           7c000030    39  10bfa53b
0x0140   320  slw.          7c000031    39  10bfa53b
0x0141   321  srad          7c000634    39  10bfa53b
0x0142   322  srad.         7c000635    39  10bfa53b
0x0143   323  sradi         7c000674    70  10bfadb7
0x0144   324  sradi.        7c000675    70  10bfadb7
0x0145   325  sraw          7c000630    39  10bfa53b
0x0146   326  sraw.         7c000631    39  10bfa53b
0x0147   327  srawi         7c000670    41  10bfa685
0x0148   328  srawi.        7c000671    41  10bfa685
0x0149   329  srd           7c000436    39  10bfa53b
0x014a   330  srd.          7c000437    39  10bfa53b
0x014b   331  srw           7c000430    39  10bfa53b
0x014c   332  srw.          7c000431    39  10bfa53b
0x014d   333  stb           98000000    58  10bfa676
0x014e   334  stbu          9c000000    58  10bfa676
0x014f   335  stbux         7c0001ee    61  10bfa1a1
0x0150   336  stbx          7c0001ae    61  10bfa1a1
0x0151   337  std           f8000000    71  10bfa676
0x0152   338  stdbrx        7c000528    61  10bfa1a1
0x0153   339  stdcx         7c0001ac    61  10bfa1a1
0x0154   340  stdcx.        7c0001ad    61  10bfa1a1
0x0155   341  stdu          f8000001    71  10bfa676
0x0156   342  stdux         7c00016a    61  10bfa1a1
0x0157   343  stdx          7c00012a    61  10bfa1a1
0x0158   344  stdx.         7c00012b    61  10bfa1a1
0x0159   345  stfd          d8000000    27  10bfa676
0x015a   346  stfdu         dc000000    27  10bfa676
0x015b   347  stfdux        7c0005ee    28  10bfa1a1
0x015c   348  stfdx         7c0005ae    28  10bfa1a1
0x015d   349  stfiwx        7c0007ae    28  10bfa1a1
0x015e   350  stfs          d0000000    27  10bfa676
0x015f   351  stfsu         d4000000    27  10bfa676
0x0160   352  stfsux        7c00056e    28  10bfa1a1
0x0161   353  stfsx         7c00052e    28  10bfa1a1
0x0162   354  sth           b0000000    58  10bfa676
0x0163   355  sthbrx        7c00072c    61  10bfa1a1
0x0164   356  sthu          b4000000    58  10bfa676
0x0165   357  sthux         7c00036e    61  10bfa1a1
0x0166   358  sthx          7c00032e    61  10bfa1a1
0x0167   359  stmw          bc000000    58  10bfa676
0x0168   360  stswi         7c0005aa    60  10bfa81d
0x0169   361  stswx         7c00052a    61  10bfa1a1
0x016a   362  stvebx        7c00010e    77  10bfa18b
0x016b   363  stvehx        7c00014e    77  10bfa18b
0x016c   364  stvewx        7c00018e    77  10bfa18b
0x016d   365  stvewx128     10000183    90  10bfa94b
0x016e   366  stvlx         7c00050e    77  10bfa18b
0x016f   367  stvlx128      10000503    90  10bfa94b
0x0170   368  stvlxl        7c00070e    77  10bfa18b
0x0171   369  stvlxl128     10000703    90  10bfa94b
0x0172   370  stvrx         7c00054e    77  10bfa18b
0x0173   371  stvrx128      10000543    90  10bfa94b
0x0174   372  stvrxl        7c00074e    77  10bfa18b
0x0175   373  stvrxl128     10000743    90  10bfa94b
0x0176   374  stvx          7c0001ce    77  10bfa18b
0x0177   375  stvx128       100001c3    90  10bfa94b
0x0178   376  stvxl         7c0003ce    77  10bfa18b
0x0179   377  stvxl128      100003c3    90  10bfa94b
0x017a   378  stw           90000000    58  10bfa676
0x017b   379  stwbrx        7c00052c    61  10bfa1a1
0x017c   380  stwcx         7c00012c    61  10bfa1a1
0x017d   381  stwcx.        7c00012d    61  10bfa1a1
0x017e   382  stwu          94000000    58  10bfa676
0x017f   383  stwux         7c00016e    61  10bfa1a1
0x0180   384  stwx          7c00012e    61  10bfa1a1
0x0181   385  subf          7c000050    49  10bfa456
0x0182   386  subf.         7c000051    49  10bfa456
0x0183   387  subfc         7c000010    49  10bfa456
0x0184   388  subfc.        7c000011    49  10bfa456
0x0185   389  subfco        7c000410    49  10bfa456
0x0186   390  subfco.       7c000411    49  10bfa456
0x0187   391  subfe         7c000110    49  10bfa456
0x0188   392  subfe.        7c000111    49  10bfa456
0x0189   393  subfeo        7c000510    49  10bfa456
0x018a   394  subfeo.       7c000511    49  10bfa456
0x018b   395  subfic        20000000    51  10bfa4ed
0x018c   396  subfme        7c0001d0    47  10bfa4c8
0x018d   397  subfme.       7c0001d1    47  10bfa4c8
0x018e   398  subfmeo       7c0005d0    47  10bfa4c8
0x018f   399  subfmeo.      7c0005d1    47  10bfa4c8
0x0190   400  subfo         7c000450    49  10bfa456
0x0191   401  subfo.        7c000451    49  10bfa456
0x0192   402  subfze        7c000190    47  10bfa4c8
0x0193   403  subfze.       7c000191    47  10bfa4c8
0x0194   404  subfzeo       7c000590    47  10bfa4c8
0x0195   405  subfzeo.      7c000591    47  10bfa4c8
0x0196   406  sync          7c0004ac   113  10bfae1b
0x0197   407  td            7c000088    63  10bfa7f4
0x0198   408  tdi           08000000    64  10bfa801
0x0199   409  tlbia         7c0002e4     0  10bfae1b
0x019a   410  tlbie         7c000264   113  10bfae1b
0x019b   411  tlbsync       7c00046c     0  10bfae1b
0x019c   412  tw            7c000008    63  10bfa7f4
0x019d   413  twi           0c000000    64  10bfa801
0x019e   414  vaddcuw       10000180    78  10bf9f91
0x019f   415  vaddfp        1000000a    78  10bf9f91
0x01a0   416  vaddfp128     14000010    92  10bfa9f0
0x01a1   417  vaddsbs       10000300    78  10bf9f91
0x01a2   418  vaddshs       10000340    78  10bf9f91
0x01a3   419  vaddsws       10000380    78  10bf9f91
0x01a4   420  vaddubm       10000000    78  10bf9f91
0x01a5   421  vaddubs       10000200    78  10bf9f91
0x01a6   422  vadduhm       10000040    78  10bf9f91
0x01a7   423  vadduhs       10000240    78  10bf9f91
0x01a8   424  vadduwm       10000080    78  10bf9f91
0x01a9   425  vadduws       10000280    78  10bf9f91
0x01aa   426  vand          10000404    78  10bf9f91
0x01ab   427  vand128       14000210    92  10bfa9f0
0x01ac   428  vandc         10000444    78  10bf9f91
0x01ad   429  vandc128      14000250    92  10bfa9f0
0x01ae   430  vavgsb        10000502    78  10bf9f91
0x01af   431  vavgsh        10000542    78  10bf9f91
0x01b0   432  vavgsw        10000582    78  10bf9f91
0x01b1   433  vavgub        10000402    78  10bf9f91
0x01b2   434  vavguh        10000442    78  10bf9f91
0x01b3   435  vavguw        10000482    78  10bf9f91
0x01b4   436  vcfpsxws      100003ca    79  10bfa015
0x01b5   437  vcfpsxws128   18000230   101  10bfaa42
0x01b6   438  vcfpuxws      1000038a    79  10bfa015
0x01b7   439  vcfpuxws128   18000270   101  10bfaa42
0x01b8   440  vcfsx         1000034a    79  10bfa015
0x01b9   441  vcfux         1000030a    79  10bfa015
0x01ba   442  vcmpbfp       100003c6    78  10bf9f91
0x01bb   443  vcmpbfp.      100007c6    78  10bf9f91
0x01bc   444  vcmpbfp128    18000180    92  10bfa9f0
0x01bd   445  vcmpbfp128.   180001c0    92  10bfa9f0
0x01be   446  vcmpeqfp      100000c6    78  10bf9f91
0x01bf   447  vcmpeqfp.     100004c6    78  10bf9f91
0x01c0   448  vcmpeqfp128   18000000    92  10bfa9f0
0x01c1   449  vcmpeqfp128.  18000040    92  10bfa9f0
0x01c2   450  vcmpequb      10000006    78  10bf9f91
0x01c3   451  vcmpequb.     10000406    78  10bf9f91
0x01c4   452  vcmpequh      10000046    78  10bf9f91
0x01c5   453  vcmpequh.     10000446    78  10bf9f91
0x01c6   454  vcmpequw      10000086    78  10bf9f91
0x01c7   455  vcmpequw.     10000486    78  10bf9f91
0x01c8   456  vcmpequw128   18000200    92  10bfa9f0
0x01c9   457  vcmpequw128.  18000240    92  10bfa9f0
0x01ca   458  vcmpgefp      100001c6    78  10bf9f91
0x01cb   459  vcmpgefp.     100005c6    78  10bf9f91
0x01cc   460  vcmpgefp128   18000080    92  10bfa9f0
0x01cd   461  vcmpgefp128.  180000c0    92  10bfa9f0
0x01ce   462  vcmpgtfp      100002c6    78  10bf9f91
0x01cf   463  vcmpgtfp.     100006c6    78  10bf9f91
0x01d0   464  vcmpgtfp128   18000100    92  10bfa9f0
0x01d1   465  vcmpgtfp128.  18000140    92  10bfa9f0
0x01d2   466  vcmpgtsb      10000306    78  10bf9f91
0x01d3   467  vcmpgtsb.     10000706    78  10bf9f91
0x01d4   468  vcmpgtsh      10000346    78  10bf9f91
0x01d5   469  vcmpgtsh.     10000746    78  10bf9f91
0x01d6   470  vcmpgtsw      10000386    78  10bf9f91
0x01d7   471  vcmpgtsw.     10000786    78  10bf9f91
0x01d8   472  vcmpgtub      10000206    78  10bf9f91
0x01d9   473  vcmpgtub.     10000606    78  10bf9f91
0x01da   474  vcmpgtuh      10000246    78  10bf9f91
0x01db   475  vcmpgtuh.     10000646    78  10bf9f91
0x01dc   476  vcmpgtuw      10000286    78  10bf9f91
0x01dd   477  vcmpgtuw.     10000686    78  10bf9f91
0x01de   478  vcsxwfp       1000034a    79  10bfa015
0x01df   479  vcsxwfp128    180002b0    93  10bfaa7e
0x01e0   480  vctsxs        100003ca    79  10bfa015
0x01e1   481  vctuxs        1000038a    79  10bfa015
0x01e2   482  vcuxwfp       1000030a    79  10bfa015
0x01e3   483  vcuxwfp128    180002f0    93  10bfaa7e
0x01e4   484  vexptefp      1000018a    80  10bfa082
0x01e5   485  vexptefp128   180006b0    91  10bfa9bd
0x01e6   486  vlogefp       100001ca    80  10bfa082
0x01e7   487  vlogefp128    180006f0    91  10bfa9bd
0x01e8   488  vmaddcfp128   14000110   102  10bfab48
0x01e9   489  vmaddfp       1000002e    81  10bf9fd1
0x01ea   490  vmaddfp128    140000d0   102  10bfab48
0x01eb   491  vmaxfp        1000040a    78  10bf9f91
0x01ec   492  vmaxfp128     18000280    92  10bfa9f0
0x01ed   493  vmaxsb        10000102    78  10bf9f91
0x01ee   494  vmaxsh        10000142    78  10bf9f91
0x01ef   495  vmaxsw        10000182    78  10bf9f91
0x01f0   496  vmaxub        10000002    78  10bf9f91
0x01f1   497  vmaxuh        10000042    78  10bf9f91
0x01f2   498  vmaxuw        10000082    78  10bf9f91
0x01f3   499  vminfp        1000044a    78  10bf9f91
0x01f4   500  vminfp128     180002c0    92  10bfa9f0
0x01f5   501  vminsb        10000302    78  10bf9f91
0x01f6   502  vminsh        10000342    78  10bf9f91
0x01f7   503  vminsw        10000382    78  10bf9f91
0x01f8   504  vminub        10000202    78  10bf9f91
0x01f9   505  vminuh        10000242    78  10bf9f91
0x01fa   506  vminuw        10000282    78  10bf9f91
0x01fb   507  vmrghb        1000000c    78  10bf9f91
0x01fc   508  vmrghh        1000004c    78  10bf9f91
0x01fd   509  vmrghw        1000008c    78  10bf9f91
0x01fe   510  vmrghw128     18000300    92  10bfa9f0
0x01ff   511  vmrglb        1000010c    78  10bf9f91
0x0200   512  vmrglh        1000014c    78  10bf9f91
0x0201   513  vmrglw        1000018c    78  10bf9f91
0x0202   514  vmrglw128     18000340    92  10bfa9f0
0x0203   515  vmsum3fp128   14000190    94  10bfa9f0
0x0204   516  vmsum4fp128   140001d0    94  10bfa9f0
0x0205   517  vmulfp128     14000090    94  10bfa9f0
0x0206   518  vnmsubfp      1000002f    81  10bf9fd1
0x0207   519  vnmsubfp128   14000150   102  10bfab48
0x0208   520  vnor          10000504    78  10bf9f91
