# SAMPLE-B re-frozen BY CONTENT -- board #3045's named fix.
# dc3 stamp: 15a64d92f1975868e55a1c670d312a8e464074c3  dirty: 0
# source list: work/w-inline/sample_b.txt (byte-identical; this file only adds hashes)
# rows: 100  missing: 0
tu	sha256	bytes
src/system/synth/FxSendEQ.cpp	6069cba578d40a4556d8b953155e121c096b015797c3d810f79c366a3ecaf050	3080
src/system/synth/MeterEffectMonitor.cpp	5e76ec38078897ddea89009a53c03622365918ed05dbf93a03e2537049f8caa1	1495
src/system/rndobj/Shockwave.cpp	87797ff80099fc4ee9efebda761dd0850b3311b8c3ba2ebaf818eeb27dd8b267	2679
src/lazer/net_ham/HamStoreCartJobs.cpp	43463737cefd25bec13ac533114812f1923cb7774ee744aca229a7faf5da0022	2856
src/system/hamobj/CharCameraInput.cpp	239cd5ad4e76cf93e75c9485c2aea434bda4af2ef878d75fbbe6f5ac7c39ebb2	2583
src/system/char/CharIKHead.cpp	c72cf30b86282a8764cb445320b8977639f718707b93fa09784ea5cfbfd4361b	7947
src/lazer/game/HamUserMgr.cpp	070d536996e0a0744a1aa37a187b74877c9616dcb123ab0095bab11d1ddf00fc	2907
src/system/net/SessionJobs_Xbox.cpp	97e4d6bb4a0cbd591f4687d6cb65cf658fe1232ad20fe90762591cae1844e9e1	4741
src/system/hamobj/MoveAsyncDetector.cpp	b029efe39016d8d6ba188a32142b52758d23d3a1ab3d27671d2cec75c8c27907	11976
src/system/utl/UTF8.cpp	f261ad4084803b1c68476ba39c57bcedd5e5e37e124a419b2876065f1bc1144a	10509
src/lazer/meta_ham/DifficultyProvider.cpp	8a6bbf371551bdea5a7f8eb81b37291dbf86294cc8d40416a3839143657d1909	2433
src/system/math/Decibels.cpp	1b116b14f735e13a2e21f8c29dccf1f64cbcd88d7a13de789427edf9c8090aa4	363
src/lazer/meta_ham/SongSelectPanel.cpp	027dd9681012ed0b422eecb4712a4c6b1e60a685a67beff54a483eae2acd2d61	3056
src/system/decomp_pch.cpp	1889383d86c0ff29f45eae1915638e4a1924e1d6f5980bf35e718c14f08c3639	24
src/system/hamobj/MoveParent.cpp	784582c4df0986982bbb6a8261dfab0a98d1ee81b54e35acd57a845cd9826324	4767
src/system/gesture/WaveToTurnOnLight.cpp	1639b1c95e2627bfde060260e3665abb565966c0cb64a2820c16650819da6c8e	4691
src/system/gesture/HighFiveGestureFilter.cpp	498b2d2e94e393a557aac44bc7b709987e45402effce1f708a69c91bab28a387	2566
src/system/gesture/FreestyleMotionFilter.cpp	0756b6c59b731bbcb9a0ca80c96152f4d71c491605af0545a8f40b23d04400e7	2302
src/lazer/game/Game.cpp	844cd6603b78b3f4a53e56e9b015b1da963d22ddd0d4666f014e114172c15e8f	43120
src/system/rndobj/Flare.cpp	adf55100bc9a3b364dd99362a15eda89fd5cc50e9962b8f8e08de7d955bab0d7	9292
src/lazer/meta_ham/SigninScreen.cpp	8b359010cb6e97dba98ff41cf7ffcd1f72cad14ee2c59568ae7970afe0f8c2f4	1403
src/system/os/FileCache.cpp	ce7df63443ea9c92f561efb4d137e2a01a3ea7e2836ae61ef0db482ef3c7e5b3	12718
src/lazer/meta_ham/ChallengeSortNode.cpp	c00ed9750de52cddd7f2d488ca882067d308d6ecf0957be053ee22d90aec5a1c	20920
src/lazer/meta_ham/HamStoreFilterProvider.cpp	e7dca935b7782177ee4cc98804662afafc25112003f5337063d7b7aff01f2cbc	1481
src/xdk/LIBCMT/rtti.cpp	d1ed65f504ade005839459ecf9dfb03018aba6fe9874c0a3bffed6493ccab672	229
src/system/obj/Utl.cpp	7ba5271f00fd93e78a9c78a7d4c519fd9db4842e7136d37726617be5ef4b40ef	20003
src/system/meta/StorePanel.cpp	74eff86177bdd9b14015f0fa563057564e81864512decf62f17f166f87635bc2	25623
src/lazer/meta_ham/MovieProvider.cpp	9ac7b149802c0f2dc5e3417805121394d65b85beee2a54090bddcb4c3f41b2db	1998
src/system/world/SpotlightEnder.cpp	3e69f8b103a36b13cf02a2856f207c97472b817c458736193e7c6c1b4efea6f7	897
src/system/rndobj/Watcher.cpp	ca414e6ea614b13350b040348a4dee9beb1b4063360519b39886901461badba4	2183
src/system/ui/UISlider.cpp	2425b6851956704e0f4fce7a0defee02ddb4bb0b637551adf728ddec84171dbe	5870
src/system/synth/FxSendMeterEffect.cpp	d94715af0c292449c148a51fc0bc6310f4cfa64dc89241bed37fcca203a8db61	1147
src/system/rndobj/wordwrap.cpp	6799eca1cbce486dc1ced60ed22c98f904178ed68c08ac39af04b9713e00b194	4036
src/system/hamobj/DetectFrame.cpp	aa2779b9b7f7f4c3c64023c88c6548b4e2432fc335fe2e4db9ba14cd61260b61	3850
src/system/meta/DeJitterPanel.cpp	7f4cceecb0e89b506d97fd94e0c2079b0c5a4b1d61daaafbb3347b222948e880	1363
src/system/obj/TextFile.cpp	8a81143f36b1dcd4d860d4f2119e1e22d55ece60e401fc261f9046654714beae	1915
src/system/synth_xbox/FxSendReverb.cpp	ca36d2d28008e4f1628b9f48402fd20547db4b9b67ecdeac87b69229bded1b71	5921
src/system/hamobj/SongLayout.cpp	cca4246530ddaa57569b6aef59d317f80b1e3e0e6ec95821820987239ab2fcfe	11216
src/system/rndobj/TransProxy.cpp	4a701b0e464557512aadbde45e498932d4cd4877cf603f5af538b5f772f20ad7	2045
src/system/synth/MicNull.cpp	c6822c5fc80fbe5e84ee906dec8699a2d1042c6c3a4e88be68094d0d192fe368	792
src/system/hamobj/CharFeedback.cpp	8e046366447a54a01a2406d36cd2eb2c129424021161b2aba858afd39d8b8b65	5709
src/lazer/meta_ham/CampaignMasterQuestCrewSelectPanel.cpp	05866d04336a017f4fb572f36d8f4b11372050680ae42e37ffc76112669e7e36	5634
src/system/meta/HeldButtonPanel.cpp	906694244d78cc115d2499e1f1081d48980546c36426801de1b1e14134264319	2393
src/lazer/net_ham/PartyModeJobs.cpp	90b86a93180a419c777e8f9fcfc1d43e6f22406bf61b87d515d83e36cae8a115	8159
src/Main.cpp	b3414a9e07f90e80705e36ec3c006c5ccadf289688a36263e62c635a0b164547	94
src/xdk/LIBCMT/vsnprnc.cpp	865774e0bada67484c5e156194bbde6b4a0a0fd9b567fcb5b5b95ee49437b4d3	1210
src/system/rndobj/ColorXfm.cpp	deb88acd3abfeb6f3be1f3be374b3b640f5b12f4714d63eca469e6637dc2b786	5171
src/lazer/meta_ham/SongSortBySong.cpp	f8c55d89c4813136f2f3c3dc58993cb7c50aec09373d43b821c2c700950dc0ed	3307
src/system/synth/AudioDucker.cpp	770868d734849ce64277ea5478689e4f0a10b56aeff10adefaf71405b9be2a30	2867
src/lazer/meta_ham/PlaylistSort.cpp	a03206c39cb8d54045eb5733dbd158770bcd2ea516217cee7a554057b80def94	3102
src/system/flow/FlowOnStop.cpp	530ea026534fbeddd355c80d1a8c3b16d4e15bfc89870ed13e6dffb9fd04b0cf	2606
src/system/hamobj/PracticeSection.cpp	009e75df73621345d82d0ddd1bf8d22ac2c02c06ad2531cace8a1b452f636f0f	5444
src/system/math/FileChecksum.cpp	fb8811aa6dc0aa88ae9d46354ddb0d15692b11e9c3b8dbc8a57247d0418fa255	740
src/system/char/ClipCollide.cpp	2c3341285ad5c33556f8e5dd8abb3bad11de94f38999b39c7828a0f7dcffb5f0	12075
src/system/hamobj/HamPhraseMeter.cpp	219c149e72bcd188bf851bc9e5c05cec7b0721ef44d25cdeed084b0a05ad5fde	3503
src/system/gesture/CameraTilt.cpp	5abbd2b95a93c46333af30dc04a22b3b05f6e5876d991242e6a0ae879bd68724	17924
src/lazer/meta_ham/HamProfile.cpp	08c111358d98eca72b07268191934ce4fc42b17b2973296f5704d35b36325acd	35116
src/system/flow/FlowTrigger.cpp	443474a9cc372dd9696505cbb7d69a6ac52c64f6487e2fdf80df44f0c89213a0	10306
src/system/hamobj/FreestyleMoveRecorder.cpp	c3ffa91e32b98b0d38de91da51fd211f0ead73ac7a901d829010d488609aede8	32915
src/system/rnddx9/Mat.cpp	3a65a97b99e77a7605d0fc7073e3765bd0988b6ed66f658485fa5aa72abfad53	69
src/lazer/meta_ham/ContextChecker.cpp	a4bd3e86c03fd0db51df4a327cb688d54cbde7e3afea045fe7837f3548749ca0	13634
src/xdk/LIBCMT/osfinfo.cpp	5587f481f7c79b2001c4b121174cf88cdb3cb6452a5551235b263e8f08d6e1c8	1040
src/keygen_xbox.cpp	d1d5d4d82f1ca99e01e033437ca10574579619b0dbdfca1347a76e06f2b44dd9	7250
src/system/rndobj/MeshDeform.cpp	afda65321c07e4922dcbe96fb9cbd6faa8ac5083c523d701df7a104ba559d2c3	6709
src/system/os/MapFile_Xbox.cpp	81d134bab34f2e462f7a170258f35d8df42db6245d41de9f8905772f47a4ce6f	12047
src/system/gesture/Gesture.cpp	9f61362d94c87e3d008254d9952483acdcb7be190b8b9b39f23de08f41ddd29d	1207
src/system/rndobj/Bitmap.cpp	8a0696132e05f76609b2188621f60d05f66db3092bc1df01f8a82a8f7f3c4972	39080
src/lazer/net_ham/MotdJobs.cpp	21398819686c4028b1df3aa9c15c64ace2feed9748d1e9335078d75635399b09	5141
src/system/hamobj/HamIconMan.cpp	4b863b77fea6a97a1fddcab36831f12c43a7823c3197c7c56a0e315cc0e73705	3338
