# n_class	n_emitted	src
1	258	src/lazer/net_ham/RockCentral.cpp
1	424	src/system/char/Char.cpp
1	241	src/system/char/CharBone.cpp
1	146	src/system/char/CharClipDisplay.cpp
1	145	src/system/char/CharDriverMidi.cpp
1	468	src/system/char/CharIKMidi.cpp
1	239	src/system/char/CharTransDraw.cpp
1	1342	src/system/char/Character.cpp
1	461	src/system/char/ClipCollide.cpp
1	455	src/system/char/ClipDistMap.cpp
1	491	src/system/char/FileMerger.cpp
1	230	src/system/flow/FlowCommand.cpp
1	97	src/system/flow/FlowEventListener.cpp
1	526	src/system/flow/FlowNode.cpp
1	139	src/system/flow/FlowOutPort.cpp
1	189	src/system/flow/FlowRun.cpp
1	239	src/system/gesture/GestureMgr.cpp
1	174	src/system/gesture/Skeleton.cpp
1	528	src/system/gesture/SkeletonClip.cpp
1	264	src/system/hamobj/ClipPlayer.cpp
1	122	src/system/hamobj/ErrorNode.cpp
1	64	src/system/hamobj/FilterVersion.cpp
1	593	src/system/hamobj/HamCharacter.cpp
1	239	src/system/hamobj/HamGameData.cpp
1	256	src/system/hamobj/HamIconMan.cpp
1	395	src/system/hamobj/HamLabel.cpp
1	229	src/system/hamobj/HamList.cpp
1	300	src/system/hamobj/HamPhotoDisplay.cpp
1	301	src/system/hamobj/HamPhraseMeter.cpp
1	44	src/system/hamobj/HamProviderPrinter.cpp
1	296	src/system/hamobj/HamScrollSpeedIndicator.cpp
1	318	src/system/hamobj/HollaBackMinigame.cpp
1	304	src/system/hamobj/MiniLeaderboardDisplay.cpp
1	122	src/system/hamobj/MocapSkeletonIterator.cpp
1	122	src/system/hamobj/PracticeOptionsProvider.cpp
1	296	src/system/hamobj/PracticeSection.cpp
1	284	src/system/hamobj/SongDifficultyDisplay.cpp
1	287	src/system/hamobj/StarsDisplay.cpp
1	160	src/system/meta/MemcardMgr_Xbox.cpp
1	563	src/system/meta/SongMgr.cpp
1	81	src/system/meta/StreamPlayer.cpp
1	27	src/system/midi/DisplayEvents.cpp
1	5	src/system/movie/MovieImpl.cpp
1	5	src/system/moviebink/BinkMovieImpl_Xbox.cpp
1	200	src/system/net/DingoSvr.cpp
1	117	src/system/net/HttpGet.cpp
1	219	src/system/obj/DataFile.cpp
1	147	src/system/obj/DataUtl.cpp
1	32	src/system/obj/TextFile.cpp
1	317	src/system/os/HolmesClient.cpp
1	14	src/system/os/MapFile_Xbox.cpp
1	154	src/system/os/Memcard_Xbox.cpp
1	23	src/system/os/NetStream.cpp
1	340	src/system/os/PlatformMgr_Xbox.cpp
1	107	src/system/rnddx9/Cam.cpp
1	155	src/system/rnddx9/Movie.cpp
1	201	src/system/rnddx9/MultiMesh.cpp
1	279	src/system/rndobj/Anim.cpp
1	299	src/system/rndobj/Cam.cpp
1	202	src/system/rndobj/Console.cpp
1	133	src/system/rndobj/CubeTex.cpp
1	365	src/system/rndobj/Env.cpp
1	452	src/system/rndobj/Gen.cpp
1	343	src/system/rndobj/LitAnim.cpp
1	121	src/system/rndobj/Overlay.cpp
1	732	src/system/rndobj/Part.cpp
1	31	src/system/rndobj/Poll.cpp
1	240	src/system/rndobj/PostProc.cpp
1	1033	src/system/rndobj/PropKeys.cpp
1	203	src/system/rndobj/SoftParticles.cpp
1	182	src/system/rndobj/Tex.cpp
1	145	src/system/rndobj/VelocityBuffer.cpp
1	276	src/system/synth/Emitter.cpp
1	194	src/system/synth/SampleInst.cpp
1	424	src/system/synth/Sound.cpp
1	214	src/system/synth/SynthSample.cpp
1	380	src/system/synth_xbox/Mic.cpp
1	581	src/system/synth_xbox/Synth.cpp
1	9	src/system/synth_xbox/soundtouch/source/SoundTouch/BPMDetect.cpp
1	288	src/system/ui/LabelNumberTicker.cpp
1	317	src/system/ui/LabelShrinkWrapper.cpp
1	300	src/system/ui/UIButton.cpp
1	253	src/system/ui/UIComponent.cpp
1	872	src/system/ui/UIList.cpp
1	162	src/system/ui/UIPanel.cpp
1	280	src/system/ui/UIPicture.cpp
1	326	src/system/ui/UISlider.cpp
1	98	src/system/ui/UITransitionHandler.cpp
1	180	src/system/utl/BinStream.cpp
1	74	src/system/utl/BinkIntegration.cpp
1	31	src/system/utl/FileStream.cpp
1	182	src/system/utl/Loader.cpp
1	56	src/system/utl/MemTrack.cpp
1	54	src/system/utl/OSCMessenger.cpp
1	158	src/system/world/Crowd3DCharHandle.cpp
1	168	src/system/world/LightHue.cpp
1	208	src/system/world/PhysicsManager.cpp
1	120	src/system/world/PostProcer.cpp
1	333	src/system/world/Reflection.cpp
1	119	src/system/world/SpotlightEnder.cpp
1	258	src/system/world/ThreeDSoundManager.cpp
