# c2-rs DECISION-SURFACE DOMAIN — GENERATED, DO NOT HAND-EDIT.
#
# Regenerate:  cargo test -p c2-core --lib surface::tests::bless -- --ignored
#
# This file is the answer to board #3723: a required-zero BYTE delta
# passes an emit widening whose new emissions the corpus never
# exercises. Every line below is a point of a decision surface that the
# corpus does NOT have to reach, so a widening moves lines here even
# when it moves no byte and no gate row.
#
# A line that changed is not automatically a defect. It is a claim that
# has to be read: the port now chooses, or refuses, differently.
#
# `REFUSE` is a refusal; anything else is the comma-separated list of
# values the port would emit at that point.

## surface  alloc.allocate
##   site      codegen/alloc.rs
##   boundary  which registers a store run's producers get, and on which (producer count, pool floor) the allocation REFUSES
##   cite      docs/ALLOC.md; board #543, #541; the C6 control that motivated #3723
##   guards    MAX_MODELLED_PRODUCERS VOLATILE_GPR_TOP
alloc.allocate  kind=const n=1 floor=31  REFUSE
alloc.allocate  kind=const n=2 floor=00  r11,r10
alloc.allocate  kind=const n=2 floor=01  r11,r10
alloc.allocate  kind=const n=2 floor=02  r11,r10
alloc.allocate  kind=const n=2 floor=03  r11,r10
alloc.allocate  kind=const n=2 floor=04  r11,r10
alloc.allocate  kind=const n=2 floor=05  r11,r10
alloc.allocate  kind=const n=2 floor=06  r11,r10
alloc.allocate  kind=const n=2 floor=07  r11,r10
alloc.allocate  kind=const n=2 floor=08  r11,r10
alloc.allocate  kind=const n=2 floor=09  r11,r10
alloc.allocate  kind=const n=2 floor=10  r11,r10
alloc.allocate  kind=const n=2 floor=11  REFUSE
alloc.allocate  kind=const n=2 floor=12  REFUSE
alloc.allocate  kind=const n=2 floor=13  REFUSE
alloc.allocate  kind=const n=2 floor=14  REFUSE
alloc.allocate  kind=const n=2 floor=15  REFUSE
alloc.allocate  kind=const n=2 floor=16  REFUSE
alloc.allocate  kind=const n=2 floor=17  REFUSE
alloc.allocate  kind=const n=2 floor=18  REFUSE
alloc.allocate  kind=const n=2 floor=19  REFUSE
alloc.allocate  kind=const n=2 floor=20  REFUSE
alloc.allocate  kind=const n=2 floor=21  REFUSE
alloc.allocate  kind=const n=2 floor=22  REFUSE
alloc.allocate  kind=const n=2 floor=23  REFUSE
alloc.allocate  kind=const n=2 floor=24  REFUSE
alloc.allocate  kind=const n=2 floor=25  REFUSE
alloc.allocate  kind=const n=2 floor=26  REFUSE
alloc.allocate  kind=const n=2 floor=27  REFUSE
alloc.allocate  kind=const n=2 floor=28  REFUSE
alloc.allocate  kind=const n=2 floor=29  REFUSE
alloc.allocate  kind=const n=2 floor=30  REFUSE
alloc.allocate  kind=const n=2 floor=31  REFUSE
alloc.allocate  kind=const n=3 floor=00  r11,r10,r9
alloc.allocate  kind=const n=3 floor=01  r11,r10,r9
alloc.allocate  kind=const n=3 floor=02  r11,r10,r9
alloc.allocate  kind=const n=3 floor=03  r11,r10,r9
alloc.allocate  kind=const n=3 floor=04  r11,r10,r9
alloc.allocate  kind=const n=3 floor=05  r11,r10,r9
alloc.allocate  kind=const n=3 floor=06  r11,r10,r9
alloc.allocate  kind=const n=3 floor=07  r11,r10,r9
alloc.allocate  kind=const n=3 floor=08  r11,r10,r9
alloc.allocate  kind=const n=3 floor=09  r11,r10,r9
alloc.allocate  kind=const n=3 floor=10  REFUSE
alloc.allocate  kind=const n=3 floor=11  REFUSE
alloc.allocate  kind=const n=3 floor=12  REFUSE
alloc.allocate  kind=const n=3 floor=13  REFUSE
alloc.allocate  kind=const n=3 floor=14  REFUSE
alloc.allocate  kind=const n=3 floor=15  REFUSE
alloc.allocate  kind=const n=3 floor=16  REFUSE
alloc.allocate  kind=const n=3 floor=17  REFUSE
alloc.allocate  kind=const n=3 floor=18  REFUSE
alloc.allocate  kind=const n=3 floor=19  REFUSE
alloc.allocate  kind=const n=3 floor=20  REFUSE
alloc.allocate  kind=const n=3 floor=21  REFUSE
alloc.allocate  kind=const n=3 floor=22  REFUSE
alloc.allocate  kind=const n=3 floor=23  REFUSE
alloc.allocate  kind=const n=3 floor=24  REFUSE
alloc.allocate  kind=const n=3 floor=25  REFUSE
alloc.allocate  kind=const n=3 floor=26  REFUSE
alloc.allocate  kind=const n=3 floor=27  REFUSE
alloc.allocate  kind=const n=3 floor=28  REFUSE
alloc.allocate  kind=const n=3 floor=29  REFUSE
alloc.allocate  kind=const n=3 floor=30  REFUSE
alloc.allocate  kind=const n=3 floor=31  REFUSE
alloc.allocate  kind=const n=4 floor=00  REFUSE
alloc.allocate  kind=const n=4 floor=01  REFUSE
alloc.allocate  kind=const n=4 floor=02  REFUSE
alloc.allocate  kind=const n=4 floor=03  REFUSE
alloc.allocate  kind=const n=4 floor=04  REFUSE
alloc.allocate  kind=const n=4 floor=05  REFUSE
alloc.allocate  kind=const n=4 floor=06  REFUSE
alloc.allocate  kind=const n=4 floor=07  REFUSE
alloc.allocate  kind=const n=4 floor=08  REFUSE
alloc.allocate  kind=const n=4 floor=09  REFUSE
alloc.allocate  kind=const n=4 floor=10  REFUSE
alloc.allocate  kind=const n=4 floor=11  REFUSE
alloc.allocate  kind=const n=4 floor=12  REFUSE
alloc.allocate  kind=const n=4 floor=13  REFUSE
alloc.allocate  kind=const n=4 floor=14  REFUSE
alloc.allocate  kind=const n=4 floor=15  REFUSE
alloc.allocate  kind=const n=4 floor=16  REFUSE
alloc.allocate  kind=const n=4 floor=17  REFUSE
alloc.allocate  kind=const n=4 floor=18  REFUSE
alloc.allocate  kind=const n=4 floor=19  REFUSE
alloc.allocate  kind=const n=4 floor=20  REFUSE
alloc.allocate  kind=const n=4 floor=21  REFUSE
alloc.allocate  kind=const n=4 floor=22  REFUSE
alloc.allocate  kind=const n=4 floor=23  REFUSE
alloc.allocate  kind=const n=4 floor=24  REFUSE
alloc.allocate  kind=const n=4 floor=25  REFUSE
alloc.allocate  kind=const n=4 floor=26  REFUSE
alloc.allocate  kind=const n=4 floor=27  REFUSE
alloc.allocate  kind=const n=4 floor=28  REFUSE
alloc.allocate  kind=const n=4 floor=29  REFUSE
alloc.allocate  kind=const n=4 floor=30  REFUSE
alloc.allocate  kind=const n=4 floor=31  REFUSE
alloc.allocate  kind=regd n=1 floor=00  r11
alloc.allocate  kind=regd n=1 floor=01  r11
alloc.allocate  kind=regd n=1 floor=02  r11
alloc.allocate  kind=regd n=1 floor=03  r11
alloc.allocate  kind=regd n=1 floor=04  r11
alloc.allocate  kind=regd n=1 floor=05  r11
alloc.allocate  kind=regd n=1 floor=06  r11
alloc.allocate  kind=regd n=1 floor=07  r11
alloc.allocate  kind=regd n=1 floor=08  r11
alloc.allocate  kind=regd n=1 floor=09  r11
alloc.allocate  kind=regd n=1 floor=10  r11
alloc.allocate  kind=regd n=1 floor=11  r11
alloc.allocate  kind=regd n=1 floor=12  REFUSE
alloc.allocate  kind=regd n=1 floor=13  REFUSE
alloc.allocate  kind=regd n=1 floor=14  REFUSE
alloc.allocate  kind=regd n=1 floor=15  REFUSE
alloc.allocate  kind=regd n=1 floor=16  REFUSE
alloc.allocate  kind=regd n=1 floor=17  REFUSE
alloc.allocate  kind=regd n=1 floor=18  REFUSE
alloc.allocate  kind=regd n=1 floor=19  REFUSE
alloc.allocate  kind=regd n=1 floor=20  REFUSE
alloc.allocate  kind=regd n=1 floor=21  REFUSE
alloc.allocate  kind=regd n=1 floor=22  REFUSE
alloc.allocate  kind=regd n=1 floor=23  REFUSE
alloc.allocate  kind=regd n=1 floor=24  REFUSE
alloc.allocate  kind=regd n=1 floor=25  REFUSE
alloc.allocate  kind=regd n=1 floor=26  REFUSE
alloc.allocate  kind=regd n=1 floor=27  REFUSE
alloc.allocate  kind=regd n=1 floor=28  REFUSE
alloc.allocate  kind=regd n=1 floor=29  REFUSE
alloc.allocate  kind=regd n=1 floor=30  REFUSE
alloc.allocate  kind=regd n=1 floor=31  REFUSE
alloc.allocate  kind=regd n=2 floor=00  r11,r10
alloc.allocate  kind=regd n=2 floor=01  r11,r10
alloc.allocate  kind=regd n=2 floor=02  r11,r10
alloc.allocate  kind=regd n=2 floor=03  r11,r10
alloc.allocate  kind=regd n=2 floor=04  r11,r10
alloc.allocate  kind=regd n=2 floor=05  r11,r10
alloc.allocate  kind=regd n=2 floor=06  r11,r10
alloc.allocate  kind=regd n=2 floor=07  r11,r10
alloc.allocate  kind=regd n=2 floor=08  r11,r10
alloc.allocate  kind=regd n=2 floor=09  r11,r10
alloc.allocate  kind=regd n=2 floor=10  r11,r10
alloc.allocate  kind=regd n=2 floor=11  REFUSE
alloc.allocate  kind=regd n=2 floor=12  REFUSE
alloc.allocate  kind=regd n=2 floor=13  REFUSE
alloc.allocate  kind=regd n=2 floor=14  REFUSE
alloc.allocate  kind=regd n=2 floor=15  REFUSE
alloc.allocate  kind=regd n=2 floor=16  REFUSE
alloc.allocate  kind=regd n=2 floor=17  REFUSE
alloc.allocate  kind=regd n=2 floor=18  REFUSE
alloc.allocate  kind=regd n=2 floor=19  REFUSE
alloc.allocate  kind=regd n=2 floor=20  REFUSE
alloc.allocate  kind=regd n=2 floor=21  REFUSE
alloc.allocate  kind=regd n=2 floor=22  REFUSE
alloc.allocate  kind=regd n=2 floor=23  REFUSE
alloc.allocate  kind=regd n=2 floor=24  REFUSE
alloc.allocate  kind=regd n=2 floor=25  REFUSE
alloc.allocate  kind=regd n=2 floor=26  REFUSE
alloc.allocate  kind=regd n=2 floor=27  REFUSE
alloc.allocate  kind=regd n=2 floor=28  REFUSE
alloc.allocate  kind=regd n=2 floor=29  REFUSE
alloc.allocate  kind=regd n=2 floor=30  REFUSE
alloc.allocate  kind=regd n=2 floor=31  REFUSE
alloc.allocate  kind=regd n=3 floor=00  r11,r10,r9
alloc.allocate  kind=regd n=3 floor=01  r11,r10,r9
alloc.allocate  kind=regd n=3 floor=02  r11,r10,r9
alloc.allocate  kind=regd n=3 floor=03  r11,r10,r9
alloc.allocate  kind=regd n=3 floor=04  r11,r10,r9
alloc.allocate  kind=regd n=3 floor=05  r11,r10,r9
alloc.allocate  kind=regd n=3 floor=06  r11,r10,r9
alloc.allocate  kind=regd n=3 floor=07  r11,r10,r9
alloc.allocate  kind=regd n=3 floor=08  r11,r10,r9
alloc.allocate  kind=regd n=3 floor=09  r11,r10,r9
alloc.allocate  kind=regd n=3 floor=10  REFUSE
alloc.allocate  kind=regd n=3 floor=11  REFUSE
alloc.allocate  kind=regd n=3 floor=12  REFUSE
alloc.allocate  kind=regd n=3 floor=13  REFUSE
alloc.allocate  kind=regd n=3 floor=14  REFUSE
alloc.allocate  kind=regd n=3 floor=15  REFUSE
alloc.allocate  kind=regd n=3 floor=16  REFUSE
alloc.allocate  kind=regd n=3 floor=17  REFUSE
alloc.allocate  kind=regd n=3 floor=18  REFUSE
alloc.allocate  kind=regd n=3 floor=19  REFUSE
alloc.allocate  kind=regd n=3 floor=20  REFUSE
alloc.allocate  kind=regd n=3 floor=21  REFUSE
alloc.allocate  kind=regd n=3 floor=22  REFUSE
alloc.allocate  kind=regd n=3 floor=23  REFUSE
alloc.allocate  kind=regd n=3 floor=24  REFUSE
alloc.allocate  kind=regd n=3 floor=25  REFUSE
alloc.allocate  kind=regd n=3 floor=26  REFUSE
alloc.allocate  kind=regd n=3 floor=27  REFUSE
alloc.allocate  kind=regd n=3 floor=28  REFUSE
alloc.allocate  kind=regd n=3 floor=29  REFUSE
alloc.allocate  kind=regd n=3 floor=30  REFUSE
alloc.allocate  kind=regd n=3 floor=31  REFUSE
alloc.allocate  kind=regd n=4 floor=00  REFUSE
alloc.allocate  kind=regd n=4 floor=01  REFUSE
alloc.allocate  kind=regd n=4 floor=02  REFUSE
alloc.allocate  kind=regd n=4 floor=03  REFUSE
alloc.allocate  kind=regd n=4 floor=04  REFUSE
alloc.allocate  kind=regd n=4 floor=05  REFUSE
alloc.allocate  kind=regd n=4 floor=06  REFUSE
alloc.allocate  kind=regd n=4 floor=07  REFUSE
alloc.allocate  kind=regd n=4 floor=08  REFUSE
alloc.allocate  kind=regd n=4 floor=09  REFUSE
alloc.allocate  kind=regd n=4 floor=10  REFUSE
alloc.allocate  kind=regd n=4 floor=11  REFUSE
alloc.allocate  kind=regd n=4 floor=12  REFUSE
alloc.allocate  kind=regd n=4 floor=13  REFUSE
alloc.allocate  kind=regd n=4 floor=14  REFUSE
alloc.allocate  kind=regd n=4 floor=15  REFUSE
alloc.allocate  kind=regd n=4 floor=16  REFUSE
alloc.allocate  kind=regd n=4 floor=17  REFUSE
alloc.allocate  kind=regd n=4 floor=18  REFUSE
alloc.allocate  kind=regd n=4 floor=19  REFUSE
alloc.allocate  kind=regd n=4 floor=20  REFUSE
alloc.allocate  kind=regd n=4 floor=21  REFUSE
alloc.allocate  kind=regd n=4 floor=22  REFUSE
alloc.allocate  kind=regd n=4 floor=23  REFUSE
alloc.allocate  kind=regd n=4 floor=24  REFUSE
alloc.allocate  kind=regd n=4 floor=25  REFUSE
alloc.allocate  kind=regd n=4 floor=26  REFUSE
alloc.allocate  kind=regd n=4 floor=27  REFUSE
alloc.allocate  kind=regd n=4 floor=28  REFUSE
alloc.allocate  kind=regd n=4 floor=29  REFUSE
alloc.allocate  kind=regd n=4 floor=30  REFUSE
alloc.allocate  kind=regd n=4 floor=31  REFUSE
## summary  alloc.allocate  cells=256 admit=66 refuse=190 values={r10,r11,r9}

## surface  regalloc.select
##   site      codegen/regalloc.rs
##   boundary  c2's minimum-cost selector over an ordered register list — which register wins, and when the allowed set is exhausted
##   cite      docs/whitebox/ref/P_REGALLOC.md §3; c2 `0x10b2e7f8`; DISCLOSURE W-REGSEL-1
##   guards    (none named)
regalloc.select  order=gpr-default allowed=00..=31 n=1  11
regalloc.select  order=gpr-default allowed=00..=31 n=2  11,10
regalloc.select  order=gpr-default allowed=00..=31 n=3  11,10,9
regalloc.select  order=gpr-default allowed=00..=31 n=4  11,10,9,8
regalloc.select  order=gpr-default allowed=03..=31 n=1  11
regalloc.select  order=gpr-default allowed=03..=31 n=2  11,10
regalloc.select  order=gpr-default allowed=03..=31 n=3  11,10,9
regalloc.select  order=gpr-default allowed=03..=31 n=4  11,10,9,8
regalloc.select  order=gpr-default allowed=10..=31 n=1  11
regalloc.select  order=gpr-default allowed=10..=31 n=2  11,10
regalloc.select  order=gpr-default allowed=10..=31 n=3  11,10,31
regalloc.select  order=gpr-default allowed=10..=31 n=4  11,10,31,30
regalloc.select  order=gpr-default allowed=11..=31 n=1  11
regalloc.select  order=gpr-default allowed=11..=31 n=2  11,31
regalloc.select  order=gpr-default allowed=11..=31 n=3  11,31,30
regalloc.select  order=gpr-default allowed=11..=31 n=4  11,31,30,29
regalloc.select  order=gpr-default allowed=12..=31 n=1  31
regalloc.select  order=gpr-default allowed=12..=31 n=2  31,30
regalloc.select  order=gpr-default allowed=12..=31 n=3  31,30,29
regalloc.select  order=gpr-default allowed=12..=31 n=4  31,30,29,28
regalloc.select  order=gpr-default allowed=14..=31 n=1  31
regalloc.select  order=gpr-default allowed=14..=31 n=2  31,30
regalloc.select  order=gpr-default allowed=14..=31 n=3  31,30,29
regalloc.select  order=gpr-default allowed=14..=31 n=4  31,30,29,28
regalloc.select  order=gpr-default allowed=20..=31 n=1  31
regalloc.select  order=gpr-default allowed=20..=31 n=2  31,30
regalloc.select  order=gpr-default allowed=20..=31 n=3  31,30,29
regalloc.select  order=gpr-default allowed=20..=31 n=4  31,30,29,28
regalloc.select  order=gpr-default allowed=31..=31 n=1  31
regalloc.select  order=gpr-default allowed=31..=31 n=2  REFUSE
regalloc.select  order=gpr-default allowed=31..=31 n=3  REFUSE
regalloc.select  order=gpr-default allowed=31..=31 n=4  REFUSE
regalloc.select  order=gpr-default allowed=00..=11 n=1  11
regalloc.select  order=gpr-default allowed=00..=11 n=2  11,10
regalloc.select  order=gpr-default allowed=00..=11 n=3  11,10,9
regalloc.select  order=gpr-default allowed=00..=11 n=4  11,10,9,8
regalloc.select  order=gpr-default allowed=00..=12 n=1  11
regalloc.select  order=gpr-default allowed=00..=12 n=2  11,10
regalloc.select  order=gpr-default allowed=00..=12 n=3  11,10,9
regalloc.select  order=gpr-default allowed=00..=12 n=4  11,10,9,8
regalloc.select  order=gpr-default allowed=11..=11 n=1  11
regalloc.select  order=gpr-default allowed=11..=11 n=2  REFUSE
regalloc.select  order=gpr-default allowed=11..=11 n=3  REFUSE
regalloc.select  order=gpr-default allowed=11..=11 n=4  REFUSE
regalloc.select  order=gpr-default allowed=12..=13 n=1  REFUSE
regalloc.select  order=gpr-default allowed=12..=13 n=2  REFUSE
regalloc.select  order=gpr-default allowed=12..=13 n=3  REFUSE
regalloc.select  order=gpr-default allowed=12..=13 n=4  REFUSE
regalloc.select  order=gpr-default allowed=14..=15 n=1  15
regalloc.select  order=gpr-default allowed=14..=15 n=2  15,14
regalloc.select  order=gpr-default allowed=14..=15 n=3  REFUSE
regalloc.select  order=gpr-default allowed=14..=15 n=4  REFUSE
regalloc.select  order=gpr-default allowed=28..=31 n=1  31
regalloc.select  order=gpr-default allowed=28..=31 n=2  31,30
regalloc.select  order=gpr-default allowed=28..=31 n=3  31,30,29
regalloc.select  order=gpr-default allowed=28..=31 n=4  31,30,29,28
regalloc.select  order=gpr-qgprreserve allowed=00..=31 n=1  11
regalloc.select  order=gpr-qgprreserve allowed=00..=31 n=2  11,10
regalloc.select  order=gpr-qgprreserve allowed=00..=31 n=3  11,10,9
regalloc.select  order=gpr-qgprreserve allowed=00..=31 n=4  11,10,9,8
regalloc.select  order=gpr-qgprreserve allowed=03..=31 n=1  11
regalloc.select  order=gpr-qgprreserve allowed=03..=31 n=2  11,10
regalloc.select  order=gpr-qgprreserve allowed=03..=31 n=3  11,10,9
regalloc.select  order=gpr-qgprreserve allowed=03..=31 n=4  11,10,9,8
regalloc.select  order=gpr-qgprreserve allowed=10..=31 n=1  11
regalloc.select  order=gpr-qgprreserve allowed=10..=31 n=2  11,10
regalloc.select  order=gpr-qgprreserve allowed=10..=31 n=3  11,10,31
regalloc.select  order=gpr-qgprreserve allowed=10..=31 n=4  11,10,31,30
regalloc.select  order=gpr-qgprreserve allowed=11..=31 n=1  11
regalloc.select  order=gpr-qgprreserve allowed=11..=31 n=2  11,31
regalloc.select  order=gpr-qgprreserve allowed=11..=31 n=3  11,31,30
regalloc.select  order=gpr-qgprreserve allowed=11..=31 n=4  11,31,30,29
regalloc.select  order=gpr-qgprreserve allowed=12..=31 n=1  31
regalloc.select  order=gpr-qgprreserve allowed=12..=31 n=2  31,30
regalloc.select  order=gpr-qgprreserve allowed=12..=31 n=3  31,30,29
regalloc.select  order=gpr-qgprreserve allowed=12..=31 n=4  31,30,29,28
regalloc.select  order=gpr-qgprreserve allowed=14..=31 n=1  31
regalloc.select  order=gpr-qgprreserve allowed=14..=31 n=2  31,30
regalloc.select  order=gpr-qgprreserve allowed=14..=31 n=3  31,30,29
regalloc.select  order=gpr-qgprreserve allowed=14..=31 n=4  31,30,29,28
regalloc.select  order=gpr-qgprreserve allowed=20..=31 n=1  31
regalloc.select  order=gpr-qgprreserve allowed=20..=31 n=2  31,30
regalloc.select  order=gpr-qgprreserve allowed=20..=31 n=3  31,30,29
regalloc.select  order=gpr-qgprreserve allowed=20..=31 n=4  31,30,29,28
regalloc.select  order=gpr-qgprreserve allowed=31..=31 n=1  31
regalloc.select  order=gpr-qgprreserve allowed=31..=31 n=2  REFUSE
regalloc.select  order=gpr-qgprreserve allowed=31..=31 n=3  REFUSE
regalloc.select  order=gpr-qgprreserve allowed=31..=31 n=4  REFUSE
regalloc.select  order=gpr-qgprreserve allowed=00..=11 n=1  11
regalloc.select  order=gpr-qgprreserve allowed=00..=11 n=2  11,10
regalloc.select  order=gpr-qgprreserve allowed=00..=11 n=3  11,10,9
regalloc.select  order=gpr-qgprreserve allowed=00..=11 n=4  11,10,9,8
regalloc.select  order=gpr-qgprreserve allowed=00..=12 n=1  11
regalloc.select  order=gpr-qgprreserve allowed=00..=12 n=2  11,10
regalloc.select  order=gpr-qgprreserve allowed=00..=12 n=3  11,10,9
regalloc.select  order=gpr-qgprreserve allowed=00..=12 n=4  11,10,9,8
regalloc.select  order=gpr-qgprreserve allowed=11..=11 n=1  11
regalloc.select  order=gpr-qgprreserve allowed=11..=11 n=2  REFUSE
regalloc.select  order=gpr-qgprreserve allowed=11..=11 n=3  REFUSE
regalloc.select  order=gpr-qgprreserve allowed=11..=11 n=4  REFUSE
regalloc.select  order=gpr-qgprreserve allowed=12..=13 n=1  REFUSE
regalloc.select  order=gpr-qgprreserve allowed=12..=13 n=2  REFUSE
regalloc.select  order=gpr-qgprreserve allowed=12..=13 n=3  REFUSE
regalloc.select  order=gpr-qgprreserve allowed=12..=13 n=4  REFUSE
regalloc.select  order=gpr-qgprreserve allowed=14..=15 n=1  REFUSE
regalloc.select  order=gpr-qgprreserve allowed=14..=15 n=2  REFUSE
regalloc.select  order=gpr-qgprreserve allowed=14..=15 n=3  REFUSE
regalloc.select  order=gpr-qgprreserve allowed=14..=15 n=4  REFUSE
regalloc.select  order=gpr-qgprreserve allowed=28..=31 n=1  31
regalloc.select  order=gpr-qgprreserve allowed=28..=31 n=2  31,30
regalloc.select  order=gpr-qgprreserve allowed=28..=31 n=3  31,30,29
regalloc.select  order=gpr-qgprreserve allowed=28..=31 n=4  31,30,29,28
regalloc.select  order=gpr-pogo allowed=00..=31 n=1  11
regalloc.select  order=gpr-pogo allowed=00..=31 n=2  11,10
regalloc.select  order=gpr-pogo allowed=00..=31 n=3  11,10,9
regalloc.select  order=gpr-pogo allowed=00..=31 n=4  11,10,9,8
regalloc.select  order=gpr-pogo allowed=03..=31 n=1  11
regalloc.select  order=gpr-pogo allowed=03..=31 n=2  11,10
regalloc.select  order=gpr-pogo allowed=03..=31 n=3  11,10,9
regalloc.select  order=gpr-pogo allowed=03..=31 n=4  11,10,9,8
regalloc.select  order=gpr-pogo allowed=10..=31 n=1  11
regalloc.select  order=gpr-pogo allowed=10..=31 n=2  11,10
regalloc.select  order=gpr-pogo allowed=10..=31 n=3  11,10,31
regalloc.select  order=gpr-pogo allowed=10..=31 n=4  11,10,31,30
regalloc.select  order=gpr-pogo allowed=11..=31 n=1  11
regalloc.select  order=gpr-pogo allowed=11..=31 n=2  11,31
regalloc.select  order=gpr-pogo allowed=11..=31 n=3  11,31,30
regalloc.select  order=gpr-pogo allowed=11..=31 n=4  11,31,30,29
regalloc.select  order=gpr-pogo allowed=12..=31 n=1  31
regalloc.select  order=gpr-pogo allowed=12..=31 n=2  31,30
regalloc.select  order=gpr-pogo allowed=12..=31 n=3  31,30,29
regalloc.select  order=gpr-pogo allowed=12..=31 n=4  31,30,29,28
regalloc.select  order=gpr-pogo allowed=14..=31 n=1  31
regalloc.select  order=gpr-pogo allowed=14..=31 n=2  31,30
regalloc.select  order=gpr-pogo allowed=14..=31 n=3  31,30,29
regalloc.select  order=gpr-pogo allowed=14..=31 n=4  31,30,29,28
regalloc.select  order=gpr-pogo allowed=20..=31 n=1  31
regalloc.select  order=gpr-pogo allowed=20..=31 n=2  31,30
regalloc.select  order=gpr-pogo allowed=20..=31 n=3  31,30,29
regalloc.select  order=gpr-pogo allowed=20..=31 n=4  31,30,29,28
regalloc.select  order=gpr-pogo allowed=31..=31 n=1  31
regalloc.select  order=gpr-pogo allowed=31..=31 n=2  REFUSE
regalloc.select  order=gpr-pogo allowed=31..=31 n=3  REFUSE
regalloc.select  order=gpr-pogo allowed=31..=31 n=4  REFUSE
regalloc.select  order=gpr-pogo allowed=00..=11 n=1  11
regalloc.select  order=gpr-pogo allowed=00..=11 n=2  11,10
regalloc.select  order=gpr-pogo allowed=00..=11 n=3  11,10,9
regalloc.select  order=gpr-pogo allowed=00..=11 n=4  11,10,9,8
regalloc.select  order=gpr-pogo allowed=00..=12 n=1  11
regalloc.select  order=gpr-pogo allowed=00..=12 n=2  11,10
regalloc.select  order=gpr-pogo allowed=00..=12 n=3  11,10,9
regalloc.select  order=gpr-pogo allowed=00..=12 n=4  11,10,9,8
regalloc.select  order=gpr-pogo allowed=11..=11 n=1  11
regalloc.select  order=gpr-pogo allowed=11..=11 n=2  REFUSE
regalloc.select  order=gpr-pogo allowed=11..=11 n=3  REFUSE
regalloc.select  order=gpr-pogo allowed=11..=11 n=4  REFUSE
regalloc.select  order=gpr-pogo allowed=12..=13 n=1  REFUSE
regalloc.select  order=gpr-pogo allowed=12..=13 n=2  REFUSE
regalloc.select  order=gpr-pogo allowed=12..=13 n=3  REFUSE
regalloc.select  order=gpr-pogo allowed=12..=13 n=4  REFUSE
regalloc.select  order=gpr-pogo allowed=14..=15 n=1  REFUSE
regalloc.select  order=gpr-pogo allowed=14..=15 n=2  REFUSE
regalloc.select  order=gpr-pogo allowed=14..=15 n=3  REFUSE
regalloc.select  order=gpr-pogo allowed=14..=15 n=4  REFUSE
regalloc.select  order=gpr-pogo allowed=28..=31 n=1  31
regalloc.select  order=gpr-pogo allowed=28..=31 n=2  31,30
regalloc.select  order=gpr-pogo allowed=28..=31 n=3  31,30,29
regalloc.select  order=gpr-pogo allowed=28..=31 n=4  31,30,29,28
regalloc.select  order=fpr-default allowed=00..=31 n=1  0
regalloc.select  order=fpr-default allowed=00..=31 n=2  0,13
regalloc.select  order=fpr-default allowed=00..=31 n=3  0,13,12
regalloc.select  order=fpr-default allowed=00..=31 n=4  0,13,12,11
regalloc.select  order=fpr-default allowed=03..=31 n=1  13
