# spliced functions with a per-symbol relocation record: 723
#   no-relocs        723
# DISAGREEMENTS: 0
#
# verdict       port targets                 c2 targets                   TU :: symbol
no-relocs       (none)                       (none)                       src/lazer/meta_ham/Challenges.cpp :: ??0?$_List_iterator@UFlauntStatusData@@U?$_Const_traits@UFlauntStatusData@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/Challenges.cpp :: ??0?$_List_iterator@UFlauntStatusData@@U?$_Nonconst_traits@UFlauntStatusData@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/Challenges.cpp :: ?front@?$vector@VChallengeRow@@V?$StlNodeAlloc@VChallengeRow@@@stlpmtx_std@@@stlpmtx_std@@QAAAAVChallengeRow@@XZ
no-relocs       (none)                       (none)                       src/lazer/meta_ham/ContextChecker.cpp :: ??0?$_List_iterator@VSymbol@@U?$_Const_traits@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/ContextChecker.cpp :: ??0?$_List_iterator@VSymbol@@U?$_Nonconst_traits@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/FitnessCalorieSort.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Nonconst_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/FitnessCalorieSortNode.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Const_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/FitnessCalorieSortNode.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Nonconst_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/FitnessGoalMgr.cpp :: ??0?$_List_iterator@PAUQueueableCommand@@U?$_Const_traits@PAUQueueableCommand@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/FitnessGoalMgr.cpp :: ??0?$_List_iterator@PAUQueueableCommand@@U?$_Nonconst_traits@PAUQueueableCommand@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/FitnessGoalMgr.cpp :: ??0?$_List_iterator@PAVHamProfile@@U?$_Nonconst_traits@PAVHamProfile@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/HamStorePanel.cpp :: ??0?$_List_iterator@HU?$_Nonconst_traits@H@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/HamStorePanel.cpp :: ??0?$_List_iterator@UEnumProduct@@U?$_Const_traits@UEnumProduct@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/HamStoreProvider.cpp :: ??0?$_List_iterator@PAVStoreOffer@@U?$_Const_traits@PAVStoreOffer@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/HamStoreProvider.cpp :: ??0?$_List_iterator@PAVStoreOffer@@U?$_Nonconst_traits@PAVStoreOffer@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/HamStoreProvider.cpp :: ??0?$_Rb_tree_iterator@U?$pair@$$CBVSymbol@@PAV?$vector@PAVStoreOffer@@V?$StlNodeAlloc@PAVStoreOffer@@@stlpmtx_std@@@stlpmtx_std@@@stlpmtx_std@@U?$_MapTraitsT@U?$pair@$$CBVSymbol@@PAV?$vector@PAVStoreOffer@@V?$StlNodeAlloc@PAVStoreOffer@@@stlpmtx_std@@@stlpmtx_std@@@stlpmtx_std@@@priv@2@@stlpmtx_std@@QAA@XZ
no-relocs       (none)                       (none)                       src/lazer/meta_ham/HamUI.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/HamUI.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/HamUI.cpp :: ??0?$_List_iterator@UPanelRef@@U?$_Nonconst_traits@UPanelRef@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/HelpBarPanel.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/HelpBarPanel.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/Leaderboards.cpp :: ??0?$_List_iterator@PAVHamProfile@@U?$_Nonconst_traits@PAVHamProfile@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/Leaderboards.cpp :: ??0?$_List_iterator@USongStatusData@@U?$_Nonconst_traits@USongStatusData@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/MQSongSort.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Nonconst_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/MQSongSortNode.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Nonconst_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/MainMenuPanel.cpp :: ??0?$_List_iterator@PAVNetCacheLoader@@U?$_Nonconst_traits@PAVNetCacheLoader@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/MainMenuPanel.cpp :: ??0?$_List_iterator@UMotdData@MainMenuPanel@@U?$_Const_traits@UMotdData@MainMenuPanel@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/MainMenuPanel.cpp :: ??0?$_List_iterator@UMotdData@MainMenuPanel@@U?$_Nonconst_traits@UMotdData@MainMenuPanel@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/MainMenuPanel.cpp :: ??0?$_List_iterator@VString@@U?$_Const_traits@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/MainMenuPanel.cpp :: ??0?$_List_iterator@VString@@U?$_Nonconst_traits@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/MetaPerformer.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/MetaPerformer.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/MetagameRank.cpp :: ??0?$_List_iterator@UDeferredAward@?A0xc93370b9@@U?$_Nonconst_traits@UDeferredAward@?A0xc93370b9@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/MetagameRank.cpp :: ??0?$_List_iterator@UDeferredPoints@@U?$_Const_traits@UDeferredPoints@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/MetagameRank.cpp :: ??0?$_List_iterator@UDeferredPoints@@U?$_Nonconst_traits@UDeferredPoints@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/NavListNode.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Const_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/NavListNode.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Nonconst_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/NavListSort.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Nonconst_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/NavListSortMgr.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Const_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/NavListSortMgr.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Nonconst_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/NavListSortMgr.cpp :: ??0?$_List_iterator@VString@@U?$_Nonconst_traits@VString@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/NavListSortMgr.cpp :: ??0?$_List_iterator@VSymbol@@U?$_Nonconst_traits@VSymbol@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/NavListSortMgr.cpp :: ?front@?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@QAAAAHXZ
no-relocs       (none)                       (none)                       src/lazer/meta_ham/PassiveMessenger.cpp :: ??0?$_List_iterator@PAVPassiveMessage@@U?$_Const_traits@PAVPassiveMessage@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/PassiveMessenger.cpp :: ??0?$_List_iterator@PAVPassiveMessage@@U?$_Nonconst_traits@PAVPassiveMessage@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/PlaylistSort.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Nonconst_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/PlaylistSortMgr.cpp :: ??0?$_List_iterator@PAUQueueableCommand@@U?$_Const_traits@PAUQueueableCommand@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/PlaylistSortMgr.cpp :: ??0?$_List_iterator@PAUQueueableCommand@@U?$_Nonconst_traits@PAUQueueableCommand@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/PlaylistSortNode.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Nonconst_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/PracticeChoosePanel.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/PracticeChoosePanel.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/PracticeChoosePanel.cpp :: ?front@?$vector@PAVHamMove@@V?$StlNodeAlloc@PAVHamMove@@@stlpmtx_std@@@stlpmtx_std@@QBAABQAVHamMove@@XZ
no-relocs       (none)                       (none)                       src/lazer/meta_ham/ProfileMgr.cpp :: ?front@?$vector@PAVHamProfile@@V?$StlNodeAlloc@PAVHamProfile@@@stlpmtx_std@@@stlpmtx_std@@QAAAAPAVHamProfile@@XZ
no-relocs       (none)                       (none)                       src/lazer/meta_ham/SongSort.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Const_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/SongSort.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Nonconst_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/SongSort.cpp :: ?front@?$vector@PAVNavListShortcutNode@@V?$StlNodeAlloc@PAVNavListShortcutNode@@@stlpmtx_std@@@stlpmtx_std@@QAAAAPAVNavListShortcutNode@@XZ
no-relocs       (none)                       (none)                       src/lazer/meta_ham/SongSortMgr.cpp :: ?front@?$vector@HV?$StlNodeAlloc@H@stlpmtx_std@@@stlpmtx_std@@QAAAAHXZ
no-relocs       (none)                       (none)                       src/lazer/meta_ham/SongSortNode.cpp :: ??0?$_List_iterator@PAVNavListSortNode@@U?$_Nonconst_traits@PAVNavListSortNode@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/SongStatusMgr.cpp :: ??0?$_List_iterator@UFlauntStatusData@@U?$_Nonconst_traits@UFlauntStatusData@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/SongStatusMgr.cpp :: ??0?$_List_iterator@USongStatusData@@U?$_Nonconst_traits@USongStatusData@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/meta_ham/UIEventMgr.cpp :: ?front@?$vector@PAVBandEvent@UIEventMgr@@V?$StlNodeAlloc@PAVBandEvent@UIEventMgr@@@stlpmtx_std@@@stlpmtx_std@@QAAAAPAVBandEvent@UIEventMgr@@XZ
no-relocs       (none)                       (none)                       src/lazer/net_ham/DataMinerJobs.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/net_ham/DataMinerJobs.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/net_ham/DataMinerJobs.cpp :: ??0?$_List_iterator@U?$pair@VSymbol@@V1@@stlpmtx_std@@U?$_Const_traits@U?$pair@VSymbol@@V1@@stlpmtx_std@@@2@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/net_ham/PartyModeJobs.cpp :: ??0?$_List_iterator@VSongQueueRow@@U?$_Nonconst_traits@VSongQueueRow@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/lazer/net_ham/RockCentral.cpp :: ??0?$_List_iterator@P6AXXZU?$_Nonconst_traits@P6AXXZ@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/Char.cpp :: ??0?$_List_iterator@P6AXXZU?$_Nonconst_traits@P6AXXZ@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBlendBone.cpp :: ??0?$_List_iterator@PAVObject@Hmx@@U?$_Nonconst_traits@PAVObject@Hmx@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBone.cpp :: ??0?$_List_iterator@UBone@CharBones@@U?$_Nonconst_traits@UBone@CharBones@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBone.cpp :: ??0?$_List_iterator@UWeightContext@CharBone@@U?$_Const_traits@UWeightContext@CharBone@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBone.cpp :: ??0?$_List_iterator@UWeightContext@CharBone@@U?$_Nonconst_traits@UWeightContext@CharBone@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBoneDir.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Const_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
no-relocs       (none)                       (none)                       src/system/char/CharBoneDir.cpp :: ??0?$_List_iterator@PAVObjectDir@@U?$_Nonconst_traits@PAVObjectDir@@@stlpmtx_std@@@stlpmtx_std@@QAA@PAU_List_node_base@1@@Z
