# GRID Z — frozen by `gridz.py --freeze`.  Every prediction is
# a function of the CELL SPEC alone: this run compiled no obj,
# captured no IL and took no disassembly.  A moved sha256 at
# --grade is a HARD ERROR, never a re-freeze.
cell	fam	class	ru	cu	far	domain	H-2X	H-VADD	H-MIX	cu<=ru+1	cu<=ru+2	always-prod	clause-1	sha256_src
Z2-r2k3	Z2	LOAD	2	3	near	in	prod	prod	prod	prod	prod	prod	const	b122e7f7e11236622b5483aa06d8298ccd8a4849ca270d896642c2f76067d2c9
Z2-r3k4	Z2	LOAD	3	4	near	in	prod	prod	prod	prod	prod	prod	const	043c9b91626e8e8b8d18da82f06f84458765101804bda766b20a5cd3d253a3e7
Z2-r1k3	Z2	LOAD	1	3	near	in	const	const	prod	const	prod	prod	const	37a79d68132c81207614f60899408b6d2805df8fa0b1f63d754ac84472bb3197
Z2-r2k4	Z2	LOAD	2	4	near	in	const	const	prod	const	prod	prod	const	822e8290cede956603bca3f18d21f217fb265d0df79cd67b8902beaf3ee48666
Z2-r3k5	Z2	LOAD	3	5	near	in	const	const	prod	const	prod	prod	const	b6a8b39353a070613398d019ae0c2db10754d4b2bf7ec11016ecea2ebfb2f5f5
Z2-r1k4	Z2	LOAD	1	4	near	in	const	const	const	const	const	prod	const	bc6f6456f4ead51eb9029daa11018b91f8b6950ab9f6ee4b5feb1218061c2f8b
Z2-r2k5	Z2	LOAD	2	5	near	in	const	const	const	const	const	prod	const	d6abd4666996648e88d79621f38715f20f7e40d414b77ca03c24054d874cfaf0
Z2-r3k6	Z2	LOAD	3	6	near	in	const	const	const	const	const	prod	const	9d93bd3434abdbb2372936dece54d7095f7cd1bf8f8c05779579b846e43bebf1
Z3-r1k1	Z3	SELF-2B-tail-agrees	1	1	near	in	prod	prod	prod	prod	prod	prod	const	fdcf1d2d346d63a9881e159877bbb13e36846e68a88753034bf2d594caa30ada
Z3-r2k3	Z3	SELF-2B-tail-agrees	2	3	near	in	prod	prod	prod	prod	prod	prod	const	85fb4f6a26db2fdf013939fb07a0df7b526a153e796c600586be19337ab23095
Z3-r3k4	Z3	SELF-2B-tail-agrees	3	4	near	in	prod	prod	prod	prod	prod	prod	const	e965e92abeaf839759c70349e89f9eabadc6797bca86b8f83ece6ffd220e191d
Z3-r1k3	Z3	SELF-2B-tail-agrees	1	3	near	in	prod	prod	prod	const	prod	prod	const	4db68d7e3f99cf32f32ba86f168e8946c504e012c4638df907cb985cd930520e
Z3-r2k4	Z3	SELF-2B-tail-agrees	2	4	near	in	prod	prod	prod	const	prod	prod	const	76a737757a805ffbdc51dc7f27c135f90c0b349f3db6da6371607abcc16d8e8c
Z3-r3k5	Z3	SELF-2B-tail-agrees	3	5	near	in	prod	prod	prod	const	prod	prod	const	ed3de651532567f7e9f2d28b5162695b76290f70734ed01a5f42eb26bdcce6a7
Z3-r1k4	Z3	SELF-2B-tail-agrees	1	4	near	in	const	const	const	const	const	prod	const	6d8185feb61519fd870fb74a5123febda42f0a14bad3279becbc1767854feb12
Z3-r2k5	Z3	SELF-2B-tail-agrees	2	5	near	in	const	const	const	const	const	prod	const	7508ac9e2455db67530be12bd21e980b00bc037bf42fbb7f32e69771f938c0e1
Z3-r3k6	Z3	SELF-2B-tail-agrees	3	6	near	in	const	const	const	const	const	prod	const	ea6abd55c8df4e2a82cf2791ef757570d355264f3fff0f1b1ce6583c82f61c2c
Z4-r1k1	Z4	SELF-2B-tail-differs	1	1	near	in	prod	prod	prod	prod	prod	prod	const	004982aa18309c16539cea1c44c36d8005143e0aee783fb482819fc1cfd8928b
Z4-r2k3	Z4	SELF-2B-tail-differs	2	3	near	in	prod	prod	prod	prod	prod	prod	const	a92179c83277a7be0c76cf973842feda9c59f38ef4490a04cff38ebea713d266
Z4-r3k4	Z4	SELF-2B-tail-differs	3	4	near	in	prod	prod	prod	prod	prod	prod	const	f905cb4be0234ae7a73fc08676ac8f70226c08306a97689d0b8ef38866733d8d
Z4-r1k3	Z4	SELF-2B-tail-differs	1	3	near	in	prod	prod	prod	const	prod	prod	const	c9a55f060c7ca6654523d3b66d56ffa8c32fe37bf044102f3db76b5acfe6e138
Z4-r2k4	Z4	SELF-2B-tail-differs	2	4	near	in	prod	prod	prod	const	prod	prod	const	9f6db65389d49ca31da44da5843cf4a87fc35e33e60469384014507d51e9f8cf
Z4-r3k5	Z4	SELF-2B-tail-differs	3	5	near	in	prod	prod	prod	const	prod	prod	const	581639ebad0763d6ca96ac834e65847bd12bb06d4e5ae5b292c58b24ab233915
Z4-r1k4	Z4	SELF-2B-tail-differs	1	4	near	in	const	const	const	const	const	prod	const	8d092738658dbb7c65240fdd6325ddd928db8b2be0064e37a505ebe66377fccc
Z4-r2k5	Z4	SELF-2B-tail-differs	2	5	near	in	const	const	const	const	const	prod	const	6c2a397841114df4cf284026834b30199a66f9353d4bc28cb08d000bdecc6cfc
Z4-r3k6	Z4	SELF-2B-tail-differs	3	6	near	in	const	const	const	const	const	prod	const	5a126e96675eb23049c2b9b01f5488a86d20f6b0ab452575b1945bdd13210193
Z5-r1k1	Z5	MIRROR	1	1	near	in	prod	prod	prod	prod	prod	prod	const	4b57b3d0840154acb78d813543fe8970c92a9d9e4b2a9846c1fa4a3f00896e64
Z5-r2k3	Z5	MIRROR	2	3	near	in	prod	prod	prod	prod	prod	prod	const	8d96f8f89fdc0ad69a0dc51a91825c5f761aaeee24a4cbe3bd87aa4e15657862
Z5-r3k4	Z5	MIRROR	3	4	near	in	prod	prod	prod	prod	prod	prod	const	9da0dec206fdf34abe3a6a8cf4610dc3f98c8b3bf18bdcaa3f3060426539854d
Z5-r1k3	Z5	MIRROR	1	3	near	in	prod	const	const	const	prod	prod	const	709a6f002f38d3cc4b61b95310e2227dd043634a6d9c6d5daf19ffe5af138142
Z5-r2k4	Z5	MIRROR	2	4	near	in	prod	const	const	const	prod	prod	const	387f5400f2f5ecdd503951cb6e3ac28d6090caaf0d6e75cf8854c816a10c3c33
Z5-r3k5	Z5	MIRROR	3	5	near	in	prod	const	const	const	prod	prod	const	c6dc95b7ac7e3e1c1f3e5fb0ec9554644860c7a745be24a6535c4cfa88277f43
Z5-r1k4	Z5	MIRROR	1	4	near	in	const	const	const	const	const	prod	const	03c8a9f7a2b78807604af6fa44f5ad356d4f3826072d5079b7087df3c484c385
Z5-r2k5	Z5	MIRROR	2	5	near	in	const	const	const	const	const	prod	const	7b61d3138417a08d65a88b040a70cc4b95c346287f5482d3c40bd9b7d3ec223e
Z5-r3k6	Z5	MIRROR	3	6	near	in	const	const	const	const	const	prod	const	835eab7368d424e1ff06811818317e9d8abd168f61a309b36f70a5f5de6d3635
Z6-r1k1	Z6	TWOBIND	1	1	near	in	prod	prod	prod	prod	prod	prod	const	1ca35cdff4c5bffdc1903363b8e24b2336a6628731c334968e0c469ea48bf044
Z6-r2k3	Z6	TWOBIND	2	3	near	in	prod	prod	prod	prod	prod	prod	const	20f037143ec5c9c05e2ba7fa8a2ab51c4e1013c4524454ec9ad0d8fdbc34e8d8
Z6-r3k4	Z6	TWOBIND	3	4	near	in	prod	prod	prod	prod	prod	prod	const	e594fdcea3cf9873267d699b2b30a78ee38f9bf333151d81ff330c5735b695e8
Z6-r1k3	Z6	TWOBIND	1	3	near	in	prod	const	prod	const	prod	prod	const	d94588afa899da9cb6e8ffed4f82dbe2636e4c0bf2e4de9308811dd24776a1d3
Z6-r2k4	Z6	TWOBIND	2	4	near	in	prod	const	prod	const	prod	prod	const	05343804d823d051ec73bb4c67b4375e9bd5e18e1f1d4a55cdb6b6f87fe9867c
Z6-r3k5	Z6	TWOBIND	3	5	near	in	prod	const	prod	const	prod	prod	const	5e707af84388fb2e114bdab1cbea8f7644aa147fe9c4c1315ca223bc2b7cf8cd
Z6-r1k4	Z6	TWOBIND	1	4	near	in	const	const	const	const	const	prod	const	a76b283999b2bfbd887e26a971619106219452ee182ac17b5e520fddaf892287
Z6-r2k5	Z6	TWOBIND	2	5	near	in	const	const	const	const	const	prod	const	ab179b3c3bfe3f5a0fb01f3ffdf551f01adc1497c14f16a01547db833a88a221
Z6-r3k6	Z6	TWOBIND	3	6	near	in	const	const	const	const	const	prod	const	b2e51c027169b693f442afacbfd4581bcc86092655371dab7d26618294a1c981
Z1-r1k3-far	Z1	SELF-1B	1	3	far	in	const	const	const	const	prod	prod	const	9cbed8ef797c98fc69907588bbdf57f4c870110209db379d23a4d5bb00c9fa61
Z1-r2k4-far	Z1	SELF-1B	2	4	far	in	const	const	const	const	prod	prod	const	5f93ed12533ee8502b5b240faf209eb654e27f6bbd7d2040c2b747713b06e0ef
Z1-r3k5-far	Z1	SELF-1B	3	5	far	in	const	const	const	const	prod	prod	const	c78c4e3036f711e9e93f8942f662c49758576fe94dfbbe7cb65a39d0bf63da41
Z2-r1k3-far	Z2	LOAD	1	3	far	in	const	const	prod	const	prod	prod	const	8398f81fb22086e188bc130aa710a397b74cac22c1b314a282278d2343a3bf68
Z2-r2k4-far	Z2	LOAD	2	4	far	in	const	const	prod	const	prod	prod	const	3598ed8698971b5c68c71661482897cb472e99acb1287cae6fad8628c928d30b
Z2-r3k5-far	Z2	LOAD	3	5	far	in	const	const	prod	const	prod	prod	const	0a1f1f8d95acd6f5130ed22fdde211bd9a00a5b7ae62504cf6cb49c7b8637cac
Z3-r1k3-far	Z3	SELF-2B-tail-agrees	1	3	far	in	prod	prod	prod	const	prod	prod	const	3bd16891f831eed7decf246d6c4e2b5f910a324c90da72ccfc4a8e0cfe4d6e0e
Z3-r2k4-far	Z3	SELF-2B-tail-agrees	2	4	far	in	prod	prod	prod	const	prod	prod	const	7f6b34b3aa99aa9736c92457788e55ecb0f4fb2e9061eb65f85f38a32371811e
Z3-r3k5-far	Z3	SELF-2B-tail-agrees	3	5	far	in	prod	prod	prod	const	prod	prod	const	e9dd61966543f759f88dae0a469c823840721b263d5ceff9ca5b79e3eaf3ceaa
Z4-r1k3-far	Z4	SELF-2B-tail-differs	1	3	far	in	prod	prod	prod	const	prod	prod	const	c048e95cedbc298e9d570fcd3453ec99429c0745ee1fad986f9ee2f4c5424f27
Z4-r2k4-far	Z4	SELF-2B-tail-differs	2	4	far	in	prod	prod	prod	const	prod	prod	const	b0937968604445aca487f00e677863e391c8bd270412787a620c486431361ea0
Z4-r3k5-far	Z4	SELF-2B-tail-differs	3	5	far	in	prod	prod	prod	const	prod	prod	const	0dcf9049eee7531d1273b3b1aca8b6f30f7a2c78c9f58edbbb6fe381c7300cf1
Z5-r1k3-far	Z5	MIRROR	1	3	far	in	prod	const	const	const	prod	prod	const	ac4c0b3b6478067e3a3b4733b610e45deaf719ded4264f53cc90cde5193ed8b9
Z5-r2k4-far	Z5	MIRROR	2	4	far	in	prod	const	const	const	prod	prod	const	fd95a876ef25e2faa766b4539657bd84f7d853933642a4571a532bb71747fab0
Z5-r3k5-far	Z5	MIRROR	3	5	far	in	prod	const	const	const	prod	prod	const	6ffb2056b6a0c452fda3a088c957de2a86da25ccfc69e4be7dc7e43d2e67746e
Z6-r1k3-far	Z6	TWOBIND	1	3	far	in	prod	const	prod	const	prod	prod	const	6f506e18e97d95cab1140e6ad70e58ca522b77bd07b25c571dcfe64911f5eca7
Z6-r2k4-far	Z6	TWOBIND	2	4	far	in	prod	const	prod	const	prod	prod	const	493b2710fc7f1f298f97b35bd8d4d80829e0c46b696a88c932ea368417244f98
Z6-r3k5-far	Z6	TWOBIND	3	5	far	in	prod	const	prod	const	prod	prod	const	21b0e8fbc458e09292f2ac630c0db07c6b5c0d1f705d8dd12f7d68b4a2eea698
X1-r1k1	X1	CROSS-path	1	1	near	CONTROL	-	-	-	prod	prod	prod	const	e018837783d3624f723e84cb7e5f0231acafa56da2cd6af20d618a7ba6d3cceb
X1-r2k4	X1	CROSS-path	2	4	near	CONTROL	-	-	-	const	prod	prod	const	be124d6b5d8f4bcf2c1b2d4ce2e821b9dc91cdb7b8a9fc733937faac8dc4a865
X1-r3k5	X1	CROSS-path	3	5	near	CONTROL	-	-	-	const	prod	prod	const	513ff53baa98c75a65a34ad1b2ea94616a16d66dac0491b3c28ebf1b1a216c74
X2-r1k1	X2	CROSS-bind	1	1	near	CONTROL	-	-	-	prod	prod	prod	const	5639c6f76bb03275292726d49765a3c7141f1df47a76c89644b8bb27938456ea
X2-r2k4	X2	CROSS-bind	2	4	near	CONTROL	-	-	-	const	prod	prod	const	65d682c010d3b3cfebd7ce960f4ffa6c07064dd3a6c9f0b4051abb99898f2923
X2-r3k5	X2	CROSS-bind	3	5	near	CONTROL	-	-	-	const	prod	prod	const	5b15128da7e2a2f4dcd9f407793bf394026ed3be467adfb68eba4b4fa3f7d5fb
X3-r1k1	X3	OTHEROBJ	1	1	near	CONTROL	-	-	-	prod	prod	prod	const	aa7674584653cb7d3cdfeafe32afb26ab1ee39902ff0bda1197af48a9ee653d6
X3-r2k4	X3	OTHEROBJ	2	4	near	CONTROL	-	-	-	const	prod	prod	const	787235addfd5db17b14a8de822b7bf1553fde4dc5ccebfc8af29f8f899c066de
X3-r3k5	X3	OTHEROBJ	3	5	near	CONTROL	-	-	-	const	prod	prod	const	97ec2b652ba069d7a35215503fb6c3f7a748a8b8ae9bbde93b3cbc0d06411943
