# w-joint3 (2026-08-24) -- CENSUS KEY POPULATIONS, the cheap half of board #3509.
#
# HANDOFF, not a work order. Board #3509 records that Phase 1's ten constructs
# have never been mapped to census keys -- ROADMAP_SLICING_2026-08-21.md section 3
# gives an opcode for THREE of TEN -- so "can Phase 1 convert a TU" is not
# decidable from any measurement in this tree. That read is ~0.5-1 day and this
# lane declined to take it rather than guess the mapping (decision 10's lesson).
# This file is its CHEAP HALF, delivered so the read starts from counted
# populations instead of from nothing.
#
# SORTED BY KEY NAME, DELIBERATELY. Sorting by mass would make this a ranking,
# and the rule against dispatching off a blocked-key size ranking has bound five
# times (#3505). Every number here is a FIRST-BLOCKER count: #3131 -- the port
# stops at the first refusal by design, so each body reports one key however many
# it has, and NONE of these columns is a distance or a reach.
#
# blocked_bodies : first-blocker count over the census route (4C 4F 11 splitter)
# tus            : distinct TUs in which the key appears at all
# emit_blockers  : the same key on the emitted-symbol-bound population, for
#                  scale only -- a DIFFERENT denominator, never summed with the first
#
# corpus  ../dc3-decomp 15a64d92f197+42949672950+42949672950 (clean)
# scan    c2rs 77dc81022 / binary b2241a63a00e / 878 TU rows
# totals  1710066 blocked bodies over 785 distinct keys; denominator 2,417,794 slots
#
key	blocked_bodies	tus	emit_blockers
call-multiarg-postop-0x1A	7610	806	546
call-multiarg-postop-0x2C	3066	808	469
call-multiarg-postop-0x30	686	686	0
call-multiarg-postop-0x33	1600	799	17
call-postop-0x26	2	1	2
call-postop-0x2C	1497	749	1
call-postop-cflow-brfalse	1	1	1
call-postop-op-0x27	2	2	2
call-postop-op-0x33	1	1	1
call-ref-0x53	19	17	19
call-ref-0x67	2	2	2
call-ref-0x9B	1	1	1
call-ref-0xB9	711	703	15
call-ref-cflow-jump	10323	832	107
call-token-0x26	443	438	21
call-token-0x33	2	2	2
call-token-0x9B	1	1	1
call-token-0xB9	1569	701	42
callee-defined-in-tu:eof	1	1	1
callee-unresolved-tail-call:eof	2282	720	17
callseq-multiarg-sym:eof	5	1	5
callseq-postop-op-0x27	1	1	1
callseq-saved-with-first-call-setup:eof	1	1	1
data-sym-not-extern:eof	52	32	39
data-sym-strlit-fenced:eof	1	1	1
data-sym-unresolved:eof	1665	350	373
expr-and-and	10	7	9
expr-brfalse	25803	826	3095
expr-brtrue	35445	823	1937
expr-call-in-expr-chained-then-bit-and-and-branch-more	1	1	1
expr-call-in-expr-chained-then-branch-brfalse	4	3	4
expr-call-in-expr-chained-then-call-chained-more	16	12	10
expr-call-in-expr-chained-then-call-nested-call-and-type-real-more	2	2	2
expr-call-in-expr-chained-then-call-op-0x64	4	1	4
expr-call-in-expr-chained-then-call-op-0x9B	6	2	6
expr-call-in-expr-chained-then-call-recv-call-and-call-more	9	4	9
expr-call-in-expr-chained-then-call-recv-deref-and-chain-bind-more	497	493	11
expr-call-in-expr-chained-then-call-recv-deref-and-op-more	1	1	1
expr-call-in-expr-chained-then-call-recv-deref-more	324	148	8
expr-call-in-expr-chained-then-call-recv-field-and-chain-bind-more	5	1	5
expr-call-in-expr-chained-then-call-recv-field-and-chain-bind-whole2	285	229	22
expr-call-in-expr-chained-then-call-recv-intrinsic-this-adjust-and-chain-bind-more	12	8	12
expr-call-in-expr-chained-then-call-recv-intrinsic-this-adjust-and-chain-bind-whole3	1	1	1
expr-call-in-expr-chained-then-call-recv-intrinsic-this-adjust-and-off-add-more	379	371	7
expr-call-in-expr-chained-then-call-recv-intrinsic-vbase-upcast-and-chain-bind-more	4	4	4
expr-call-in-expr-chained-then-call-recv-load-and-deref-load-more	1	1	1
expr-call-in-expr-chained-then-call-recv-load-and-op-more	1	1	1
expr-call-in-expr-chained-then-call-recv-load-and-type-real-more	2	1	2
expr-call-in-expr-chained-then-call-recv-load-whole	1	1	1
expr-call-in-expr-chained-then-chain-bind-and-deref-load-more	2	1	2
expr-call-in-expr-chained-then-chain-bind-and-op-more	1	1	1
expr-call-in-expr-chained-then-chain-bind-whole	1	1	1
expr-call-in-expr-chained-then-cmp-le-and-branch-more	1	1	1
expr-call-in-expr-chained-then-deref-load-more	1	1	1
expr-call-in-expr-chained-then-off-add-and-call-more	1	1	1
expr-call-in-expr-chained-then-off-add-and-chain-bind-more	1	1	0
expr-call-in-expr-chained-then-op-0x29	2	2	2
expr-call-in-expr-chained-then-op-0x64	2202	734	488
expr-call-in-expr-chained-then-plain-call-and-call-more	1	1	1
expr-call-in-expr-chained-then-plain-call-and-temp-bind-more	1	1	1
expr-call-in-expr-chained-then-plain-call-and-type-real-more	2	1	2
expr-call-in-expr-chained-then-plumbing-0x3A	726	721	5
expr-call-in-expr-chained-then-temp-bind	29	24	29
expr-call-in-expr-chained-then-type-aggregate-more	2	2	2
expr-call-in-expr-chained-then-type-int1-and-branch-more	1	1	1
expr-call-in-expr-chained-then-type-int1-and-op-more	1	1	1
expr-call-in-expr-chained-then-type-int1-more	2947	734	54
expr-call-in-expr-chained-then-type-real-and-call-more	1	1	1
expr-call-in-expr-chained-then-type-real-more	1	1	1
expr-call-in-expr-chained-then-type-real-whole	1470	734	105
expr-call-in-expr-data-addr-then-branch-brfalse	1	1	1
expr-call-in-expr-data-addr-then-chain-bind-and-type-real-lit-whole3	713	713	1
expr-call-in-expr-data-addr-then-intrinsic-call	1	1	1
expr-call-in-expr-data-addr-then-off-add-and-call-more	1	1	1
expr-call-in-expr-data-addr-then-off-add-and-chain-bind-more	552	513	109
expr-call-in-expr-data-addr-then-off-add-and-chain-bind-whole2	434	284	38
expr-call-in-expr-data-addr-then-off-add-and-chain-bind-whole3	1	1	1
expr-call-in-expr-data-addr-then-off-add-and-deref-load-more	974	828	75
expr-call-in-expr-data-addr-then-off-add-and-deref-load-whole3	499	493	174
expr-call-in-expr-data-addr-then-off-add-and-op-more	1614	506	10
expr-call-in-expr-data-addr-then-off-add-and-plain-call-more	10	9	8
expr-call-in-expr-data-addr-then-off-add-and-plumbing-more	7020	809	466
expr-call-in-expr-data-addr-then-off-add-and-temp-bind-more	5558	505	234
expr-call-in-expr-data-addr-then-off-add-and-type-aggregate-more	8	8	1
expr-call-in-expr-data-addr-then-off-add-and-type-int1-more	3361	828	205
expr-call-in-expr-data-addr-then-off-add-and-type-int8-more	4	4	1
expr-call-in-expr-data-addr-then-off-add-and-type-real-lit-more	158	158	7
expr-call-in-expr-data-addr-then-off-add-and-type-real-more	36	36	2
expr-call-in-expr-data-addr-then-off-add-whole	10631	816	617
expr-call-in-expr-data-addr-then-op-0x29	1	1	1
expr-call-in-expr-data-addr-then-plain-call-and-op-more	3	3	3
expr-call-in-expr-data-addr-then-plain-call-and-plumbing-more	1	1	1
expr-call-in-expr-data-addr-then-plumbing-0x3A	3	3	3
expr-call-in-expr-data-addr-whole	1	1	1
expr-call-in-expr-data-read-then-bit-and-and-op-more	1	1	1
expr-call-in-expr-data-read-then-call-data-read-more	2	2	2
expr-call-in-expr-data-read-then-call-recv-load-and-temp-bind-more	3883	698	109
expr-call-in-expr-data-read-then-off-add-and-plumbing-more	26	20	26
expr-call-in-expr-data-read-then-off-add-and-type-int8-more	1	1	1
expr-call-in-expr-data-read-then-off-add-and-type-real-more	2	2	1
expr-call-in-expr-data-read-then-plain-call-and-call-more	1	1	1
expr-call-in-expr-data-read-then-plain-call-and-type-real-more	4	2	2
expr-call-in-expr-data-read-then-type-real-and-off-add-more	1	1	1
expr-call-in-expr-nested-call-then-call-data-addr-and-op-more	1	1	1
expr-call-in-expr-nested-call-then-call-nested-call-and-chain-bind-more	2	1	2
expr-call-in-expr-nested-call-then-call-nested-call-and-deref-load-more	3998	701	77
expr-call-in-expr-nested-call-then-call-nested-call-and-op-more	3	3	3
expr-call-in-expr-nested-call-then-call-nested-call-and-type-int2-more	2	1	2
expr-call-in-expr-nested-call-then-call-nested-call-and-type-real-more	9	7	9
expr-call-in-expr-nested-call-then-call-nested-call-and-virtual-more	1	1	1
expr-call-in-expr-nested-call-then-call-nested-call-whole	699	698	2
expr-call-in-expr-nested-call-then-off-add-and-chain-bind-more	379	379	10
expr-call-in-expr-nested-call-then-off-add-and-deref-load-more	707	702	6
expr-call-in-expr-nested-call-then-off-add-and-op-more	487	485	10
expr-call-in-expr-nested-call-then-off-add-and-plumbing-more	992	792	253
expr-call-in-expr-nested-call-then-off-add-and-type-int1-more	1	1	1
expr-call-in-expr-nested-call-then-off-add-and-type-real-lit-more	1	1	1
expr-call-in-expr-nested-call-then-off-add-and-type-real-more	4	2	3
expr-call-in-expr-nested-call-then-off-add-whole	1	1	1
expr-call-in-expr-nested-call-then-type-int8-more	233	233	0
expr-call-in-expr-nested-call-whole	1631	233	5
expr-call-in-expr-op-0x08	2	2	1
expr-call-in-expr-op-0x0F	3	3	3
expr-call-in-expr-op-0x10	2	2	1
expr-call-in-expr-op-0x1F	1	1	1
expr-call-in-expr-op-0x21	1	1	1
expr-call-in-expr-op-0x24	1	1	1
expr-call-in-expr-op-0x43	1	1	1
expr-call-in-expr-op-0x59	1	1	1
expr-call-in-expr-op-0x5C	81	81	3
expr-call-in-expr-op-0x64	17	8	17
expr-call-in-expr-op-0x67	17	10	17
expr-call-in-expr-op-0x9B	46124	702	1038
expr-call-in-expr-other	5	4	5
expr-call-in-expr-recv-call-then-call-data-read-more	3	2	3
expr-call-in-expr-recv-call-then-off-add-and-type-int1-more	1	1	1
expr-call-in-expr-recv-call-then-type-int1-more	5	5	5
expr-call-in-expr-recv-deref-then-branch-brfalse	1	1	0
expr-call-in-expr-recv-deref-then-call-data-addr-and-branch-more	2	1	2
expr-call-in-expr-recv-deref-then-call-nested-call-and-call-more	2	2	2
expr-call-in-expr-recv-deref-then-call-op-0x59	1	1	1
expr-call-in-expr-recv-deref-then-call-recv-deref-more	2	2	2
expr-call-in-expr-recv-deref-then-call-recv-intrinsic-this-adjust-and-op-more	71	71	1
expr-call-in-expr-recv-deref-then-call-recv-load-and-branch-more	1	1	1
expr-call-in-expr-recv-deref-then-call-recv-load-and-off-add-more	1	1	1
expr-call-in-expr-recv-deref-then-call-recv-load-and-type-int1-more	1	1	1
expr-call-in-expr-recv-deref-then-call-recv-object-and-call-more	1	1	1
expr-call-in-expr-recv-deref-then-call-recv-object-and-off-add-more	1	1	1
expr-call-in-expr-recv-deref-then-call-recv-object-and-op-more	2	2	2
expr-call-in-expr-recv-deref-then-cmp-ge-and-branch-more	1	1	1
expr-call-in-expr-recv-deref-then-cmp-gt-and-branch-more	1	1	1
expr-call-in-expr-recv-deref-then-deref-load-more	153	152	3
expr-call-in-expr-recv-deref-then-op-0x29	3	3	3
expr-call-in-expr-recv-deref-then-type-int1-and-branch-more	1	1	1
expr-call-in-expr-recv-deref-then-type-int1-more	1	1	1
expr-call-in-expr-recv-deref-then-type-int2-more	2	1	2
expr-call-in-expr-recv-deref-then-type-real-and-type-real-lit-more	1	1	1
expr-call-in-expr-recv-deref-then-type-real-more	1	1	1
expr-call-in-expr-recv-deref-then-virtual	1	1	1
expr-call-in-expr-recv-field-off0-then-branch-brfalse	389	385	8
expr-call-in-expr-recv-field-off0-then-branch-brtrue	3	3	3
expr-call-in-expr-recv-field-off0-then-call-data-addr-1sym-and-type-int1-whole2	309	164	2
expr-call-in-expr-recv-field-off0-then-call-data-addr-1sym-whole	2	2	2
expr-call-in-expr-recv-field-off0-then-call-data-addr-and-branch-more	1	1	1
expr-call-in-expr-recv-field-off0-then-call-data-addr-and-deref-load-more	228	226	7
expr-call-in-expr-recv-field-off0-then-call-data-addr-and-type-int1-more	30	30	1
expr-call-in-expr-recv-field-off0-then-call-nested-call-and-call-more	3	2	3
expr-call-in-expr-recv-field-off0-then-call-nested-call-and-type-real-more	698	698	425
expr-call-in-expr-recv-field-off0-then-call-op-0x64	5	3	5
expr-call-in-expr-recv-field-off0-then-call-op-0x9B	3197	806	190
expr-call-in-expr-recv-field-off0-then-call-recv-call-and-deref-load-more	706	706	9
expr-call-in-expr-recv-field-off0-then-call-recv-field-and-deref-load-more	5	5	3
expr-call-in-expr-recv-field-off0-then-call-recv-field-and-off-add-more	1	1	1
expr-call-in-expr-recv-field-off0-then-call-recv-field-and-op-more	2858	714	16
expr-call-in-expr-recv-field-off0-then-call-recv-field-and-plumbing-more	72	72	3
expr-call-in-expr-recv-field-off0-then-call-recv-field-off0-and-call-whole2	155	155	1
expr-call-in-expr-recv-field-off0-then-call-recv-field-off0-and-off-add-more	3	1	3
expr-call-in-expr-recv-field-off0-then-call-recv-field-off0-more	472	470	9
expr-call-in-expr-recv-field-off0-then-call-recv-field-off0-whole	155	155	1
expr-call-in-expr-recv-field-off0-then-call-recv-field-whole	3099	716	101
expr-call-in-expr-recv-field-off0-then-call-recv-intrinsic-this-adjust-and-off-add-more	87	87	1
expr-call-in-expr-recv-field-off0-then-call-recv-load-and-deref-load-more	1	1	1
expr-call-in-expr-recv-field-off0-then-call-recv-object-and-op-more	1	1	1
expr-call-in-expr-recv-field-off0-then-chain-bind-whole	2661	805	349
expr-call-in-expr-recv-field-off0-then-cmp-eq-and-branch-more	1	1	1
expr-call-in-expr-recv-field-off0-then-cmp-eq-and-op-more	52	52	1
expr-call-in-expr-recv-field-off0-then-deref-load-more	20174	805	1132
expr-call-in-expr-recv-field-off0-then-intrinsic-call	4776	806	522
expr-call-in-expr-recv-field-off0-then-not	1	1	1
expr-call-in-expr-recv-field-off0-then-off-add-and-deref-load-more	162	89	18
expr-call-in-expr-recv-field-off0-then-off-add-and-deref-load-whole2	1	1	1
expr-call-in-expr-recv-field-off0-then-off-add-and-type-int2-more	1	1	1
expr-call-in-expr-recv-field-off0-then-off-add-and-type-real-lit-whole3	714	714	63
expr-call-in-expr-recv-field-off0-then-off-add-whole	66	66	1
expr-call-in-expr-recv-field-off0-then-op-0x29	1	1	1
expr-call-in-expr-recv-field-off0-then-op-0x33	1	1	0
expr-call-in-expr-recv-field-off0-then-op-0x64	2195	309	507
expr-call-in-expr-recv-field-off0-then-plumbing-0x3A	1658	702	50
expr-call-in-expr-recv-field-off0-then-temp-bind	232	118	7
expr-call-in-expr-recv-field-off0-then-type-int1-and-branch-more	1	1	1
expr-call-in-expr-recv-field-off0-then-type-int1-and-off-add-more	1	1	1
expr-call-in-expr-recv-field-off0-then-type-int1-whole	387	224	9
expr-call-in-expr-recv-field-off0-then-type-real-and-op-more	1	1	1
expr-call-in-expr-recv-field-off0-then-type-real-lit-and-op-more	1566	715	51
expr-call-in-expr-recv-field-off0-then-type-real-more	1405	702	32
expr-call-in-expr-recv-field-off0-whole	1024	313	121
expr-call-in-expr-recv-field-then-bit-and-and-branch-more	8	8	8
expr-call-in-expr-recv-field-then-branch-brfalse	808	395	41
expr-call-in-expr-recv-field-then-branch-brtrue	38	26	35
expr-call-in-expr-recv-field-then-call-chained-and-call-more	1	1	1
expr-call-in-expr-recv-field-then-call-chained-and-temp-bind-more	698	698	2
expr-call-in-expr-recv-field-then-call-chained-more	1	1	1
expr-call-in-expr-recv-field-then-call-data-addr-1sym-and-op-whole3	2	2	2
expr-call-in-expr-recv-field-then-call-data-addr-1sym-and-type-int1-whole2	3	3	3
expr-call-in-expr-recv-field-then-call-data-addr-1sym-whole	2905	802	36
expr-call-in-expr-recv-field-then-call-data-addr-and-branch-more	204	202	4
expr-call-in-expr-recv-field-then-call-data-addr-and-call-more	1	1	0
expr-call-in-expr-recv-field-then-call-data-addr-and-deref-load-more	3	3	3
expr-call-in-expr-recv-field-then-call-data-addr-and-off-add-more	2	1	2
expr-call-in-expr-recv-field-then-call-data-addr-and-op-more	43	20	43
expr-call-in-expr-recv-field-then-call-data-addr-and-plumbing-more	10	10	2
expr-call-in-expr-recv-field-then-call-data-addr-and-temp-bind-more	628	272	13
expr-call-in-expr-recv-field-then-call-data-addr-and-type-aggregate-more	1	1	1
expr-call-in-expr-recv-field-then-call-data-addr-and-type-int1-more	17	16	3
expr-call-in-expr-recv-field-then-call-data-read-more	1	1	1
expr-call-in-expr-recv-field-then-call-nested-call-and-call-more	7	5	7
expr-call-in-expr-recv-field-then-call-nested-call-and-op-more	3	3	3
expr-call-in-expr-recv-field-then-call-nested-call-and-type-real-more	1	1	1
expr-call-in-expr-recv-field-then-call-nested-call-whole	219	218	4
expr-call-in-expr-recv-field-then-call-op-0x1F	1	1	1
expr-call-in-expr-recv-field-then-call-op-0x5C	1	1	1
expr-call-in-expr-recv-field-then-call-op-0x64	124	64	111
expr-call-in-expr-recv-field-then-call-op-0x67	1	1	1
expr-call-in-expr-recv-field-then-call-op-0x9B	125	77	120
expr-call-in-expr-recv-field-then-call-recv-call-and-type-int1-more	2	2	2
expr-call-in-expr-recv-field-then-call-recv-field-and-op-more	3	3	3
expr-call-in-expr-recv-field-then-call-recv-field-more	5	5	4
expr-call-in-expr-recv-field-then-call-recv-field-off0-and-type-real-lit-more	1	1	1
expr-call-in-expr-recv-field-then-call-recv-intrinsic-this-adjust-and-call-more	1	1	1
expr-call-in-expr-recv-field-then-call-recv-intrinsic-this-adjust-and-deref-load-more	1	1	1
expr-call-in-expr-recv-field-then-call-recv-intrinsic-this-adjust-and-off-add-more	106	105	9
expr-call-in-expr-recv-field-then-call-recv-intrinsic-this-adjust-and-op-more	1	1	1
expr-call-in-expr-recv-field-then-call-recv-intrinsic-vbase-upcast-and-branch-more	1	1	1
expr-call-in-expr-recv-field-then-call-recv-intrinsic-vbase-upcast-and-call-more	1	1	0
expr-call-in-expr-recv-field-then-call-recv-load-and-branch-more	3	2	3
expr-call-in-expr-recv-field-then-call-recv-load-and-call-more	2	2	2
expr-call-in-expr-recv-field-then-call-recv-load-and-deref-load-more	701	698	6
expr-call-in-expr-recv-field-then-call-recv-load-and-off-add-more	1	1	1
expr-call-in-expr-recv-field-then-call-recv-load-and-off-add-whole3	1	1	1
expr-call-in-expr-recv-field-then-call-recv-load-and-op-more	33	33	3
expr-call-in-expr-recv-field-then-call-recv-load-and-plumbing-more	2	2	2
expr-call-in-expr-recv-field-then-call-recv-load-and-type-int1-more	2	2	2
expr-call-in-expr-recv-field-then-call-recv-load-and-type-real-more	1	1	1
expr-call-in-expr-recv-field-then-call-recv-load-whole	4	4	4
expr-call-in-expr-recv-field-then-call-recv-object-and-call-more	7	5	7
expr-call-in-expr-recv-field-then-call-recv-object-and-op-more	3	3	3
expr-call-in-expr-recv-field-then-call-recv-object-and-type-int1-more	4	4	4
expr-call-in-expr-recv-field-then-chain-bind-and-deref-load-more	1	1	1
expr-call-in-expr-recv-field-then-chain-bind-and-plumbing-more	1	1	1
expr-call-in-expr-recv-field-then-chain-bind-whole	835	825	76
expr-call-in-expr-recv-field-then-cmp-eq-and-branch-more	709	699	14
expr-call-in-expr-recv-field-then-cmp-eq-and-off-add-more	1	1	1
expr-call-in-expr-recv-field-then-cmp-eq-and-type-int1-whole2	2	2	2
expr-call-in-expr-recv-field-then-cmp-eq-more	3	3	3
expr-call-in-expr-recv-field-then-cmp-ge-and-branch-more	3	3	3
expr-call-in-expr-recv-field-then-cmp-ge-and-type-int1-whole2	122	122	1
expr-call-in-expr-recv-field-then-cmp-gt-and-branch-more	206	200	10
expr-call-in-expr-recv-field-then-cmp-gt-and-type-int1-whole2	352	121	4
expr-call-in-expr-recv-field-then-cmp-lt-and-branch-more	3	3	3
expr-call-in-expr-recv-field-then-cmp-ne-and-branch-more	117	111	18
expr-call-in-expr-recv-field-then-cmp-ne-and-type-int1-whole2	1	1	1
expr-call-in-expr-recv-field-then-deref-load-and-off-add-whole2	194	194	1
expr-call-in-expr-recv-field-then-deref-load-and-op-more	2	2	2
expr-call-in-expr-recv-field-then-deref-load-and-plumbing-more	1	1	1
expr-call-in-expr-recv-field-then-deref-load-more	1927	538	100
expr-call-in-expr-recv-field-then-deref-load-whole	667	266	10
expr-call-in-expr-recv-field-then-intrinsic-call	151	139	28
expr-call-in-expr-recv-field-then-not	397	209	33
expr-call-in-expr-recv-field-then-off-add-and-call-more	3	3	3
expr-call-in-expr-recv-field-then-off-add-and-chain-bind-more	1	1	1
expr-call-in-expr-recv-field-then-off-add-and-deref-load-more	8698	738	824
expr-call-in-expr-recv-field-then-off-add-and-deref-load-whole3	148	148	3
expr-call-in-expr-recv-field-then-off-add-and-op-more	2	2	1
expr-call-in-expr-recv-field-then-off-add-and-type-int1-more	52	51	4
expr-call-in-expr-recv-field-then-off-add-and-type-int1-whole2	5	5	5
expr-call-in-expr-recv-field-then-off-add-and-type-int1-whole3	2	2	2
expr-call-in-expr-recv-field-then-off-add-and-type-real-lit-more	1	1	0
expr-call-in-expr-recv-field-then-off-add-and-type-real-lit-whole3	1	1	1
expr-call-in-expr-recv-field-then-off-add-and-type-real-more	2	2	2
expr-call-in-expr-recv-field-then-off-add-and-type-real-whole2	1	1	1
expr-call-in-expr-recv-field-then-off-add-and-type-real-whole3	1	1	1
expr-call-in-expr-recv-field-then-off-add-and-virtual-more	1	1	1
expr-call-in-expr-recv-field-then-off-add-whole	1	1	1
expr-call-in-expr-recv-field-then-op-0x0F	1	1	1
expr-call-in-expr-recv-field-then-op-0x29	8	7	8
expr-call-in-expr-recv-field-then-op-0x33	4	3	4
expr-call-in-expr-recv-field-then-op-0xB9	2	2	2
expr-call-in-expr-recv-field-then-plumbing-0x3A	1906	805	108
expr-call-in-expr-recv-field-then-temp-bind	538	262	8
expr-call-in-expr-recv-field-then-ternary	219	218	5
expr-call-in-expr-recv-field-then-type-aggregate-more	5	3	5
expr-call-in-expr-recv-field-then-type-int1-and-plumbing-more	11	11	1
expr-call-in-expr-recv-field-then-type-int1-more	5	4	5
expr-call-in-expr-recv-field-then-type-int1-whole	2757	513	56
expr-call-in-expr-recv-field-then-type-int4-more	3	1	3
expr-call-in-expr-recv-field-then-type-real-and-branch-more	1	1	1
expr-call-in-expr-recv-field-then-type-real-and-deref-load-more	1	1	1
expr-call-in-expr-recv-field-then-type-real-and-off-add-more	2	2	2
expr-call-in-expr-recv-field-then-type-real-and-op-more	1	1	1
expr-call-in-expr-recv-field-then-type-real-and-type-real-lit-whole2	1	1	1
expr-call-in-expr-recv-field-then-type-real-lit-and-op-more	4	3	3
expr-call-in-expr-recv-field-then-type-real-more	1221	295	30
expr-call-in-expr-recv-field-then-type-real-whole	1228	435	10
expr-call-in-expr-recv-field-then-virtual	6	5	4
expr-call-in-expr-recv-field-whole	15409	748	362
expr-call-in-expr-recv-intrinsic-base-downcast-then-call-recv-object-and-call-more	2	1	2
expr-call-in-expr-recv-intrinsic-base-downcast-then-call-recv-object-and-virtual-more	2	1	2
expr-call-in-expr-recv-intrinsic-base-downcast-then-plumbing-0x3A	2	1	2
expr-call-in-expr-recv-intrinsic-base-member-addr-then-cmp-eq-and-branch-more	1	1	1
expr-call-in-expr-recv-intrinsic-base-member-addr-then-cmp-lt-and-branch-more	1	1	1
expr-call-in-expr-recv-intrinsic-base-member-addr-then-plumbing-0x3A	4	4	3
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-data-addr-more	2	2	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-nested-call-and-branch-more	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-nested-call-and-call-more	12	10	12
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-nested-call-and-off-add-more	198	197	4
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-nested-call-and-op-more	2	2	2
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-nested-call-whole	2	2	2
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-op-0x22	154	154	0
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-op-0x38	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-op-0x5C	8	8	7
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-op-0x64	2	2	2
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-op-0x9B	7642	610	797
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-other	279	279	2
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-recv-call-and-call-more	2	2	0
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-recv-field-and-call-more	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-recv-field-and-plumbing-more	130	122	10
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-recv-field-whole	704	321	69
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-recv-intrinsic-this-adjust-more	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-recv-load-and-branch-more	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-recv-load-more	3	3	3
expr-call-in-expr-recv-intrinsic-this-adjust-then-call-recv-object-and-call-more	2	2	2
expr-call-in-expr-recv-intrinsic-this-adjust-then-chain-bind-and-deref-load-more	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-chain-bind-and-op-more	5	5	5
expr-call-in-expr-recv-intrinsic-this-adjust-then-chain-bind-whole	1686	289	143
expr-call-in-expr-recv-intrinsic-this-adjust-then-cmp-eq-and-branch-more	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-cmp-ge-and-branch-more	7	7	2
expr-call-in-expr-recv-intrinsic-this-adjust-then-cmp-gt-and-branch-more	1	1	1
expr-call-in-expr-recv-intrinsic-this-adjust-then-cmp-gt-more	2	2	0
expr-call-in-expr-recv-intrinsic-this-adjust-then-cmp-ne-and-branch-more	2	2	2
