cell	n	values	marks	source_order_idx
sw_rc031	6	4,5,6,7,8,9	11897,17714,21950,20761,22308,7181	1,0,2,5,3,4
sw_rc032	12	-1738,-1223,-976,211,456,584,694,1488,1718,1841,2836,3232	15925,29546,19647,15732,17453,20547,28526,2551,29481,9344,15239,29944	10,3,4,7,6,5,9,1,11,2,0,8
sw_rc033	20	19,20,21,23,30,31,32,50,51,52,82,83,132,133,147,154,165,168,169,170	12745,14506,9039,5267,26637,2817,27402,12840,4734,20238,16748,15923,22573,28143,20253,25530,15268,20811,15765,19857	13,16,6,7,17,9,8,2,0,14,19,4,11,1,15,3,12,18,10,5
sw_rc034	18	-1949,-1375,-1129,-971,-731,-581,-578,-2,76,778,995,1827,2469,2945,3602,3756,3789,3997	2107,19846,23594,2454,10133,28917,16916,18922,12341,10859,7447,22959,13592,9408,7779,4575,26823,4972	0,16,13,9,12,6,1,5,11,3,2,10,17,15,14,4,8,7
sw_rc035	22	19,20,90,91,92,93,121,122,124,125,139,140,141,142,171,172,173,174,185,186,187,396	4840,24988,27593,21824,6541,29096,3472,22399,21993,9946,25389,14191,5151,27513,24367,16209,15422,3947,16066,3751,16534,14804	2,15,13,12,6,19,11,0,14,4,21,18,8,1,20,10,3,9,5,16,7,17
sw_rc036	7	4,139,160,168,169,170,171	29675,16745,12008,18914,19453,18144,5813	0,6,1,2,3,5,4
sw_rc037	14	72,73,74,106,128,129,146,147,148,157,158,200,203,394	18478,21804,22622,11347,24820,25573,17405,4935,24002,5779,22285,13498,14971,11179	7,4,2,3,9,8,11,5,10,13,0,12,1,6
sw_rc038	11	35,36,55,79,80,104,133,134,192,193,194	7778,5751,2202,10145,21029,13704,6463,2919,11134,19812,13106	7,8,10,3,1,0,4,6,2,5,9
sw_rc039	7	-1077,-350,492,1269,2108,2562,3505	22897,9994,27139,20915,8446,19928,13240	6,4,0,5,1,2,3
sw_rc040	24	31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54	8816,29344,25709,22749,23734,18203,8432,22537,23338,27264,10817,5223,7045,18071,12437,11729,17283,6964,27223,8929,8970,17697,5809,10647	23,12,22,0,4,7,2,21,18,9,5,11,15,14,1,10,17,20,19,13,3,6,16,8
sw_rc041	18	-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16	24332,3182,14295,22695,24826,14642,29791,7490,12197,25239,13233,29852,3856,16240,6577,29923,14829,13820	12,9,3,16,1,15,5,8,2,6,14,11,17,4,0,10,7,13
sw_rc042	8	-768,595,1273,1415,2620,3222,3236,3246	9743,4092,1999,7829,4356,18887,1679,26073	3,6,7,5,0,2,1,4
sw_rc043	6	106,205,208,293,354,388	17592,6061,5238,23508,19721,19302	5,3,2,4,0,1
sw_rc044	19	-1852,-1713,-1554,-1337,-1058,-956,-290,-222,254,805,1081,1625,1948,2203,2226,2653,3390,3487,3778	5890,14112,29339,2889,1760,22036,1071,17702,15826,18673,1299,21621,5054,5820,12649,3460,16073,7128,28810	14,0,5,4,17,18,1,16,13,7,10,8,3,6,15,11,9,12,2
sw_rc045	18	3,4,5,6,17,18,19,20,67,68,69,81,96,141,142,189,192,193	3941,7733,14918,4921,16583,29503,26810,24097,17465,13374,19445,22358,4411,23724,19016,28139,10956,14185	9,17,12,3,1,0,16,4,14,5,13,15,11,2,10,8,6,7
sw_rc046	5	89,254,259,275,295	22121,3182,14763,9593,7511	3,1,4,0,2
sw_rc047	2	85,182	3538,5253	1,0
sw_rc048	2	168,169	11641,13645	0,1
sw_rc049	17	30,34,45,64,111,175,235,242,243,282,283,287,300,307,396,397,398	4836,2744,1393,26944,6631,2040,15954,24870,17665,4313,13926,18520,8211,21877,7863,2782,20169	11,9,1,6,5,4,13,15,0,12,16,10,14,2,3,7,8
sw_rc050	11	13,69,151,152,153,154,178,191,192,193,194	15255,8868,29311,13344,28506,29623,4268,18819,6766,6430,8210	6,0,9,7,4,5,10,1,3,8,2
sw_rc051	10	-979,1246,2061,2435,2532,3335,3489,3547,3690,3967	8311,4278,24282,29894,20200,15456,14905,24389,15170,17181	3,8,2,9,1,7,5,6,4,0
sw_rc052	14	-1,0,1,2,3,4,5,6,7,8,9,10,11,12	21008,9985,21290,8015,8538,17035,16754,19251,8970,6909,16697,14545,16890,18387	5,13,0,7,1,12,8,2,11,3,6,4,9,10
sw_rc053	5	133,159,175,287,388	22449,6288,24176,20049,18596	2,0,3,1,4
sw_rc054	3	-779,-151,2117	11805,7610,12860	0,2,1
sw_rc055	8	-3,-2,-1,0,1,2,3,4	10411,15272,7279,21393,8564,5904,19432,5718	2,3,7,5,6,4,0,1
sw_rc056	3	-757,1839,2937	1876,27203,4519	1,2,0
sw_rc057	12	-1809,-1344,-1033,-873,-389,60,1150,1231,1961,3085,3501,3986	19123,18206,25242,2478,19324,22850,8374,8310,29037,17567,3207,5257	5,0,10,6,11,1,9,4,3,8,7,2
sw_rc058	18	84,98,99,107,120,133,165,200,228,232,249,250,293,325,351,352,353,381	20867,22333,21149,12461,17343,2562,11314,10657,16212,4710,23551,9894,26855,6544,16982,1824,27645,1787	8,14,4,11,12,0,13,2,6,7,5,9,15,17,1,16,3,10
sw_rc059	7	14,15,16,17,18,19,20	25080,1963,22296,3552,28531,21216,11652	6,2,5,0,4,3,1
sw_rc060	9	37,40,133,181,186,230,235,239,335	2306,1979,5197,9610,14649,3722,7874,24528,23461	2,4,8,1,0,3,5,7,6
sw_rc061	13	32,59,105,107,123,131,154,161,176,236,245,364,373	29410,20638,28530,13787,8779,16827,12670,26104,3359,10791,26381,14348,23271	12,1,11,7,2,6,9,3,10,0,5,8,4
sw_rc062	6	127,128,181,182,183,184	21878,12151,27055,2408,6867,1140	5,2,0,4,3,1
sw_rc063	9	-1743,-1672,-714,1568,1690,1871,2038,3320,3476	1584,7704,3030,27384,3941,9994,29983,12883,11049	8,2,4,0,1,3,7,5,6
sw_rc064	15	20,21,22,23,24,25,26,27,28,29,30,31,32,33,34	26528,7017,22164,19342,17511,5528,1306,29779,29527,25450,21069,27432,14107,25887,21291	3,2,9,13,14,7,8,1,6,5,10,12,11,4,0
sw_rc065	19	26,27,28,29,31,32,33,36,37,38,52,53,119,120,121,122,173,174,175	5937,5501,1374,9664,20183,24592,24429,8535,26253,5009,27135,6652,18577,2327,17569,12859,19878,28838,25670	16,7,12,8,13,17,10,1,0,18,11,15,5,9,2,3,6,4,14
sw_rc066	15	25,26,27,28,29,30,31,32,33,34,35,36,37,38,39	7140,25246,29904,2437,2076,11486,16092,29859,8891,24607,25976,15794,27569,8737,27714	11,10,14,6,9,8,5,3,1,13,0,4,7,12,2
sw_rc067	5	4,61,62,63,114	20235,23035,28543,18291,1246	0,1,3,4,2
sw_rc068	14	-1938,-1228,-533,-530,-410,206,1022,1253,1401,2961,3111,3202,3279,3877	16358,12451,19814,1796,26331,7882,16554,25917,27193,19676,4910,27894,18808,14907	10,12,6,4,9,7,0,5,13,2,8,3,11,1
sw_rc069	16	55,56,57,58,83,84,114,115,126,156,157,158,163,164,190,191	26331,20803,15452,4865,3346,19125,9118,27265,14353,29689,4311,25881,27046,2572,4917,21181	0,13,9,5,10,14,4,7,6,15,1,8,3,2,12,11
sw_rc070	2	488,3438	23257,29617	1,0
sw_rc071	21	-1919,-1833,-1620,-1208,-1204,-1169,-485,-333,132,844,914,1028,1059,1171,1239,1732,1861,1875,3173,3543,3634	14892,21886,22829,25087,15156,13902,11626,1520,10126,1907,1259,29365,26191,20856,24263,5281,12093,11162,6904,23094,14696	7,19,13,16,9,18,5,0,3,8,15,4,14,6,1,20,12,2,11,17,10
sw_rc072	11	12,19,23,65,163,199,218,248,258,352,373	16157,28566,20793,17563,8347,9934,13075,26496,26111,10686,4881	8,1,4,6,3,9,2,0,5,10,7
sw_rc073	9	-1893,-1612,316,523,1082,1708,2139,2434,3363	12434,18514,11761,8052,29564,15554,2366,23683,25414	2,4,1,5,6,7,0,3,8
sw_rc074	13	-1767,-834,-386,1247,1445,1808,2654,2732,2878,3187,3313,3750,3983	5008,18939,4696,22416,15373,17929,19376,13332,5882,22648,22165,27959,29796	3,8,6,7,0,1,9,4,12,10,2,5,11
sw_rc075	18	44,45,52,56,86,110,112,162,163,182,184,189,206,226,280,283,362,392	5679,11215,22691,18703,21742,21943,22143,17076,11874,13720,2779,13358,25185,1843,10442,2815,12213,15190	4,0,13,6,12,17,5,16,7,10,1,11,3,15,14,9,8,2
sw_rc076	16	-1588,-1314,-954,-50,313,896,998,1363,1795,1818,2016,2164,2228,2283,2761,3682	16057,11276,19536,24094,18113,19566,8701,13324,11146,12360,14576,19985,28041,28050,27503,2831	9,8,10,14,1,11,12,2,7,13,5,4,6,3,15,0
sw_rc077	17	-979,-772,-718,-644,-613,-503,-110,-58,536,675,1317,1411,1466,2774,3371,3386,3443	22102,23966,4816,25593,2661,23041,7608,14408,16210,29510,3319,13084,1336,22266,7147,14366,4639	0,14,8,15,13,4,10,5,11,12,3,16,1,2,7,9,6
sw_rc078	9	28,29,30,31,32,33,34,35,36	7219,28676,19357,16442,1459,3848,4655,26136,20308	6,7,3,8,4,5,0,1,2
sw_rc079	3	143,144,145	1082,6822,27834	2,1,0
sw_rc080	19	38,52,57,109,114,121,128,144,154,155,173,197,210,303,312,338,364,396,397	7738,18972,23780,16694,1023,28517,26792,14292,8474,9470,10129,15892,22990,5745,29533,21539,20385,19159,19515	2,11,12,18,17,5,6,3,4,8,0,9,10,15,1,14,13,16,7
sw_rc081	22	12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33	11000,26060,19458,2081,23015,15312,6609,1668,24445,13077,20237,18596,6834,15852,12684,15913,11564,15642,2004,26101,21889,20588	16,21,17,13,20,2,9,18,7,14,8,4,5,19,6,1,15,11,3,10,12,0
sw_rc082	15	61,71,90,92,101,108,142,167,200,202,228,246,268,306,396	20115,27627,20778,14162,25193,20518,21064,18142,6941,10357,7979,23814,17934,27775,9015	11,5,10,12,13,4,3,8,2,1,0,9,6,7,14
sw_rc083	13	-1394,-355,272,1074,1105,1267,1514,1886,1956,1979,2474,2625,3069	14248,25248,14783,10568,6779,27188,2687,14631,20934,14765,29233,29795,16369	9,8,3,10,4,2,11,12,0,7,1,6,5
sw_rc084	16	55,79,116,131,182,224,234,244,245,265,292,311,323,334,390,395	17788,5281,1730,26435,17413,27607,29008,18676,22520,16033,19232,13285,25277,17504,27482,1944	8,5,3,15,11,6,4,13,12,14,2,0,7,1,9,10
sw_rc085	23	0,31,46,58,89,102,106,120,144,184,189,226,242,268,276,279,294,301,326,352,374,389,392	24220,15009,18124,11932,19584,29396,27106,26378,27321,4552,19509,28964,1250,29218,27738,5988,21728,21086,15086,12182,22943,21267,4819	4,20,7,12,1,10,2,8,18,15,11,3,0,16,19,17,13,22,9,14,5,21,6
sw_rc086	3	2,3,63	19708,6918,26603	1,2,0
sw_rc087	7	-919,-336,-23,652,2455,3389,3703	2259,14084,12341,10966,24624,7164,22663	0,6,3,4,2,5,1
sw_rc088	11	11,24,25,26,148,149,150,151,159,160,161	26004,1242,12859,3038,13534,15311,1494,4984,26288,25411,5273	6,0,2,5,3,1,9,10,4,7,8
sw_rc089	3	-977,143,3575	11216,11206,24893	2,0,1
sw_rc090	4	95,120,121,122	13900,22195,9906,7496	0,2,1,3
sw_rc091	20	3,12,40,55,69,108,163,181,202,208,221,261,281,304,317,320,360,383,385,399	26566,24797,15063,21941,2650,12465,2867,4885,11084,25392,7009,12616,20272,18520,21091,20758,20325,8936,29650,24361	4,15,8,0,14,2,5,18,9,17,3,7,10,16,11,1,12,13,6,19
sw_rc092	23	47,81,87,120,154,162,193,197,224,244,263,266,274,285,295,308,311,315,329,343,350,377,380	15130,18295,19327,9256,28522,24028,16240,27441,28054,26785,1311,25432,2640,5720,13267,24502,13342,24330,9083,20322,15931,28836,24289	1,20,10,7,15,0,18,14,2,17,16,3,8,22,11,5,9,21,12,19,13,6,4
sw_rc093	17	1,37,103,109,110,111,112,122,123,124,128,129,130,147,148,149,169	26300,16743,6149,18520,13985,8883,3102,7950,29790,7582,3388,12924,18439,2102,25497,8260,24162	11,9,15,0,1,16,10,6,4,7,8,13,14,5,12,2,3
sw_rc094	14	16,38,88,100,105,131,161,213,257,261,282,311,352,373	15315,18229,9010,1192,1035,9017,2303,2879,3396,20154,4234,28791,23362,14021	13,4,9,0,5,2,3,6,8,11,12,7,1,10
sw_rc095	2	-1014,569	22834,19693	1,0
sw_rc096	9	-1279,-910,571,616,1291,2725,2755,2990,3793	11668,10552,15480,12535,21537,7167,24154,17272,6108	2,0,3,7,1,5,4,8,6
sw_rc097	5	19,20,21,22,23	17265,12936,4785,9375,29021	1,0,2,4,3
sw_rc098	5	138,167,182,248,349	11168,23264,27241,11442,7487	3,4,1,2,0
sw_rc099	9	35,116,117,131,132,187,188,189,190	7560,28717,10779,12915,16509,24404,3095,4927,1889	7,8,1,2,5,6,4,0,3
sw_rc100	19	66,90,99,111,127,130,148,156,195,201,207,229,236,283,290,321,334,377,394	14104,22434,24288,7713,14809,23993,15656,17485,28888,9345,14820,28990,1832,15691,22674,16714,16464,16813,26670	14,8,1,17,16,2,12,5,15,0,4,6,13,7,9,10,11,3,18
sw_rc101	23	21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43	17449,29790,14061,29014,16762,10758,4568,23545,5554,3904,15754,19175,22719,5919,17039,28984,27974,27897,12626,12979,6547,12697,1952	6,19,14,13,9,21,22,11,8,2,12,7,20,1,3,4,15,10,18,5,16,17,0
sw_rc102	11	8,10,47,144,214,231,285,298,334,356,376	21999,8505,6255,25001,19660,3939,21437,20598,5501,7878,10388	1,3,8,10,7,9,2,5,0,6,4
sw_rc103	4	30,31,32,33	3602,17769,22080,5562	3,1,2,0
sw_rc104	15	7,30,39,52,86,157,165,238,247,266,287,290,353,380,391	5255,22091,21446,21157,13185,1208,18589,18857,1488,13265,17492,28996,7592,18143,13564	8,14,0,7,6,3,12,13,4,2,5,9,11,1,10
sw_rc105	4	105,182,206,223	2082,3735,24763,10983	3,2,1,0
sw_rc106	24	9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32	2059,21516,28433,2056,2904,14536,5705,11084,4910,13099,9480,11122,3217,22503,2482,17579,16556,24108,18097,28306,10225,20293,1513,7967	9,2,11,6,7,14,0,16,17,20,1,4,23,22,12,19,3,13,15,18,8,5,21,10
sw_rc107	8	22,120,164,165,166,189,190,191	29382,19343,11518,4321,13084,10803,11420,14138	3,7,0,6,2,5,4,1
sw_rc108	10	-1850,-1248,-428,-216,231,627,734,2832,3874,3961	28277,14043,11780,17013,4264,26227,28767,1560,14407,20951	9,5,0,3,4,8,6,7,1,2
sw_rc109	22	20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41	2878,29889,26239,6205,14960,22076,28168,7379,19577,9409,23967,26957,15709,23281,13730,22472,26953,28532,26858,15530,1540,15006	5,10,12,14,1,15,16,18,21,13,6,3,20,11,4,19,9,2,8,17,0,7
sw_rc110	13	26,66,67,130,131,132,133,146,148,151,152,153,154	15722,2898,11996,29103,20614,12351,12170,18395,10795,16673,16261,8764,24213	10,11,1,3,9,12,7,8,4,5,0,6,2
sw_rc111	22	-1490,-1137,-991,-730,-615,-609,-450,-419,-356,-214,-200,-64,352,940,1094,1570,2649,3255,3446,3647,3701,3860	5991,16919,17664,12043,2952,10217,22554,21368,27388,18259,12407,18944,20848,7426,9382,7792,6094,5485,15473,10594,16218,6944	15,17,14,5,4,21,20,1,19,18,13,16,0,11,8,12,2,3,6,9,10,7
sw_rc112	24	4,6,14,71,79,97,111,120,124,129,132,133,152,179,188,216,236,245,247,334,336,350,386,393	5241,16067,16913,16626,13114,15845,13247,2947,13178,20156,7121,1307,29989,28561,19710,23107,3050,22145,28074,22268,20120,28729,6956,11997	11,15,7,20,3,4,21,13,5,14,23,19,6,18,12,2,1,22,10,9,0,17,16,8
sw_rc113	8	-1926,-443,625,661,681,1069,3786,3884	23570,28108,24170,3010,17311,10177,14895,16408	0,1,2,4,7,5,3,6
sw_rc114	20	17,34,35,50,51,55,56,57,63,64,65,66,67,68,109,110,111,140,168,169	13969,19950,16202,13202,29312,2452,18654,7023,13396,4009,18991,12945,20382,19802,4873,25506,6924,10620,29977,12326	0,12,8,3,4,19,2,17,1,11,15,9,18,10,13,16,5,6,7,14
sw_rc115	2	136,280	7355,7262	0,1
sw_rc116	3	45,134,135	2408,23779,8724	2,0,1
sw_rc117	15	18,19,20,21,22,65,116,148,149,150,151,167,185,186,249	11638,21452,1761,8942,24253,26215,21800,5096,22075,22967,6403,13321,19068,12732,25432	13,3,0,12,14,6,5,2,8,10,7,4,9,11,1
sw_rc118	6	-898,-834,-65,2645,3089,3367	1441,20416,29589,9476,28412,12930	3,1,0,4,5,2
sw_rc119	11	-978,-812,-794,1033,1633,1972,2086,2383,3229,3532,3699	19972,20702,13424,14149,26967,29358,5018,17245,5090,11337,26736	2,7,3,5,9,4,6,8,10,1,0
sw_rc120	2	80,181	16329,16053	0,1
sw_rc121	22	-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	1187,4262,3957,18949,2932,7977,21207,23580,21771,2432,12502,18380,24222,13375,18494,21356,11903,27665,3166,8233,5519,16530	14,20,1,5,0,10,8,21,16,11,18,13,12,17,9,7,3,19,4,15,6,2
sw_rc122	13	45,47,53,108,130,138,142,202,291,310,317,379,390	10409,25902,23387,11061,13222,9080,20274,1992,27214,18767,22278,16548,10278	5,11,2,1,9,12,8,6,0,7,3,10,4
sw_rc123	16	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	29790,15780,25699,23649,10460,26135,22301,24257,22594,29727,11579,11532,24864,29369,22788,1902	14,3,10,7,5,12,8,6,11,0,9,2,4,15,1,13
sw_rc124	18	37,41,42,43,48,76,91,92,115,117,118,137,138,139,140,184,185,351	4325,9804,15041,1131,18939,11778,9989,1284,5443,24818,8097,21353,24196,14640,9305,19978,16632,1335	3,12,2,9,14,0,15,4,16,5,7,8,10,6,17,13,11,1
sw_rc125	2	233,366	13182,27070	1,0
sw_rc126	20	-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	28103,29791,13586,2841,13928,11800,19780,25719,21574,9875,2370,12311,28817,9472,28663,6910,16183,13448,21717,18576	3,15,4,14,11,13,0,6,19,16,12,2,18,10,1,17,5,9,8,7
sw_rc127	14	18,50,69,116,139,198,216,237,261,272,276,319,325,389	9328,3428,4581,28966,4729,18883,25325,14143,17057,16850,6284,17623,21185,6013	11,2,0,7,8,1,12,6,10,4,13,9,5,3
sw_rc128	19	4,5,6,7,87,88,89,114,146,147,148,160,161,162,163,176,177,178,179	25634,14297,12532,12137,22767,7702,9719,7889,16996,4483,8999,10228,16065,21985,3898,22203,6579,9336,7699	18,11,10,1,7,0,16,8,17,12,6,14,3,2,4,15,5,13,9
sw_rc129	3	16,85,236	13229,4120,4134	1,2,0
sw_rc130	19	-1467,-752,-596,-179,714,890,1041,1447,1519,1624,1742,1839,3411,3734,3807,3817,3834,3902,3945	22811,23232,18543,4814,20919,15471,25490,8905,12437,22186,23941,20407,9662,27590,4105,28410,24862,16758,4840	6,7,16,18,14,12,8,0,2,3,15,17,4,11,10,9,5,13,1
sw_rc131	17	28,29,33,34,72,73,93,127,128,129,155,156,157,159,160,161,162	27316,27374,8992,13751,22479,19780,29132,20869,27389,22337,15994,17850,10354,19608,15111,17825,8635	14,1,12,9,11,3,13,7,5,16,4,2,10,8,15,0,6
sw_rc132	5	-1576,-916,-95,351,3013	29068,2012,24148,4346,3835	1,0,2,3,4
sw_rc133	21	4,5,6,7,45,46,47,48,49,58,77,78,111,112,113,124,146,147,148,149,385	11204,14969,9812,24801,15771,20064,29182,13357,26343,23846,25849,16884,12554,10404,6551,11101,12114,3209,21505,12682,26592	13,8,11,1,5,0,2,17,12,3,15,19,18,9,16,7,4,14,6,10,20
sw_rc134	15	9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	24205,24341,26669,16342,9593,14595,12318,17885,3208,24832,20945,28007,13958,6991,4212	1,8,9,4,0,7,10,11,14,5,12,2,13,3,6
sw_rc135	17	36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52	21536,26036,10433,3982,28748,21058,21820,20687,10693,2811,22727,1192,26618,22364,15381,19118,13877	8,2,6,3,11,14,12,4,1,5,15,13,0,10,7,9,16
sw_rc136	3	134,232,256	25365,9244,16496	0,1,2
sw_rc137	16	79,82,99,100,152,188,219,253,288,301,313,314,335,365,368,388	17166,26356,2280,7048,10939,28068,11851,4310,8625,29053,4527,16905,9513,8605,19646,5888	14,8,7,5,4,15,11,2,10,1,9,12,0,3,6,13
sw_rc138	12	-1933,-1568,-1262,-963,934,1275,1468,1841,1976,2288,2449,2905	11978,29669,4802,17235,19248,22942,23791,17728,13444,6581,3896,15523	10,5,7,0,1,11,8,6,9,4,2,3
sw_rc139	7	1,2,3,4,5,6,7	16211,22493,23178,4756,2950,1886,11666	4,3,1,6,2,5,0
sw_rc140	19	28,29,30,48,49,50,51,60,61,62,63,142,153,154,168,172,173,193,197	10644,12261,28513,22765,2825,18582,6537,2305,3856,28775,8959,21967,1190,29968,28369,10107,21939,12573,22882	0,11,13,5,15,7,6,8,17,16,2,18,3,9,10,14,12,4,1
sw_rc141	8	-3,-2,-1,0,1,2,3,4	27772,5143,7105,11224,19985,13793,25698,8240	4,1,5,2,7,0,3,6
sw_rc142	12	80,126,140,149,160,167,204,292,295,334,389,398	20993,2000,27349,22816,1058,16977,6746,22995,28996,27313,16924,12630	11,1,5,4,3,0,2,10,7,6,9,8
sw_rc143	2	7,8	14997,3832	0,1
sw_rc144	6	-2,-1,0,1,2,3	6059,10944,3567,20743,9894,22234	0,1,4,3,2,5
sw_rc145	10	65,94,100,111,155,179,242,249,300,346	21326,26106,15566,24461,4779,1499,3183,22374,4436,23007	9,7,8,0,3,1,6,4,5,2
