scanning .text VA 0x10b01000 raw@0x400 size 0x12ce00 (1232384 bytes) for 16-bit stores at +0x50
candidate byte positions: 197  (patterns tried: 2136)
  0x10b57eb7  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b5aebd  subb/2 BYTE PTR [edi+0x50] (half 0)
  0x10b5bf2f  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b65299  addb/6 BYTE PTR [ebp+0x50] (half 0)
  0x10b67f9b  addb/6 BYTE PTR [ebp+0x51] (half 1)
  0x10b69e19  addb/2 BYTE PTR [eax+0x50] (half 0)
  0x10b6a5d4  orb/0 BYTE PTR [eax+0x50] (half 0)
  0x10b6e727  addb/5 BYTE PTR [edx+0x50] (half 0)
  0x10b731d6  movb-imm8/0 BYTE PTR [eax+0x50] (half 0)
  0x10b758c7  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10b7666d  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b766bc  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b7a88f  orb/0 BYTE PTR [eax+0x50] (half 0)
  0x10b7abd4  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10b7c54f  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b7e56c  addb/2 BYTE PTR [eax+0x50] (half 0)
  0x10b7fca1  addb/2 BYTE PTR [eax+0x50] (half 0)
  0x10b7fe92  addb/2 BYTE PTR [eax+0x50] (half 0)
  0x10b81afc  orb/2 BYTE PTR [eax+0x50] (half 0)
  0x10b84901  addb/2 BYTE PTR [esi+0x50] (half 0)
  0x10b860dd  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10b899c5  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b8b845  addb/2 BYTE PTR [ecx+0x50] (half 0)
  0x10b8b88a  addb/2 BYTE PTR [ecx+0x50] (half 0)
  0x10b8c49e  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b8f5bb  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10b8f657  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b8feba  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b8ff66  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b90fc0  addb/2 BYTE PTR [eax+0x50] (half 0)
  0x10b921ad  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b9569e  addb/2 BYTE PTR [ecx+0x50] (half 0)
  0x10b95790  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b99f05  addb/5 BYTE PTR [eax+0x50] (half 0)
  0x10b9bf6c  mov WORD PTR [esi+0x50],ax
  0x10b9c675  orb/2 BYTE PTR [edx+0x51] (half 1)
  0x10b9c6a6  orb/2 BYTE PTR [edx+0x51] (half 1)
  0x10b9d6d7  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10b9f95d  andb/6 BYTE PTR [ebp+0x50] (half 0)
  0x10ba271b  orb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10ba27cc  orb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10ba428d  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10ba4740  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10ba4751  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10ba47c9  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10ba47da  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10ba4a18  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10ba4ab5  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10ba4ac6  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10ba9427  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10ba955b  grp1b-imm8/1 BYTE PTR [esi+0x50] (half 0)
  0x10ba9e58  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10baa62b  orb/2 BYTE PTR [edi+0x50] (half 0)
  0x10baa74f  grp1b-imm8/1 BYTE PTR [esi+0x50] (half 0)
  0x10baa8c1  grp1b-imm8/1 BYTE PTR [esi+0x50] (half 0)
  0x10bab9cc  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10baef6f  addb/2 BYTE PTR [edi+0x50] (half 0)
  0x10baefab  addb/2 BYTE PTR [ecx+0x50] (half 0)
  0x10bafda1  orb/2 BYTE PTR [edx+0x51] (half 1)
  0x10bb15d9  grp1b-imm8/1 BYTE PTR [esi+0x50] (half 0)
  0x10bb1e78  grp3b/0 BYTE PTR [ebx+0x50] (half 0)
  0x10bb2041  grp1b-imm8/4 BYTE PTR [edi+0x50] (half 0)
  0x10bb216f  grp3b/0 BYTE PTR [eax+0x50] (half 0)
  0x10bb24c4  grp3b/0 BYTE PTR [ebx+0x50] (half 0)
  0x10bb3fe2  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10bb5ade  andb/2 BYTE PTR [ecx+0x50] (half 0)
  0x10bb69cf  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10bb69e0  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10bb6b78  addb/1 BYTE PTR [eax+0x50] (half 0)
  0x10bb7c59  addb/6 BYTE PTR [ebp+0x51] (half 1)
  0x10bbc3ab  addb/6 BYTE PTR [ebp+0x50] (half 0)
  0x10bbc6b1  grp1b-imm8/6 BYTE PTR [ebp+0x51] (half 1)
  0x10bbf6ac  addb/2 BYTE PTR [eax+0x50] (half 0)
  0x10bc1d8e  addb/2 BYTE PTR [edi+0x50] (half 0)
  0x10bc1db3  addb/2 BYTE PTR [edi+0x50] (half 0)
  0x10bc1e55  addb/2 BYTE PTR [edi+0x50] (half 0)
  0x10bc2668  addb/2 BYTE PTR [eax+0x50] (half 0)
  0x10bc451d  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10bc9b86  addb/6 BYTE PTR [edx+0x51] (half 1)
  0x10bc9e66  addb/6 BYTE PTR [ebp+0x50] (half 0)
  0x10bcc765  orb/2 BYTE PTR [ecx+0x50] (half 0)
  0x10bce0da  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10bd1aeb  andb/2 BYTE PTR [ecx+0x50] (half 0)
  0x10bd21a1  andb/2 BYTE PTR [eax+0x51] (half 1)
  0x10bd2d15  orb/6 BYTE PTR [ebp+0x51] (half 1)
  0x10bd7ea3  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10bd81a7  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10bdf154  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10bdfd75  addb/6 BYTE PTR [ebp+0x51] (half 1)
  0x10be1452  addb/2 BYTE PTR [esi+0x51] (half 1)
  0x10be66d9  addb/2 BYTE PTR [esi+0x50] (half 0)
  0x10be671a  addb/2 BYTE PTR [esi+0x50] (half 0)
  0x10be67e0  addb/2 BYTE PTR [ecx+0x50] (half 0)
  0x10be67f7  addb/2 BYTE PTR [esi+0x50] (half 0)
  0x10be6808  addb/2 BYTE PTR [esi+0x50] (half 0)
  0x10be6817  addb/2 BYTE PTR [esi+0x50] (half 0)
  0x10be68f8  addb/2 BYTE PTR [esi+0x50] (half 0)
  0x10be69fe  addb/2 BYTE PTR [esi+0x50] (half 0)
  0x10be6a0f  addb/2 BYTE PTR [esi+0x50] (half 0)
  0x10be6a1e  addb/2 BYTE PTR [esi+0x50] (half 0)
  0x10be6b11  mov BYTE PTR [edi+0x50],r8 (half 0)
  0x10be9702  addb/2 BYTE PTR [ebx+0x50] (half 0)
  0x10beb579  addb/2 BYTE PTR [edx+0x51] (half 1)
  0x10beb69a  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10beb834  addb/2 BYTE PTR [ebx+0x50] (half 0)
  0x10beb906  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10beb9b8  addb/2 BYTE PTR [ebx+0x50] (half 0)
  0x10bf0fa6  addb/2 BYTE PTR [eax+0x50] (half 0)
  0x10bf54d8  addb/2 BYTE PTR [edi+0x50] (half 0)
  0x10bf6420  addb/2 BYTE PTR [eax+0x50] (half 0)
  0x10bf6aa6  addb/2 BYTE PTR [eax+0x50] (half 0)
  0x10bf7023  addb/2 BYTE PTR [ebx+0x50] (half 0)
  0x10bf7b54  addb/6 BYTE PTR [ebp+0x51] (half 1)
  0x10c00cd6  addb/2 BYTE PTR [esi+0x51] (half 1)
  0x10c0288c  addb/2 BYTE PTR [ebx+0x50] (half 0)
  0x10c06b66  addb/5 BYTE PTR [edx+0x50] (half 0)
  0x10c0768f  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10c07a00  addb/6 BYTE PTR [edx+0x50] (half 0)
  0x10c07e01  addb/2 BYTE PTR [eax+0x50] (half 0)
  0x10c088d8  addb/2 BYTE PTR [eax+0x51] (half 1)
  0x10c093a2  xorb/2 BYTE PTR [ebx+0x51] (half 1)
  0x10c0abbe  addb/2 BYTE PTR [eax+0x50] (half 0)
  0x10c0b24e  addb/5 BYTE PTR [edx+0x50] (half 0)
  0x10c0e685  addb/2 BYTE PTR [esi+0x50] (half 0)
  0x10c0f666  addb/6 BYTE PTR [ebp+0x50] (half 0)
  0x10c11e8d  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10c13414  addb/6 BYTE PTR [ebp+0x51] (half 1)
  0x10c136ca  andb/6 BYTE PTR [ebp+0x51] (half 1)
  0x10c18b16  addb/2 BYTE PTR [esi+0x50] (half 0)
  0x10c19238  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10c19bbf  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10c19c86  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10c1a0aa  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10c1a395  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10c1a563  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10c1a676  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10c1c6f2  addb/5 BYTE PTR [eax+0x50] (half 0)
  0x10c1cb1e  addb/6 BYTE PTR [edi+0x51] (half 1)
  0x10c1fdd0  mov BYTE PTR [esi+0x50],r8 (half 0)
  0x10c1fddc  mov BYTE PTR [esi+0x50],r8 (half 0)
  0x10c2009a  mov BYTE PTR [esi+0x50],r8 (half 0)
  0x10c200a8  mov BYTE PTR [esi+0x50],r8 (half 0)
  0x10c22437  addb/2 BYTE PTR [ecx+0x50] (half 0)
  0x10c23cb8  addb/2 BYTE PTR [edx+0x50] (half 0)
  0x10c24433  addb/2 BYTE PTR [eax+0x50] (half 0)
  0x10c266ed  addb/2 BYTE PTR [eax+0x50] (half 0)
  0x10c2760b  addb/2 BYTE PTR [ecx+0x51] (half 1)
  0x10c276c5  addb/2 BYTE PTR [eax+0x50] (half 0)
  0x10c287a7  andb/2 BYTE PTR [edi+0x50] (half 0)
