E1  instruction starts in the listing : 424232
E2  with a memory operand at +0x50   : 125

     width x direction
       byte   RMW      18
       byte   read      5
       dword  RMW       3
       dword  WRITE    14
       dword  read     73
       word   WRITE     2
       word   read     10

va        width  dir    text                                          owner
10baa74f  byte   RMW    BYTE PTR [esi+0x50],0x2                       FUN_10baa4aa
10baa8c1  byte   RMW    BYTE PTR [esi+0x50],0x1                       FUN_10baa4aa
10baf504  dword  WRITE  DWORD PTR [eax+0x50],edi                      FUN_10baf4eb
10bb08ef  dword  read   DWORD PTR [eax+0x50],0x0                      FUN_10bb08e0
10bb0916  dword  read   eax,DWORD PTR [eax+0x50]                      FUN_10bb08e0
10bb1155  dword  read   ebp,DWORD PTR [eax+0x50]                      FUN_10bb1103
10bb15d9  byte   RMW    BYTE PTR [esi+0x50],0x2                       FUN_10bb15c7
10bb1e78  byte   read   BYTE PTR [ebx+0x50],0x2                       FUN_10bb1e1b
10bb2041  byte   RMW    BYTE PTR [edi+0x50],0xfe                      FUN_10bb1f54
10bb216f  byte   read   BYTE PTR [eax+0x50],0x2                       FUN_10bb1f54
10bb23d3  byte   read   cl,BYTE PTR [ebx+0x50]                        FUN_10bb1f54
10bb24c4  byte   read   BYTE PTR [ebx+0x50],0x2                       FUN_10bb1f54
10bb24db  byte   read   esi,BYTE PTR [ebx+0x50]                       FUN_10bb1f54
10be4601  dword  read   DWORD PTR [eax+0x50],ecx                      FUN_10be45f6
10be460a  dword  RMW    DWORD PTR [eax+0x50],0x0                      FUN_10be45f6
10be4623  dword  read   ebx,DWORD PTR [esi+0x50]                      FUN_10be460f
10be51c9  dword  WRITE  DWORD PTR [esi+0x50],eax                      FUN_10be4f28
10bf3c4d  dword  WRITE  DWORD PTR [ebp+0x50],ecx                      FUN_10bf39d7
10bff032  dword  read   DWORD PTR [esi+0x50]                          FUN_10bfefbb
10bff10b  dword  read   ecx,DWORD PTR [edi+0x50]                      FUN_10bfefbb
10bffa7e  dword  RMW    DWORD PTR [ebp+0x50],0x40000                  FUN_10bff95c
10c082d0  dword  read   eax,DWORD PTR [edi+0x50]                      FUN_10c07c6c
10c0b977  dword  read   eax,DWORD PTR [esi+0x50]                      FUN_10c0b8ca
10c115e6  dword  WRITE  DWORD PTR [esi+0x50],eax                      FUN_10c113f3
10c11765  dword  RMW    DWORD PTR [esi+0x50],eax                      FUN_10c113f3
10c1c405  dword  WRITE  DWORD PTR [ebp+0x50],edx                      FUN_10c1c3f7
10c1c6e9  dword  read   DWORD PTR [ebp+0x50],0x0                      FUN_10c1c3f7
10c1cb92  dword  read   DWORD PTR [ebp+0x50],0x0                      FUN_10c1c3f7
10c1cc10  dword  read   DWORD PTR [ebp+0x50],0x0                      FUN_10c1c3f7
10c1ce00  dword  read   DWORD PTR [ebp+0x50],eax                      FUN_10c1c3f7
10c1ce41  dword  read   DWORD PTR [ebp+0x50],0x0                      FUN_10c1c3f7
10c20be1  dword  WRITE  DWORD PTR [edi+0x50],eax                      FUN_10c20b3f
10c21020  dword  read   ecx,DWORD PTR [esi+0x50]                      FUN_10c20f79
10c2102e  dword  read   ecx,DWORD PTR [esi+0x50]                      FUN_10c20f79
10c21036  dword  read   ecx,DWORD PTR [esi+0x50]                      FUN_10c20f79
10c2105c  dword  read   ecx,DWORD PTR [esi+0x50]                      FUN_10c20f79
10c21064  dword  WRITE  DWORD PTR [esi+0x50],edi                      FUN_10c20f79
10c212df  dword  read   DWORD PTR [edi+0x50]                          FUN_10c21257
10c21cd9  dword  read   ecx,DWORD PTR [esi+0x50]                      FUN_10c21b03
10c2d28a  dword  read   esi,DWORD PTR [ebp+eiz*2+0x50],0x65626f72     -
10c2d2f8  dword  read   esi,DWORD PTR [ebp+eiz*2+0x50],0x65626f72     -
10c2d383  byte   RMW    BYTE PTR [eax+eax*1+0x50],ah                  -
10c2d4f5  byte   RMW    BYTE PTR [eax+eax*1+0x50],bl                  -
10c2d579  byte   RMW    BYTE PTR [eax+eax*1+0x50],ch                  -
10c2da7c  dword  read   esi,DWORD PTR [ebp+eiz*2+0x50],0x69747261     -
10c2da9c  dword  read   esi,DWORD PTR [ebp+eiz*2+0x50],0x69747261     -
10c2dabe  dword  read   esi,DWORD PTR [ebp+eiz*2+0x50],0x69747261     -
