# H-self (#837) frozen predictions — written by holdout.py --freeze, BEFORE any cell was compiled.
# KEY(p) = 2*uses(p) + (3 if p's value is stored into the object it points at else 0), descending.
# cell	part	spelling	mode	ru	cu	self	partition	key_reg	key_const	PREDICTED	sha256
H1-or-ref-r1k2	H1	or	ref	1	2	no	HOLDOUT	2	4	const	e266c5dbb2a7a5ec0d6f9b9954a392578a89d1d69f7ffbd49c186b7403594c55
H1-xor-none-r1k1	H1	xor	none	1	1	no	HOLDOUT	2	2	const	8cac1c21f884a559b2d5e3b85625105ff26379bb476d6ee0deec31caa4c1b7a0
H1-xor-none-r2k1	H1	xor	none	2	1	no	HOLDOUT	4	2	prod	9aa8b544117d4aa1f7c3547eb7483833e3a8af1e741f3405cb867ed9a874a723
H1-xor-none-r1k2	H1	xor	none	1	2	no	HOLDOUT	2	4	const	7f8d3b09f850175aa9ceb3df967bdaa2e31672c56a71a6a862c76f78837da7c9
H1-xor-ref-r1k1	H1	xor	ref	1	1	no	HOLDOUT	2	2	const	8d2b24ed9effbb3f46b3e8e132b62b7215077b67ff6583d9a601d060428319fe
H1-xor-ref-r2k1	H1	xor	ref	2	1	no	HOLDOUT	4	2	prod	2973a3384e1c776442640d3417fd862627fa69542ce4d5bd403d3f4dfc50f6af
H1-xor-ref-r1k2	H1	xor	ref	1	2	no	HOLDOUT	2	4	const	94453e17280bb1d0e2d9c01292899236ecbc023eeb22542049eedb308cab59cb
H1-neg-none-r1k1	H1	neg	none	1	1	no	HOLDOUT	2	2	const	4b2917aa808f2a6e73b6b90ae01ca1e0ec7c6cdd76537478e2fdf428232af1a6
H1-neg-none-r2k1	H1	neg	none	2	1	no	HOLDOUT	4	2	prod	e070cd486bd751c4239d5e7978984f9d4134b5c2e3ba406b194c7646627b7403
H1-neg-none-r1k2	H1	neg	none	1	2	no	HOLDOUT	2	4	const	1d4f710187386fdd8c867217864973c74610ad4936b6210a57ddfc675ff37765
H1-neg-ref-r1k1	H1	neg	ref	1	1	no	HOLDOUT	2	2	const	99840ebc38b00513a0b9880502ea86d5a999bad6ce0aa4bac09ba711d5dbcce2
H1-neg-ref-r2k1	H1	neg	ref	2	1	no	HOLDOUT	4	2	prod	a202efe50e35c4c1a77dc7f9aa485bd85756663cc1d92219101f9d50b98cdc4a
H1-neg-ref-r1k2	H1	neg	ref	1	2	no	HOLDOUT	2	4	const	51fc161f6c4b1b275580375840f2444d4f16aba60d5b84c18fa28f8c059ecc44
H1-nor-none-r1k1	H1	nor	none	1	1	no	HOLDOUT	2	2	const	9afa8ed4568c86da95fe28ea1acd4c6f0ab9afa79c64f1b0c93447c6be5cdacc
H1-nor-none-r2k1	H1	nor	none	2	1	no	HOLDOUT	4	2	prod	4742410af76f1bd13cbc0ee5fca7f46d979c91625f399532fe07d3752c19dee1
H1-nor-none-r1k2	H1	nor	none	1	2	no	HOLDOUT	2	4	const	802e1d8285dc3a16141499148b411806d60577d2f1b9769467f65b95f6f3514c
H1-nor-ref-r1k1	H1	nor	ref	1	1	no	HOLDOUT	2	2	const	e46bf8689e939842482e0b64d0d2a98859891a607b7bc85b576c43f197405e4e
H1-nor-ref-r2k1	H1	nor	ref	2	1	no	HOLDOUT	4	2	prod	f43c5592ef9d9ef50960c1abe091f48876a2509c06c2a91010c253549b000faf
H1-nor-ref-r1k2	H1	nor	ref	1	2	no	HOLDOUT	2	4	const	44aff23257b8f7f1da9f169b5d1caded7dc24c2de0c2c05aca360d16fb85b261
H1-srawi-none-r1k1	H1	srawi	none	1	1	no	HOLDOUT	2	2	const	785991eb6b5a2b97277b38c5a74852ece738455ec26990229d7bd1fab109b110
H1-srawi-none-r2k1	H1	srawi	none	2	1	no	HOLDOUT	4	2	prod	982f2a60fb296adda4ae484611d2be7d1d4bb315973dc8b15df7ac9177960166
H1-srawi-none-r1k2	H1	srawi	none	1	2	no	HOLDOUT	2	4	const	697612faa4978703c867cfbe176e836c95caccb1222726b9b8b215cb4b4aafa5
H1-srawi-ref-r1k1	H1	srawi	ref	1	1	no	HOLDOUT	2	2	const	cf5bc41c3e463bc2b37a26a5fc259c1b9fa7d0ae47f3fe4946d0aed2f9a48d41
H1-srawi-ref-r2k1	H1	srawi	ref	2	1	no	HOLDOUT	4	2	prod	586285e52cf9d55ddcc0d77d0b49a8437ef54ea3658ce090ee3910e5e05cc4ec
H1-srawi-ref-r1k2	H1	srawi	ref	1	2	no	HOLDOUT	2	4	const	141fd1879ff64d1cf308a516c33952e3ad242a5909b7c804883db61bde95301a
H1-srwi-none-r1k1	H1	srwi	none	1	1	no	HOLDOUT	2	2	const	2186f754e42afe3f492f869e8d08860893c9853b01fd562135a6612778ae436a
H1-srwi-none-r2k1	H1	srwi	none	2	1	no	HOLDOUT	4	2	prod	518639da7338bb7993635fa185f76b7cba6736e580a75a5f80124c1ee34f34a7
H1-srwi-none-r1k2	H1	srwi	none	1	2	no	HOLDOUT	2	4	const	a5e8c81f5ca24901e1c186fb00799845b0d41d7a52721077b1efc50c3b3627b8
H1-srwi-ref-r1k1	H1	srwi	ref	1	1	no	HOLDOUT	2	2	const	3e41ec64e2d661cd881384bc818bad89af89325364f53a07d00bb1e2e4fc9710
H1-srwi-ref-r2k1	H1	srwi	ref	2	1	no	HOLDOUT	4	2	prod	f11834264c8bdcc8f455bbecae2d5aa4aec6425c192abb93543ea01b2ac45dc3
H1-srwi-ref-r1k2	H1	srwi	ref	1	2	no	HOLDOUT	2	4	const	78798b99395dee7a2f8a746f6885fae895a903b708ad4b4741c9f4483d8c03fd
H1-extsh-none-r1k1	H1	extsh	none	1	1	no	HOLDOUT	2	2	const	36780f34ee6b34e3286d09bf9ff36f6b2adb2b4af0e0b8cd5611427bb1eb4e68
H1-extsh-none-r2k1	H1	extsh	none	2	1	no	HOLDOUT	4	2	prod	7dc6fbf4a1e666bcb895120f90b122b1a22c131e662043db088929a0171b3fd8
H1-extsh-none-r1k2	H1	extsh	none	1	2	no	HOLDOUT	2	4	const	876f23b116cb5f25eff1919603e3ac8a496adfba202b365daa2a6c203a2697ad
H1-extsh-ref-r1k1	H1	extsh	ref	1	1	no	HOLDOUT	2	2	const	9a5925d37457d16e7cd54854572b145a16da9649027e4a2cb2f22bc5fac7f437
H1-extsh-ref-r2k1	H1	extsh	ref	2	1	no	HOLDOUT	4	2	prod	b3c3f27bf336e1c1ed2162cd51cd3261c2c76809159526967fe8c0ce34661131
H1-extsh-ref-r1k2	H1	extsh	ref	1	2	no	HOLDOUT	2	4	const	504f131709853e72761a9738a34a82befa4e90d25ef1095508a6d7ba7415c9ff
H1-lwz-none-r1k1	H1	lwz	none	1	1	no	HOLDOUT	2	2	const	a3eaf3681521f26542c5f0db2e599d758ef5438d2ec3d029abbe5d00917a3b41
H1-lwz-none-r2k1	H1	lwz	none	2	1	no	HOLDOUT	4	2	prod	0c30541f86a40c41aadb984034bc1927778b5b0b5f6c9654e4633e0c51d10201
H1-lwz-none-r1k2	H1	lwz	none	1	2	no	HOLDOUT	2	4	const	55d9c6758af1f50525449978aa9b5334ae17d0e964b2664002286bde95da7932
H1-lwz-ref-r1k1	H1	lwz	ref	1	1	no	HOLDOUT	2	2	const	b22499fccf19908461076ed331574c456603199d029b40a0e355439d47f4c7c9
H1-lwz-ref-r2k1	H1	lwz	ref	2	1	no	HOLDOUT	4	2	prod	cb49ffe75c13438c4363c49604179aa5ef3836eb65335474bf6fcff86df6ea65
H1-lwz-ref-r1k2	H1	lwz	ref	1	2	no	HOLDOUT	2	4	const	613149ae39e2b8e766fbd5fff2094aa4f30dd3e851053ab9c7e914d15f773cd3
H2-self-inner2-none-r1k1	H2	self-inner2	none	1	1	yes	HOLDOUT	5	2	prod	870b274d1d5dfb769e250593a0ca137875a787a8b809dc3591e95985d1697e1c
H2-self-inner2-none-r2k1	H2	self-inner2	none	2	1	yes	HOLDOUT	7	2	prod	1c5b11558582c28084ba6a0e9248c19319d2e785bf78080d484850b64c461c82
H2-self-inner2-none-r1k2	H2	self-inner2	none	1	2	yes	HOLDOUT	5	4	prod	70dd9a70bff7c8dc1587d306d0819b7b9f8b9327288d4464e54c1dc74624e349
H2-self-inner2-ref-r1k1	H2	self-inner2	ref	1	1	yes	fit-shaped	5	2	prod	7fda73be375c288a55f799fe7e93eea402570027acdd93cb0dabde5544df3926
H2-self-inner2-ref-r2k1	H2	self-inner2	ref	2	1	yes	fit-shaped	7	2	prod	c7362b0fd9634d3d8ff2755d4ca630b3c5b63b4ac0169a584173382118a4f63a
H2-self-inner2-ref-r1k2	H2	self-inner2	ref	1	2	yes	fit-shaped	5	4	prod	b1450fc455bdea32944d64932352e26ba91717e4111a703bfbd161497624ef8f
H2-self-interior-none-r1k1	H2	self-interior	none	1	1	yes	AMBIGUOUS	5	2	prod	425bafb423df98706d598c2967bc45b5a68584bcb459e34edce44ad70b4ffbc5
H2-self-interior-none-r2k1	H2	self-interior	none	2	1	yes	AMBIGUOUS	7	2	prod	a865055eb83cad419a77688d363087bf5752ee2aeb2a76df26fe55037208d304
H2-self-interior-none-r1k2	H2	self-interior	none	1	2	yes	AMBIGUOUS	5	4	prod	d2d78e7ea411651867ce0ac864f3f8b7f393b73f29e65ac6b27ea7f0fb69096a
H2-self-interior-ref-r1k1	H2	self-interior	ref	1	1	yes	AMBIGUOUS	5	2	prod	e2ea4db27d491d34569e719e3867bdcfdb824f93bd941a16433243122ec37506
H2-self-interior-ref-r2k1	H2	self-interior	ref	2	1	yes	AMBIGUOUS	7	2	prod	0a1dca0a6217840c50e496e344cb9c93092319a28e03830c6385d28411582b8f
H2-self-interior-ref-r1k2	H2	self-interior	ref	1	2	yes	AMBIGUOUS	5	4	prod	4225cf2ebeb3d876c46ee3153ea2a11b0fa99728e5ab45768a794b636f043f72
H2-notself-cross-none-r1k1	H2	notself-cross	none	1	1	no	HOLDOUT	2	2	const	58c214e91c1bc18cc5dcf1e3048773ce3cd12bbf9a59d70febd5dba2e770d71b
H2-notself-cross-none-r2k1	H2	notself-cross	none	2	1	no	HOLDOUT	4	2	prod	7ba75a23289aa105e5105b71081d17d4a2e2d21b25681b249feaeefaf8901f49
H2-notself-cross-none-r1k2	H2	notself-cross	none	1	2	no	HOLDOUT	2	4	const	017fc77397994e70796417648877b885dc1b13be8374edb2c57c9ea855f1d196
H2-notself-cross-ref-r1k1	H2	notself-cross	ref	1	1	no	HOLDOUT	2	2	const	0144863a733f1e4759f77538a38a0655ccd1e8fd91ea948187c7e06f90d1be53
H2-notself-cross-ref-r2k1	H2	notself-cross	ref	2	1	no	HOLDOUT	4	2	prod	66303c3b07f68e6198de91cc08a82e85e788d35eb559a0c9954cd9386d4a2399
H2-notself-cross-ref-r1k2	H2	notself-cross	ref	1	2	no	HOLDOUT	2	4	const	e642b399aa0b960b960a089cfee7c5de1a8ae941c10a51a027f1273006f363c1
H3-tie-and-none-r1k1	H3	tie-and	none	1	1	no	HOLDOUT	2	2	const	0b7afaab1d3dc1965572d2a3769f7382dee1772f88ccebbf44c90499f1c8e217
H3-tie-and-ref-r1k1	H3	tie-and	ref	1	1	no	HOLDOUT	2	2	const	f07e9feb20cd94b731be800c50f5a2a6ee58db8fe622b13ecfef72ba39a2166e
H3-tie-neg-none-r1k1	H3	tie-neg	none	1	1	no	HOLDOUT	2	2	const	b8e006e1b93283374911a76d4e0efee838b3c090830a4e64122329850407666f
H3-tie-neg-ref-r1k1	H3	tie-neg	ref	1	1	no	HOLDOUT	2	2	const	475ab06c44d4b21dfd282e17aa466793dcea83fc502773fcf6eff8ed209107a2
