# GRID X — frozen by `gridx.py --freeze`.  Every prediction is
# a function of the CELL SPEC alone: this run compiled no obj,
# captured no IL and took no disassembly.  A moved sha256 at
# --grade is a HARD ERROR, never a re-freeze.
cell	fam	class	ru	cu	domain	H-CHAIN	H-STEP	H-DERIV	H-DEPTH	H-2Z	H-2X	cu<=ru+1	cu<=ru+2	always-prod	clause-1	sha256_src
M7-r3k5	M7	DEEP-PARENT	3	5	in	const	const	const	const	prod	prod	const	prod	prod	const	0dfd7e5bc71894952851b00f1b14202a223f77d4eba6b757fb903648a0180cc7
M8-r1k3	M8	CHAIN-PATH	1	3	in	const	const	const	const	const	prod	const	prod	prod	const	70913e002dcba2f445977f661cea251612b8bf62ea05f39760d620f196c6a984
M8-r2k3	M8	CHAIN-PATH	2	3	in	prod	prod	prod	prod	prod	prod	prod	prod	prod	const	33d7fa15a986292affb5df49fc9ed2266f37c581ecbe27f7e308ecfb00dcf53a
M8-r2k4	M8	CHAIN-PATH	2	4	in	prod	prod	prod	const	prod	prod	const	prod	prod	const	813b58e253ddfd2e923f5de3c0f34e125a8489c0e6994c816108b1aa87566275
M8-r2k5	M8	CHAIN-PATH	2	5	in	const	const	const	const	const	const	const	const	prod	const	d180e32cf38997596e2ffa708fe16bc06231c38d46a6d7bc4e91e285178bd334
M8-r3k5	M8	CHAIN-PATH	3	5	in	prod	prod	prod	const	prod	prod	const	prod	prod	const	277e3ae8ac2ba663f355301bdd90e541871f0932f0ce15a659aa8508b15f1850
M9-r1k3	M9	REVERSE	1	3	in	const	const	const	const	const	prod	const	prod	prod	const	446cfa634ef155fc163f7254c1ae25d552e0583b5ee69df4e3fbd3f99b9375e1
M9-r2k3	M9	REVERSE	2	3	in	prod	prod	prod	prod	prod	prod	prod	prod	prod	const	2edc1039e59fab6ff4217a952417b0144536bd3d59524b835931754cfa53c7d1
M9-r2k4	M9	REVERSE	2	4	in	prod	prod	const	prod	prod	prod	const	prod	prod	const	24ef1442e9a249193151a3b77c0917118bbc7530bf1eb1e5b8857663ad7fee05
M9-r2k5	M9	REVERSE	2	5	in	const	const	const	const	const	const	const	const	prod	const	fea73ac04ea6aa37c82cb561c13e5b262dc955e915aa310a369a5486d4e073bd
M9-r3k5	M9	REVERSE	3	5	in	prod	prod	const	prod	prod	prod	const	prod	prod	const	686df0ae05c0dc59e867ed27a6f4b524e19a87ffd47219a47fa2fa7a6ec981d4
M10-r1k3	M10	DEEP-SELF	1	3	in	const	const	const	const	const	const	const	prod	prod	const	40684a5b4873cebc16392c318dca398ea96933a37a8c74314fa166492d38df79
M10-r2k3	M10	DEEP-SELF	2	3	in	prod	prod	prod	prod	prod	prod	prod	prod	prod	const	f2d3b0d21b68503aeef8a98e45ec31e575114951e9998046a6827ca6586b0286
M10-r2k4	M10	DEEP-SELF	2	4	in	const	const	const	const	const	const	const	prod	prod	const	31fa6da04c571696c73160aeadc07760602cd0ca36f0e4f0a4ea965ccaab954f
M10-r2k5	M10	DEEP-SELF	2	5	in	const	const	const	const	const	const	const	const	prod	const	342792a2a4dc22aee2b9715be800fc26d28516827ee9906537ff3bedcfd8e149
M10-r3k5	M10	DEEP-SELF	3	5	in	const	const	const	const	const	const	const	prod	prod	const	e682179435accaaee0a6c3c24c49b4cce67b2f4413ddd766d993643af9f90d40
M11-r1k3	M11	CHAIN-SIB	1	3	in	const	const	const	const	const	prod	const	prod	prod	const	ac48d7374c35ade52442e19d459b3b67a9e976a961c0535f6ee28a3383f2ae10
M11-r2k3	M11	CHAIN-SIB	2	3	in	prod	prod	prod	prod	prod	prod	prod	prod	prod	const	475fab44b27851f71155f8ecca6243fd7720a356be9c4e84f3ef38eb7c1e094d
M11-r2k4	M11	CHAIN-SIB	2	4	in	prod	prod	prod	prod	prod	prod	const	prod	prod	const	200f8dd4561f457b3c3d463084e98d148bdda4c5090285be6a1cd391b1c3ee63
M11-r2k5	M11	CHAIN-SIB	2	5	in	const	const	const	const	const	const	const	const	prod	const	b791fee5663b941a5773328d0d861b1ebd3bf2b83d0713f3666bf3d4a8d63703
M11-r3k5	M11	CHAIN-SIB	3	5	in	prod	prod	prod	prod	prod	prod	const	prod	prod	const	86b0bb3c9a8217445d6e5eab3f938199616228011f2ff98ca3d90006ee568b0a
M12-r1k3	M12	DEEP-MIRROR	1	3	in	const	const	const	const	const	prod	const	prod	prod	const	d614e2370472daeb8d6b30a1d3c6e1b4ba8e13e40916bbadd87f1255aa9ccb23
M12-r2k3	M12	DEEP-MIRROR	2	3	in	prod	prod	prod	prod	prod	prod	prod	prod	prod	const	a1f055aad6711f91679d12b11d0825d374438debd9bffa7714d935c566e85c6a
M12-r2k4	M12	DEEP-MIRROR	2	4	in	const	const	const	const	const	prod	const	prod	prod	const	e0c80bf4291ab56c29b336242121958acbe011da55e0cfee23453abc453d869a
M12-r2k5	M12	DEEP-MIRROR	2	5	in	const	const	const	const	const	const	const	const	prod	const	2d6ec9508254a3456c87f300a76019e6e4ae9b4efb1e33e8bf21d1041cdab0f8
M12-r3k5	M12	DEEP-MIRROR	3	5	in	const	const	const	const	const	prod	const	prod	prod	const	16210ddbafa0cacd60211304eb34eecde68bc4800662dc654e08a0f403974968
X1-r1k3	X1	CROSS-path	1	3	CONTROL	-	-	-	-	-	-	const	prod	prod	const	1a9a0d7d4feae6c45eb3266dd8dd850bc769481f3aa2b76921fe28a213c4af2b
X1-r2k4	X1	CROSS-path	2	4	CONTROL	-	-	-	-	-	-	const	prod	prod	const	1375aae51ad61e89e47597163da83dac5ab5ea248a2816b12437795903d990d6
X2-r1k3	X2	CROSS-chain	1	3	CONTROL	-	-	-	-	-	-	const	prod	prod	const	0fb52805ab5f77b149f05abd0b7b67764bc69d75187a4e28886c9de33ea0e283
X2-r2k4	X2	CROSS-chain	2	4	CONTROL	-	-	-	-	-	-	const	prod	prod	const	35438da55118bccd86889b75d467ed511e8884d9e0a5dc8d65d6fb7df3a86508
X3-r1k3	X3	OTHEROBJ	1	3	CONTROL	-	-	-	-	-	-	const	prod	prod	const	92e6f2c7390fffa62d3c64207a29f6325c10f758a5b4d8cf22713187b2101d62
X3-r2k4	X3	OTHEROBJ	2	4	CONTROL	-	-	-	-	-	-	const	prod	prod	const	4362935716df0bd00f913b738cdc81f8cd97d26583daded60c06c9aff09cb9f6
