cell             class           nprod   cnt  lead   obs  COUNT   LEAD verdict
r3_rtt_lll       three-multi         1     0     0     0      0      0  LEAD-HIT COUNT-HIT
r3_trr_fff       three-multi         0     3     2     1      1      1  LEAD-HIT COUNT-HIT
r3_trr_ffl       three-multi         1     2     2     2      2      2  LEAD-HIT COUNT-HIT
r3_trr_flf       three-multi         1     2     2     2      2      2  LEAD-HIT COUNT-HIT
r3_trr_fll       three-multi         1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r3_trr_lff       three-multi         1     2     0     0      2      0  LEAD-HIT COUNT-MISS
r3_trr_lfl       three-multi         1     1     0     0      1      0  LEAD-HIT COUNT-MISS
r3_trr_llf       three-multi         1     1     0     0      1      0  LEAD-HIT COUNT-MISS
r3_trr_lll       three-multi         1     0     0     0      0      0  LEAD-HIT COUNT-HIT
r3_trt_fff       three-multi         0     3     2     1      1      1  LEAD-HIT COUNT-HIT
r3_trt_ffl       three-multi         1     2     2     2      2      2  LEAD-HIT COUNT-HIT
r3_trt_flf       three-multi         1     2     1     1      2      1  LEAD-HIT COUNT-MISS
r3_trt_fll       three-multi         1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r3_trt_lff       three-multi         1     2     0     0      2      0  LEAD-HIT COUNT-MISS
r3_trt_lfl       three-multi         1     1     0     0      1      0  LEAD-HIT COUNT-MISS
r3_trt_llf       three-multi         1     1     0     0      1      0  LEAD-HIT COUNT-MISS
r3_trt_lll       three-multi         1     0     0     0      0      0  LEAD-HIT COUNT-HIT
r3_ttr_fff       three-multi         0     3     2     1      1      1  LEAD-HIT COUNT-HIT
r3_ttr_ffl       three-multi         1     2     2     2      2      2  LEAD-HIT COUNT-HIT
r3_ttr_flf       three-multi         1     2     1     1      2      1  LEAD-HIT COUNT-MISS
r3_ttr_fll       three-multi         1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r3_ttr_lff       three-multi         1     2     1     1      2      1  LEAD-HIT COUNT-MISS
r3_ttr_lfl       three-multi         1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r3_ttr_llf       three-multi         1     1     0     0      1      0  LEAD-HIT COUNT-MISS
r3_ttr_lll       three-multi         1     0     0     0      0      0  LEAD-HIT COUNT-HIT
r3_ttt_fff       three-single        0     3     2     1      1      1  LEAD-HIT COUNT-HIT
r3_ttt_ffl       three-single        1     2     2     2      2      2  LEAD-HIT COUNT-HIT
r3_ttt_flf       three-single        1     2     2     2      2      2  LEAD-HIT COUNT-HIT
r3_ttt_fll       three-single        1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r3_ttt_lff       three-single        1     2     2     2      2      2  LEAD-HIT COUNT-HIT
r3_ttt_lfl       three-single        1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r3_ttt_llf       three-single        1     1     1     1      1      1  LEAD-HIT COUNT-HIT
r3_ttt_lll       three-single        1     0     0     0      0      0  LEAD-HIT COUNT-HIT

SCORED (framed cells with an observed `mr r31,r3`): 93
  LEADING RUN (#584, the rung)   93 HIT  0 MISS
  COUNT       (what ships today) 63 HIT  30 MISS
  cells that SEPARATE the two readings: 30  ar_rt_lf ar_rtt_lff ar_tr_lf ar_trt_lff bb_rt_lf bb_tr_lf lv_rt_lp lv_trt_lpf ...
  framed run == leaf run (mr/frame removed): 60 same, 0 DIFFER, 33 unpaired
  class assertions on the OBSERVED population: OK
