# GRID H — RULE W2's frozen predictions, written by holdout.py --freeze BEFORE any cell was compiled.
# RULE W2: self -> 2*ru+3 > 2*cu ; add-form -> ru>=2 ; load/ext -> cu==1 ; neither -> ru>=2 and cu==1 and bases==1
# `expect` is the mnemonic the CLASS PRINCIPLE says c2 will select; the grade reads the mnemonic c2 printed and looks THAT up in the same frozen table (H4/H5).
# cell	part	tag	expect	A	B	bases	ru	cu	self	PREDICTED	sha256
H1-slw-2base-r1k1	H1	slw	slw	-	-	2base	1	1	no	const	da31281a1d010e077cef0f9342303730cf321a392ac61abf9df560f87586ee32
H1-slw-1base-r2k1	H1	slw	slw	-	-	1base	2	1	no	prod	8ee557a4ed80369bcaee2e49d8b481da26e354460f1faec4d5146732f8ae1738
H1-slw-2base-r2k1	H1	slw	slw	-	-	2base	2	1	no	const	80721b0603e731621d9c8d53d41d1ae39590c81b2cdc86107144b5001210c982
H1-slw-1base-r2k2	H1	slw	slw	-	-	1base	2	2	no	const	3df2976b33a2583cec5c1cd4e78faf48567d4f0cc72ec606fc0350b55784b1c6
H1-slw-2base-r2k2	H1	slw	slw	-	-	2base	2	2	no	const	296085caef6185562fd1f9eacb302b583280b66a32ec486da3246a9dfd186739
H1-srw-1base-r1k1	H1	srw	srw	-	-	1base	1	1	no	const	ab8fe7e5ec3c48b39d0dcd3eb97aa3a021f91e05ff809d33600697cf128413c0
H1-srw-2base-r1k1	H1	srw	srw	-	-	2base	1	1	no	const	28e693be3b27548c6c9d41d02b59efaf82084354e572460c73d6455391d8a589
H1-srw-1base-r2k1	H1	srw	srw	-	-	1base	2	1	no	prod	0fe0d368605a9bfd1d72519e1f9832433a0eb48e68b8d2cad294c0f53105c394
H1-srw-2base-r2k1	H1	srw	srw	-	-	2base	2	1	no	const	9d3c00d58e10fa843a0c828d4aee6346f0507fce67f9c547d6a7a9fefea5c1dd
H1-srw-1base-r2k2	H1	srw	srw	-	-	1base	2	2	no	const	46aeaf3596133960b3e9c39e69373a2f66e239ee063e3bad7340ed7d9b00d8df
H1-srw-2base-r2k2	H1	srw	srw	-	-	2base	2	2	no	const	542714178b5581e2b9a6efe7fe9ab266563336eb94c6621721b5432774d62af9
H1-sraw-1base-r1k1	H1	sraw	sraw	-	B	1base	1	1	no	const	a8d70d623e71b4239fdd6bc72f63d9c2801a3dfe96c3a5ca1a0b5121f456a53c
H1-sraw-2base-r1k1	H1	sraw	sraw	-	B	2base	1	1	no	const	34f0ba11cfff7838ef8b0fa8d3fc4a333d62908f3dd8200e9bf1b5cb410fed0e
H1-sraw-1base-r2k1	H1	sraw	sraw	-	B	1base	2	1	no	prod	f1e45c472883fc4d0092b360e07f30c4ae41974e97b692e9c39590adb3249e44
H1-sraw-2base-r2k1	H1	sraw	sraw	-	B	2base	2	1	no	prod	a796e58b21e2f3181963a0d06a3090484d61ad15fba1b9c435495ca4ef350fd6
H1-sraw-1base-r2k2	H1	sraw	sraw	-	B	1base	2	2	no	prod	96175725e13c1e9cefe98825e3d0a6e95c75b66d5401cc4462c64ef158b5caf8
H1-sraw-2base-r2k2	H1	sraw	sraw	-	B	2base	2	2	no	prod	75434158b4027ef3fd232e3713d0fd9e38423c577657291b3771ae9ebe9e315e
H1-mullw-1base-r1k1	H1	mullw	mullw	-	-	1base	1	1	no	const	3a50aab77f9329544615ecff3f4d659e8320661b27f5f0822913d47c065d806c
H1-mullw-2base-r1k1	H1	mullw	mullw	-	-	2base	1	1	no	const	2ced15d707b6cd3faade199bf62bf04f1cccf993eb1ed78c0117f0f49c0c44c0
H1-mullw-1base-r2k1	H1	mullw	mullw	-	-	1base	2	1	no	prod	c720c6739cfcc20e3f675dc3160abf492f70bb4bbe70c7d8b75ac3e4ea310727
H1-mullw-2base-r2k1	H1	mullw	mullw	-	-	2base	2	1	no	const	dea4490ba475509cebe8dd15be7e2b35078737dea9948a4c6e8950bfff2f1976
H1-mullw-1base-r2k2	H1	mullw	mullw	-	-	1base	2	2	no	const	893311b34b41048702657b8b9dd627cf0316b67135eca6f87b9a2a7031879e1a
H1-mullw-2base-r2k2	H1	mullw	mullw	-	-	2base	2	2	no	const	a8ba6f44b7f4a19aae8306163feca10b46417e0b33d2a6380065f9e8508fd549
H1-lhz-1base-r1k1	H1	lhz	lha	A	-	1base	1	1	no	prod	29119e5bda5582647bc3fb41a2e7cbebba09f374a5d45d3e06f83a5cb6470593
H1-lhz-2base-r1k1	H1	lhz	lha	A	-	2base	1	1	no	prod	76fe36e8b04614130c8d68b3fb65641c4505b422a9c30f5412e418b9cde92e3c
H1-lhz-1base-r2k1	H1	lhz	lha	A	-	1base	2	1	no	prod	fab691ee1638be6ac733cbdf1622319602fc70144ba2ffe1a1e81f745d23eac7
H1-lhz-2base-r2k1	H1	lhz	lha	A	-	2base	2	1	no	prod	e6538aa17be91180b29a125057430d962edb335d721e8f196861c59225c0ee74
H1-lhz-1base-r2k2	H1	lhz	lha	A	-	1base	2	2	no	const	7b06ccd4770b25d42d455e8986546212d948db9615064c7eba57d1da009c5ee0
H1-lhz-2base-r2k2	H1	lhz	lha	A	-	2base	2	2	no	const	15b9bb9b373067d551b67e5e1620a462ea57d990d73515609e859d45eb924d37
H1-lbz-1base-r1k1	H1	lbz	lbz	A	-	1base	1	1	no	prod	095f65ff071d70ef2f6ca7900472f642fdb4eb86409caf57dad11cf6fe2c3e7b
H1-lbz-2base-r1k1	H1	lbz	lbz	A	-	2base	1	1	no	prod	246043e4585cd6f6ccc365fad90f87f1e353a65d14aeb3963ebb1f46d7f3169f
H1-lbz-1base-r2k1	H1	lbz	lbz	A	-	1base	2	1	no	prod	417831b4e637de5884e5a9792c468aef1b0038b85346b5d2ce986d6247b36788
H1-lbz-2base-r2k1	H1	lbz	lbz	A	-	2base	2	1	no	prod	7fe67c908e2b669f60ae344d2b99b65c4a158fae54d6e335dcb7d919d72f8df9
H1-lbz-1base-r2k2	H1	lbz	lbz	A	-	1base	2	2	no	const	e4a81f66079482d2a8a5ad5ade0f5fcca422822c02cb20f079119ae438713e38
H1-lbz-2base-r2k2	H1	lbz	lbz	A	-	2base	2	2	no	const	586612dc999d8a3241caaf25c5b01d4242e865524db7367d08052dbe0679b6ad
H2-add-2base-r4k1	H2	add	add	-	B	2base	4	1	no	prod	8ad5a1ca508ae1694cbef044ce23971e41b1f5bf6a77a7243af8a230d38d5cfc
H2-add-2base-r1k2	H2	add	add	-	B	2base	1	2	no	const	35da429d7cfea0caca9d6e132fbc660a917e6f8ba348e2e4136323a7a3c3961c
H2-add-2base-r2k4	H2	add	add	-	B	2base	2	4	no	prod	04c68d225dc600c7c55ee74f5f07611ad74ce12868101dac8b8768a0d6bfc7e8
H2-add-2base-r2k5	H2	add	add	-	B	2base	2	5	no	prod	2ea50bb958a8f77d741ac5298cd2d7860834db17479e4ca9a1cda55692793cdc
H2-add-2base-r3k5	H2	add	add	-	B	2base	3	5	no	prod	58fe71f3c41913eefa1f5e60b46074e0abed741871ca0be836775c653d45ce6e
H2-add-2base-r4k5	H2	add	add	-	B	2base	4	5	no	prod	e8094c8ef421b2cc196084766e0575da56142e8f13f1ea786e074940568857ec
H2-add-2base-r3k3	H2	add	add	-	B	2base	3	3	no	prod	81f5427cc456d44a1f06987342dcdce744c1fabe1e2abd259424c29e7eac9755
H2-addi-2base-r4k1	H2	addi	addi	-	B	2base	4	1	no	prod	9dc86456f22b392fb5fa259141555d899db42b2321c7b82df8e79f38ceccec47
H2-addi-2base-r1k2	H2	addi	addi	-	B	2base	1	2	no	const	c4e0a3d57336e5c320302a8445aeeaeb3dfcda5eceded09d232b6eced845f5f7
H2-addi-2base-r2k4	H2	addi	addi	-	B	2base	2	4	no	prod	6cef421077bbf95f69e8877e0f03ab958e016d78037beb5d7b07057ba877b970
H2-addi-2base-r2k5	H2	addi	addi	-	B	2base	2	5	no	prod	476c89e21486c5db38e7e6048d6bf3e32ea678c7f60cbc1007236dd048035fa9
H2-addi-2base-r3k5	H2	addi	addi	-	B	2base	3	5	no	prod	2e51480533b3406869ae86cf337ebff666f5c3df2176d8f827ae3cbfeebcdaad
H2-addi-2base-r4k5	H2	addi	addi	-	B	2base	4	5	no	prod	0d0ef63415c7dfe1007de7cb10dabbc5ad71ed1f37186114f70559b876ccc1da
H2-addi-2base-r3k3	H2	addi	addi	-	B	2base	3	3	no	prod	ae047e0acd23cb18851a7257ffd81d6a86425cf2013f67eed513a24b1c75cd87
H2-srawi-2base-r4k1	H2	srawi	srawi	-	B	2base	4	1	no	prod	a0c4de7818b547bdae66808c73beeb76349e39dea2e5200f5bd6dfebf4b7879f
H2-srawi-2base-r1k2	H2	srawi	srawi	-	B	2base	1	2	no	const	de8c3df0def9be5822e0b2946f90a3755014ae0f48fa20a85529ced1667558fc
H2-srawi-2base-r2k4	H2	srawi	srawi	-	B	2base	2	4	no	prod	3f961d9d8b3ad0703b1126540e7fa002a88652779c06b35c59e4e164d2b66cff
H2-srawi-2base-r2k5	H2	srawi	srawi	-	B	2base	2	5	no	prod	ef450b809432e95e0690ce457405bdd88b017808b210e988a4eb21a91dc210a4
H2-srawi-2base-r3k5	H2	srawi	srawi	-	B	2base	3	5	no	prod	2c91ea483b1810a304b839a5795151ccefe55a7b329059900a5094d9c543c1c5
H2-srawi-2base-r4k5	H2	srawi	srawi	-	B	2base	4	5	no	prod	38566613959fff8c5e42c741a3a7f5c4bec30ce3a34b798a20920681e1a57fe7
H2-srawi-2base-r3k3	H2	srawi	srawi	-	B	2base	3	3	no	prod	28b0e298309e9bf64763d0393e6a04f7afee89f25a74b0cf73214511c954da73
H2-extsh-2base-r4k1	H2	extsh	extsh	A	-	2base	4	1	no	prod	410ecd4a4ec78916886df7768f60b092d1f2bdf45e9b124758d48dae2498fb0c
H2-extsh-2base-r1k2	H2	extsh	extsh	A	-	2base	1	2	no	const	93a88ca69982f9e9a804ac1f0478adfe294c42b25b5f1ddf8a85c44476fca632
H2-extsh-2base-r2k4	H2	extsh	extsh	A	-	2base	2	4	no	const	80f04725912f8718f0f5e54f6858edaa42a8eda5975bc020e9949013bfe92ea1
H2-extsh-2base-r2k5	H2	extsh	extsh	A	-	2base	2	5	no	const	870968f2e051f6f2aed5a99fa9d20471a4f11f43f2be6e5cff60c2473bbed54f
H2-extsh-2base-r3k5	H2	extsh	extsh	A	-	2base	3	5	no	const	43a7dab08b7fe7d374da21549f6381bf4a3330c8dd259320f5e53eb57e790692
H2-extsh-2base-r4k5	H2	extsh	extsh	A	-	2base	4	5	no	const	d21f4b63d84b6ca7a3bad882dc5c7d7349d98291ccd72a4973a00101b6f4c49e
H2-extsh-2base-r3k3	H2	extsh	extsh	A	-	2base	3	3	no	const	34f1f06ff610ac8b6875b35e68cc059520f52c58901cd0544aeabee94a4ee522
H2-self-2base-r4k1	H2	self	addi	-	B	2base	4	1	yes	prod	2cb33b2b7f5f84cce4b52fb27d96cf4a2534fcd12dd57ff61cf27fb089cf9739
H2-self-2base-r1k2	H2	self	addi	-	B	2base	1	2	yes	prod	8384aabffe3d440e8b30b45b205fa6fa73031aad5620aa2c2e2fa8ee30499a38
H2-self-2base-r2k4	H2	self	addi	-	B	2base	2	4	yes	const	5ee65f2c272f4de2dc65cd4197207d2d4f1b4d6a5889931062cf35c7633cc2eb
H2-self-2base-r2k5	H2	self	addi	-	B	2base	2	5	yes	const	6e0875c4abecc6ee2af6a513e8802b7c618f72395baf09c7efe62848fe0e015d
H2-self-2base-r3k5	H2	self	addi	-	B	2base	3	5	yes	const	e35f39574707913fbfd3710e405fdd859f8b9a846676ef0ffa8b0cea37c107af
H2-self-2base-r4k5	H2	self	addi	-	B	2base	4	5	yes	prod	c2587278db2b93c861e65a6555928b88fdb16fe319b388c33ef9522c51efed28
H2-self-2base-r3k3	H2	self	addi	-	B	2base	3	3	yes	prod	90cf43002f56c43f43d07eb1852e2e5dfbad6eb8c2a07e2ced7e67925d30212a
H2-slwi-2base-r4k1	H2	slwi	slwi	-	-	2base	4	1	no	const	7dbefb17b06180cc2d3846f223d54e0445d5ff4d0d9881e7c6846b24b7d52b2c
H2-slwi-2base-r1k2	H2	slwi	slwi	-	-	2base	1	2	no	const	78c01525ad847978bdef1e520345c22a953bae7a13a496b6e9a7bbee599ea20b
H2-slwi-2base-r2k4	H2	slwi	slwi	-	-	2base	2	4	no	const	e95bd6974471a7d2d1d816ab2f8135a27b2d67f32ecae74b966a0985786c4080
H2-slwi-2base-r2k5	H2	slwi	slwi	-	-	2base	2	5	no	const	58e4448e5d2d2a9dac92146466bf7cc669fa0bcd9d4a2d15cd95fce44fa40a4a
H2-slwi-2base-r3k5	H2	slwi	slwi	-	-	2base	3	5	no	const	5ccd2e2d98f743ae2d370923d0d3c38318aa0925114ef4b098abfd7719acbe68
H2-slwi-2base-r4k5	H2	slwi	slwi	-	-	2base	4	5	no	const	043ee9f780548188ce1897bbae6fedcafa07dd5995c9fdee5bf6c3e0cd3b7ab8
H2-slwi-2base-r3k3	H2	slwi	slwi	-	-	2base	3	3	no	const	f2e2ca50d50f738573ddcdbf6ff91dd775a07095d10b8e266949c7c8f5b1268f
H3-add-1base-r1k1-x	H3	add	add	-	B	1base	1	1	no	const	a241cc4e1aeaad28a1c79657cb2b2b0807876909119075ea5f9cc08456a42bfb
H3-add-1base-r2k1-x	H3	add	add	-	B	1base	2	1	no	prod	44ad2e74a75f015fb2c081cb55e0a24d6a76ea90a8dd846e38eadaec05da4abc
H3-add-1base-r2k2-x	H3	add	add	-	B	1base	2	2	no	prod	1b2f4ecdf46a1634dffedb5befdf3a7f9d5bf01b7a8cf045d6192050443e4f52
H3-addi-1base-r1k1-x	H3	addi	addi	-	B	1base	1	1	no	const	32465e93d6d7ef5e5a3fc322152209a927b008f829446578474b2f2180d01fb9
H3-addi-1base-r2k1-x	H3	addi	addi	-	B	1base	2	1	no	prod	ee4f25d57938f1102848aaaf2189a9a325a485da4e57d01baeead44e2d65607e
H3-addi-1base-r2k2-x	H3	addi	addi	-	B	1base	2	2	no	prod	0eaad26271b83a99944233529a74d5f2329340082af2ab797463e157f91e9fcb
H3-srawi-1base-r1k1-x	H3	srawi	srawi	-	B	1base	1	1	no	const	90d6699afcd07aca2b200a2d9cc2817fbac532a45a2d60b1821213e4d73edf46
H3-srawi-1base-r2k1-x	H3	srawi	srawi	-	B	1base	2	1	no	prod	ee0027ad92af0d0ec708705d2e5825de79a10b85184ca7118d65e8d35d63e3f3
H3-srawi-1base-r2k2-x	H3	srawi	srawi	-	B	1base	2	2	no	prod	61bce168f8afd68ace16c9dd3a42c8444005fd2b506032e0420fa741c0d87929
H3-extsh-1base-r1k1-x	H3	extsh	extsh	A	-	1base	1	1	no	prod	e2263a564a0803873dae66f19cc3056758fcf8c625c2127224c21fecf145cb87
H3-extsh-1base-r2k1-x	H3	extsh	extsh	A	-	1base	2	1	no	prod	3a779db4be0b544f8a009f631807ef3c8a7acd58dbfc05423b9b63e39f986f69
H3-extsh-1base-r2k2-x	H3	extsh	extsh	A	-	1base	2	2	no	const	90f25f0f2bb7de25fdd43ac231313cba2de161350f755500442e72f0bbbd9fbf
H3-self-1base-r1k1-x	H3	self	addi	-	B	1base	1	1	yes	prod	c3a1fcc9c84835f255682bb62adc249cc79178201ed0741d3691db2a5bcb6db6
H3-self-1base-r2k1-x	H3	self	addi	-	B	1base	2	1	yes	prod	3edbe98ce07f8fcbebd863d7407dc9eed7e107c2b74cf280907633c66ef702f3
H3-self-1base-r2k2-x	H3	self	addi	-	B	1base	2	2	yes	prod	837a1d65fbdb2d75cbd03325578bfcf4e4f80d81cfcc2c79d28108c27b6236c7
H3-slwi-1base-r1k1-x	H3	slwi	slwi	-	-	1base	1	1	no	const	33729e04de418e94ca3ae2c02016b05bc6c36ba2cc69259deff4b0118b6b5a37
H3-slwi-1base-r2k1-x	H3	slwi	slwi	-	-	1base	2	1	no	prod	df8bebcd1e44b3fa33bf377dc8d3540c12547301772b463eb558dd123c3214b2
H3-slwi-1base-r2k2-x	H3	slwi	slwi	-	-	1base	2	2	no	const	45ed5ca526142dd0dca0e255640a989c86424377f1192c0909463cd6f1a4d849
