addr	label	confidence	note
10b189a4	cond-signed-to-unsigned	high	Byte remap applied to a relational's condition code when the operand type is unsigned: [0,1,2,7,8,9,10,7,8,9,10,...] i.e. LT->ULT, LE->ULE, GT->UGT, GE->UGE. Read by 0x10c1ac5c and 0x10c1af2d
10b197c0	cond-code-names	high	The relational condition-code name pool: ILLEGAL, EQ(1), NE(2), LT(3), LE(4), GT(5), GE(6), ULT(7), ULE(8), UGT(9), UGE(10), then SO/NSO/NS. The enum the carry expander switches on
10c38f30	pat-copy	high	Per-operator opcode table: COPY. 26 entries by type index -> mr / fmr / vmr
10c38f98	pat-load-d	high	Per-operator opcode table: LOAD, D-form -> lbz lhz lwz ld lfs lfd. NOTE: signed short is lhz here; the lha in real objs comes from a later FUSION with extsh (grid cell S10)
10c39068	pat-load-x	high	Per-operator opcode table: LOAD, X-form (indexed) -> lbzx lhzx lwzx ldx lfsx lfdx
10c39138	pat-store-d	high	Per-operator opcode table: STORE, D-form -> stb sth stw std stfs stfd
10c391a0	pat-store-x	high	Per-operator opcode table: STORE, X-form -> stbx sthx stwx stdx stfsx stfdx
10c392d8	pat-neg	high	Per-operator opcode table: NEGATE -> neg / fneg
10c39340	pat-add	high	Per-operator opcode table: ADD -> add / fadds / fadd / vaddfp
10c393a8	pat-sub	high	Per-operator opcode table: SUB -> subf / fsubs / fsub / vsubfp
10c39410	pat-mul	high	Per-operator opcode table: MUL -> mullw / mulld / fmuls / fmul
10c39478	pat-div	high	Per-operator opcode table: DIV -> divw / divd for signed rows, divwu / divdu for unsigned rows, fdivs / fdiv. The whole signed/unsigned split for division is this one array
10c394e0	pat-cmp-imm	high	Per-operator opcode table: COMPARE with an immediate -> cmpi for signed rows, cmpli for unsigned and pointer rows, fcmpu. #1788's answer
10c39548	pat-cmp-reg	high	Per-operator opcode table: COMPARE register-register -> cmp / cmpl / fcmpu
10b1fd08	pat-convert	high	Per-operator opcode table: CONVERT/WIDEN -> extsb extsh extsw mr, by type index
