mode	sign	op	k	words	shape	full	hex
/Ox /GS- /c	u	div	12	3	li divwu blr	li r11,12 ; divwu r3,r3,r11 ; blr 	3960000c 7c635b96 4e800020
/Ox /GS- /c	u	mod	12	9	lis ori mulhwu rlwinm rlwinm add rlwinm subf blr	lis r11,-21846 ; ori r10,r11,0xaaab ; mulhwu r9,r3,r10 ; rlwinm r11,r9,29,3,31 ; rlwinm r10,r11,1,0,30 ; add r8,r11,r10 ; rlwinm r7,r8,2,0,29 ; subf r3,r7,r3 ; blr 	3d60aaaa 616aaaab 7d235016 552be8fe 556a083c 7d0b5214 5507103a 7c671850 4e800020
/Ox /GS- /c	s	div	6	3	li divw blr	li r11,6 ; divw r3,r3,r11 ; blr 	39600006 7c635bd6 4e800020
/Ox /GS- /c	s	mod	6	10	lis ori mulhw rlwinm add rlwinm add rlwinm subf blr	lis r11,10922 ; ori r10,r11,0xaaab ; mulhw r11,r3,r10 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,1,0,30 ; add r9,r11,r10 ; rlwinm r8,r9,1,0,30 ; subf r3,r8,r3 ; blr 	3d602aaa 616aaaab 7d635096 556a0ffe 7d6b5214 556a083c 7d2b5214 5528083c 7c681850 4e800020
/Ox /GS- /c	u	div	6	3	li divwu blr	li r11,6 ; divwu r3,r3,r11 ; blr 	39600006 7c635b96 4e800020
/Ox /GS- /c	u	mod	6	9	lis ori mulhwu rlwinm rlwinm add rlwinm subf blr	lis r11,-21846 ; ori r10,r11,0xaaab ; mulhwu r9,r3,r10 ; rlwinm r11,r9,30,2,31 ; rlwinm r10,r11,1,0,30 ; add r8,r11,r10 ; rlwinm r7,r8,1,0,30 ; subf r3,r7,r3 ; blr 	3d60aaaa 616aaaab 7d235016 552bf0be 556a083c 7d0b5214 5507083c 7c671850 4e800020
/Ox /GS- /c	s	div	40	3	li divw blr	li r11,40 ; divw r3,r3,r11 ; blr 	39600028 7c635bd6 4e800020
/Ox /GS- /c	s	mod	40	11	lis ori mulhw srawi rlwinm add rlwinm add rlwinm subf blr	lis r11,26214 ; ori r10,r11,0x6667 ; mulhw r9,r3,r10 ; srawi r11,r9,4 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,2,0,29 ; add r8,r11,r10 ; rlwinm r7,r8,3,0,28 ; subf r3,r7,r3 ; blr 	3d606666 616a6667 7d235096 7d2b2670 556a0ffe 7d6b5214 556a103a 7d0b5214 55071838 7c671850 4e800020
/Ox /GS- /c	u	div	40	3	li divwu blr	li r11,40 ; divwu r3,r3,r11 ; blr 	39600028 7c635b96 4e800020
/Ox /GS- /c	u	mod	40	9	lis ori mulhwu rlwinm rlwinm add rlwinm subf blr	lis r11,-13108 ; ori r10,r11,0xcccd ; mulhwu r9,r3,r10 ; rlwinm r11,r9,27,5,31 ; rlwinm r10,r11,2,0,29 ; add r8,r11,r10 ; rlwinm r7,r8,3,0,28 ; subf r3,r7,r3 ; blr 	3d60cccc 616acccd 7d235016 552bd97e 556a103a 7d0b5214 55071838 7c671850 4e800020
/Ox /GS- /c	s	div	60	3	li divw blr	li r11,60 ; divw r3,r3,r11 ; blr 	3960003c 7c635bd6 4e800020
/Ox /GS- /c	s	mod	60	10	lis ori mulhw add srawi rlwinm add mulli subf blr	lis r11,-30584 ; ori r10,r11,0x8889 ; mulhw r11,r3,r10 ; add r9,r11,r3 ; srawi r11,r9,5 ; rlwinm r10,r11,1,31,31 ; add r8,r11,r10 ; mulli r7,r8,60 ; subf r3,r7,r3 ; blr 	3d608888 616a8889 7d635096 7d2b1a14 7d2b2e70 556a0ffe 7d0b5214 1ce8003c 7c671850 4e800020
/Ox /GS- /c	u	div	60	3	li divwu blr	li r11,60 ; divwu r3,r3,r11 ; blr 	3960003c 7c635b96 4e800020
/Ox /GS- /c	u	mod	60	7	lis ori mulhwu rlwinm mulli subf blr	lis r11,-30584 ; ori r11,r11,0x8889 ; mulhwu r10,r3,r11 ; rlwinm r9,r10,27,5,31 ; mulli r8,r9,60 ; subf r3,r8,r3 ; blr 	3d608888 616b8889 7d435816 5549d97e 1d09003c 7c681850 4e800020
/Ox /GS- /c	s	div	56	3	li divw blr	li r11,56 ; divw r3,r3,r11 ; blr 	39600038 7c635bd6 4e800020
/Ox /GS- /c	s	mod	56	10	lis ori mulhw add srawi rlwinm add mulli subf blr	lis r11,-28087 ; ori r10,r11,0x2493 ; mulhw r11,r3,r10 ; add r9,r11,r3 ; srawi r11,r9,5 ; rlwinm r10,r11,1,31,31 ; add r8,r11,r10 ; mulli r7,r8,56 ; subf r3,r7,r3 ; blr 	3d609249 616a2493 7d635096 7d2b1a14 7d2b2e70 556a0ffe 7d0b5214 1ce80038 7c671850 4e800020
/Ox /GS- /c	u	div	56	3	li divwu blr	li r11,56 ; divwu r3,r3,r11 ; blr 	39600038 7c635b96 4e800020
/Ox /GS- /c	u	mod	56	10	lis ori mulhwu subf rlwinm add rlwinm mulli subf blr	lis r11,9362 ; ori r10,r11,0x4925 ; mulhwu r11,r3,r10 ; subf r9,r11,r3 ; rlwinm r10,r9,31,1,31 ; add r8,r10,r11 ; rlwinm r7,r8,27,5,31 ; mulli r6,r7,56 ; subf r3,r6,r3 ; blr 	3d602492 616a4925 7d635016 7d2b1850 552af87e 7d0a5a14 5507d97e 1cc70038 7c661850 4e800020
/Ox /GS- /c	s	div	28	3	li divw blr	li r11,28 ; divw r3,r3,r11 ; blr 	3960001c 7c635bd6 4e800020
/Ox /GS- /c	s	mod	28	10	lis ori mulhw add srawi rlwinm add mulli subf blr	lis r11,-28087 ; ori r10,r11,0x2493 ; mulhw r11,r3,r10 ; add r9,r11,r3 ; srawi r11,r9,4 ; rlwinm r10,r11,1,31,31 ; add r8,r11,r10 ; mulli r7,r8,28 ; subf r3,r7,r3 ; blr 	3d609249 616a2493 7d635096 7d2b1a14 7d2b2670 556a0ffe 7d0b5214 1ce8001c 7c671850 4e800020
/Ox /GS- /c	u	div	28	3	li divwu blr	li r11,28 ; divwu r3,r3,r11 ; blr 	3960001c 7c635b96 4e800020
/Ox /GS- /c	u	mod	28	10	lis ori mulhwu subf rlwinm add rlwinm mulli subf blr	lis r11,9362 ; ori r10,r11,0x4925 ; mulhwu r11,r3,r10 ; subf r9,r11,r3 ; rlwinm r10,r9,31,1,31 ; add r8,r10,r11 ; rlwinm r7,r8,28,4,31 ; mulli r6,r7,28 ; subf r3,r6,r3 ; blr 	3d602492 616a4925 7d635016 7d2b1850 552af87e 7d0a5a14 5507e13e 1cc7001c 7c661850 4e800020
/Ox /GS- /c	s	div	84	3	li divw blr	li r11,84 ; divw r3,r3,r11 ; blr 	39600054 7c635bd6 4e800020
/Ox /GS- /c	s	mod	84	9	lis ori mulhw srawi rlwinm add mulli subf blr	lis r11,12483 ; ori r10,r11,0xc31 ; mulhw r9,r3,r10 ; srawi r11,r9,4 ; rlwinm r10,r11,1,31,31 ; add r8,r11,r10 ; mulli r7,r8,84 ; subf r3,r7,r3 ; blr 	3d6030c3 616a0c31 7d235096 7d2b2670 556a0ffe 7d0b5214 1ce80054 7c671850 4e800020
/Ox /GS- /c	u	div	84	3	li divwu blr	li r11,84 ; divwu r3,r3,r11 ; blr 	39600054 7c635b96 4e800020
/Ox /GS- /c	u	mod	84	10	lis ori mulhwu subf rlwinm add rlwinm mulli subf blr	lis r11,-31208 ; ori r10,r11,0x6187 ; mulhwu r11,r3,r10 ; subf r9,r11,r3 ; rlwinm r10,r9,31,1,31 ; add r8,r10,r11 ; rlwinm r7,r8,26,6,31 ; mulli r6,r7,84 ; subf r3,r6,r3 ; blr 	3d608618 616a6187 7d635016 7d2b1850 552af87e 7d0a5a14 5507d1be 1cc70054 7c661850 4e800020
/Ox /GS- /c	s	div	44	3	li divw blr	li r11,44 ; divw r3,r3,r11 ; blr 	3960002c 7c635bd6 4e800020
/Ox /GS- /c	s	mod	44	9	lis ori mulhw srawi rlwinm add mulli subf blr	lis r11,11915 ; ori r10,r11,0xa2e9 ; mulhw r9,r3,r10 ; srawi r11,r9,3 ; rlwinm r10,r11,1,31,31 ; add r8,r11,r10 ; mulli r7,r8,44 ; subf r3,r7,r3 ; blr 	3d602e8b 616aa2e9 7d235096 7d2b1e70 556a0ffe 7d0b5214 1ce8002c 7c671850 4e800020
/Ox /GS- /c	u	div	44	3	li divwu blr	li r11,44 ; divwu r3,r3,r11 ; blr 	3960002c 7c635b96 4e800020
/Ox /GS- /c	u	mod	44	7	lis ori mulhwu rlwinm mulli subf blr	lis r11,-17874 ; ori r11,r11,0x8ba3 ; mulhwu r10,r3,r11 ; rlwinm r9,r10,27,5,31 ; mulli r8,r9,44 ; subf r3,r8,r3 ; blr 	3d60ba2e 616b8ba3 7d435816 5549d97e 1d09002c 7c681850 4e800020
/Ox /GS- /c	s	div	100	3	li divw blr	li r11,100 ; divw r3,r3,r11 ; blr 	39600064 7c635bd6 4e800020
/Ox /GS- /c	s	mod	100	9	lis ori mulhw srawi rlwinm add mulli subf blr	lis r11,20971 ; ori r10,r11,0x851f ; mulhw r9,r3,r10 ; srawi r11,r9,5 ; rlwinm r10,r11,1,31,31 ; add r8,r11,r10 ; mulli r7,r8,100 ; subf r3,r7,r3 ; blr 	3d6051eb 616a851f 7d235096 7d2b2e70 556a0ffe 7d0b5214 1ce80064 7c671850 4e800020
/Ox /GS- /c	u	div	100	3	li divwu blr	li r11,100 ; divwu r3,r3,r11 ; blr 	39600064 7c635b96 4e800020
/Ox /GS- /c	u	mod	100	7	lis ori mulhwu rlwinm mulli subf blr	lis r11,20971 ; ori r11,r11,0x851f ; mulhwu r10,r3,r11 ; rlwinm r9,r10,27,5,31 ; mulli r8,r9,100 ; subf r3,r8,r3 ; blr 	3d6051eb 616b851f 7d435816 5549d97e 1d090064 7c681850 4e800020
/Ox /GS- /c	s	div	48	3	li divw blr	li r11,48 ; divw r3,r3,r11 ; blr 	39600030 7c635bd6 4e800020
/Ox /GS- /c	s	mod	48	11	lis ori mulhw srawi rlwinm add rlwinm add rlwinm subf blr	lis r11,10922 ; ori r10,r11,0xaaab ; mulhw r9,r3,r10 ; srawi r11,r9,3 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,1,0,30 ; add r8,r11,r10 ; rlwinm r7,r8,4,0,27 ; subf r3,r7,r3 ; blr 	3d602aaa 616aaaab 7d235096 7d2b1e70 556a0ffe 7d6b5214 556a083c 7d0b5214 55072036 7c671850 4e800020
/Ox /GS- /c	u	div	48	3	li divwu blr	li r11,48 ; divwu r3,r3,r11 ; blr 	39600030 7c635b96 4e800020
/Ox /GS- /c	u	mod	48	9	lis ori mulhwu rlwinm rlwinm add rlwinm subf blr	lis r11,-21846 ; ori r10,r11,0xaaab ; mulhwu r9,r3,r10 ; rlwinm r11,r9,27,5,31 ; rlwinm r10,r11,1,0,30 ; add r8,r11,r10 ; rlwinm r7,r8,4,0,27 ; subf r3,r7,r3 ; blr 	3d60aaaa 616aaaab 7d235016 552bd97e 556a083c 7d0b5214 55072036 7c671850 4e800020
/Ox /GS- /c	s	div	96	3	li divw blr	li r11,96 ; divw r3,r3,r11 ; blr 	39600060 7c635bd6 4e800020
/Ox /GS- /c	s	mod	96	11	lis ori mulhw srawi rlwinm add rlwinm add rlwinm subf blr	lis r11,10922 ; ori r10,r11,0xaaab ; mulhw r9,r3,r10 ; srawi r11,r9,4 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,1,0,30 ; add r8,r11,r10 ; rlwinm r7,r8,5,0,26 ; subf r3,r7,r3 ; blr 	3d602aaa 616aaaab 7d235096 7d2b2670 556a0ffe 7d6b5214 556a083c 7d0b5214 55072834 7c671850 4e800020
/Ox /GS- /c	u	div	96	3	li divwu blr	li r11,96 ; divwu r3,r3,r11 ; blr 	39600060 7c635b96 4e800020
/Ox /GS- /c	u	mod	96	9	lis ori mulhwu rlwinm rlwinm add rlwinm subf blr	lis r11,-21846 ; ori r10,r11,0xaaab ; mulhwu r9,r3,r10 ; rlwinm r11,r9,26,6,31 ; rlwinm r10,r11,1,0,30 ; add r8,r11,r10 ; rlwinm r7,r8,5,0,26 ; subf r3,r7,r3 ; blr 	3d60aaaa 616aaaab 7d235016 552bd1be 556a083c 7d0b5214 55072834 7c671850 4e800020
/Ox /GS- /c	s	div	72	3	li divw blr	li r11,72 ; divw r3,r3,r11 ; blr 	39600048 7c635bd6 4e800020
/Ox /GS- /c	s	mod	72	11	lis ori mulhw srawi rlwinm add rlwinm add rlwinm subf blr	lis r11,14563 ; ori r10,r11,0x8e39 ; mulhw r9,r3,r10 ; srawi r11,r9,4 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,3,0,28 ; add r8,r11,r10 ; rlwinm r7,r8,3,0,28 ; subf r3,r7,r3 ; blr 	3d6038e3 616a8e39 7d235096 7d2b2670 556a0ffe 7d6b5214 556a1838 7d0b5214 55071838 7c671850 4e800020
/Ox /GS- /c	u	div	72	3	li divwu blr	li r11,72 ; divwu r3,r3,r11 ; blr 	39600048 7c635b96 4e800020
/Ox /GS- /c	u	mod	72	9	lis ori mulhwu rlwinm rlwinm add rlwinm subf blr	lis r11,14563 ; ori r10,r11,0x8e39 ; mulhwu r9,r3,r10 ; rlwinm r11,r9,28,4,31 ; rlwinm r10,r11,3,0,28 ; add r8,r11,r10 ; rlwinm r7,r8,3,0,28 ; subf r3,r7,r3 ; blr 	3d6038e3 616a8e39 7d235016 552be13e 556a1838 7d0b5214 55071838 7c671850 4e800020
/Ox /GS- /c	s	div	88	3	li divw blr	li r11,88 ; divw r3,r3,r11 ; blr 	39600058 7c635bd6 4e800020
/Ox /GS- /c	s	mod	88	9	lis ori mulhw srawi rlwinm add mulli subf blr	lis r11,11915 ; ori r10,r11,0xa2e9 ; mulhw r9,r3,r10 ; srawi r11,r9,4 ; rlwinm r10,r11,1,31,31 ; add r8,r11,r10 ; mulli r7,r8,88 ; subf r3,r7,r3 ; blr 	3d602e8b 616aa2e9 7d235096 7d2b2670 556a0ffe 7d0b5214 1ce80058 7c671850 4e800020
/Ox /GS- /c	u	div	88	3	li divwu blr	li r11,88 ; divwu r3,r3,r11 ; blr 	39600058 7c635b96 4e800020
/Ox /GS- /c	u	mod	88	7	lis ori mulhwu rlwinm mulli subf blr	lis r11,-17874 ; ori r11,r11,0x8ba3 ; mulhwu r10,r3,r11 ; rlwinm r9,r10,26,6,31 ; mulli r8,r9,88 ; subf r3,r8,r3 ; blr 	3d60ba2e 616b8ba3 7d435816 5549d1be 1d090058 7c681850 4e800020
/Ox /GS- /c	s	div	36	3	li divw blr	li r11,36 ; divw r3,r3,r11 ; blr 	39600024 7c635bd6 4e800020
/Ox /GS- /c	s	mod	36	11	lis ori mulhw srawi rlwinm add rlwinm add rlwinm subf blr	lis r11,14563 ; ori r10,r11,0x8e39 ; mulhw r9,r3,r10 ; srawi r11,r9,3 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,3,0,28 ; add r8,r11,r10 ; rlwinm r7,r8,2,0,29 ; subf r3,r7,r3 ; blr 	3d6038e3 616a8e39 7d235096 7d2b1e70 556a0ffe 7d6b5214 556a1838 7d0b5214 5507103a 7c671850 4e800020
/Ox /GS- /c	u	div	36	3	li divwu blr	li r11,36 ; divwu r3,r3,r11 ; blr 	39600024 7c635b96 4e800020
/Ox /GS- /c	u	mod	36	9	lis ori mulhwu rlwinm rlwinm add rlwinm subf blr	lis r11,14563 ; ori r10,r11,0x8e39 ; mulhwu r9,r3,r10 ; rlwinm r11,r9,29,3,31 ; rlwinm r10,r11,3,0,28 ; add r8,r11,r10 ; rlwinm r7,r8,2,0,29 ; subf r3,r7,r3 ; blr 	3d6038e3 616a8e39 7d235016 552be8fe 556a1838 7d0b5214 5507103a 7c671850 4e800020
/Ox /GS- /c	s	div	732	3	li divw blr	li r11,732 ; divw r3,r3,r11 ; blr 	396002dc 7c635bd6 4e800020
/Ox /GS- /c	s	mod	732	10	lis ori mulhw add srawi rlwinm add mulli subf blr	lis r11,-19697 ; ori r10,r11,0x6353 ; mulhw r11,r3,r10 ; add r9,r11,r3 ; srawi r11,r9,9 ; rlwinm r10,r11,1,31,31 ; add r8,r11,r10 ; mulli r7,r8,732 ; subf r3,r7,r3 ; blr 	3d60b30f 616a6353 7d635096 7d2b1a14 7d2b4e70 556a0ffe 7d0b5214 1ce802dc 7c671850 4e800020
/Ox /GS- /c	u	div	732	3	li divwu blr	li r11,732 ; divwu r3,r3,r11 ; blr 	396002dc 7c635b96 4e800020
/Ox /GS- /c	u	mod	732	7	lis ori mulhwu rlwinm mulli subf blr	lis r11,-19697 ; ori r11,r11,0x6353 ; mulhwu r10,r3,r11 ; rlwinm r9,r10,23,9,31 ; mulli r8,r9,732 ; subf r3,r8,r3 ; blr 	3d60b30f 616b6353 7d435816 5549ba7e 1d0902dc 7c681850 4e800020
/Ox /GS- /c	s	div	3	3	li divw blr	li r11,3 ; divw r3,r3,r11 ; blr 	39600003 7c635bd6 4e800020
/Ox /GS- /c	s	mod	3	9	lis ori mulhw rlwinm add rlwinm add subf blr	lis r11,21845 ; ori r10,r11,0x5556 ; mulhw r11,r3,r10 ; rlwinm r10,r11,1,31,31 ; add r11,r11,r10 ; rlwinm r10,r11,1,0,30 ; add r9,r11,r10 ; subf r3,r9,r3 ; blr 	3d605555 616a5556 7d635096 556a0ffe 7d6b5214 556a083c 7d2b5214 7c691850 4e800020
/Ox /GS- /c	u	div	3	3	li divwu blr	li r11,3 ; divwu r3,r3,r11 ; blr 	39600003 7c635b96 4e800020
/Ox /GS- /c	u	mod	3	8	lis ori mulhwu rlwinm rlwinm add subf blr	lis r11,-21846 ; ori r10,r11,0xaaab ; mulhwu r9,r3,r10 ; rlwinm r11,r9,31,1,31 ; rlwinm r10,r11,1,0,30 ; add r8,r11,r10 ; subf r3,r8,r3 ; blr 	3d60aaaa 616aaaab 7d235016 552bf87e 556a083c 7d0b5214 7c681850 4e800020
/Ox /GS- /c	s	div	76	3	li divw blr	li r11,76 ; divw r3,r3,r11 ; blr 	3960004c 7c635bd6 4e800020
/Ox /GS- /c	s	mod	76	9	lis ori mulhw srawi rlwinm add mulli subf blr	lis r11,27594 ; ori r10,r11,0x1af3 ; mulhw r9,r3,r10 ; srawi r11,r9,5 ; rlwinm r10,r11,1,31,31 ; add r8,r11,r10 ; mulli r7,r8,76 ; subf r3,r7,r3 ; blr 	3d606bca 616a1af3 7d235096 7d2b2e70 556a0ffe 7d0b5214 1ce8004c 7c671850 4e800020
/Ox /GS- /c	u	div	76	3	li divwu blr	li r11,76 ; divwu r3,r3,r11 ; blr 	3960004c 7c635b96 4e800020
/Ox /GS- /c	u	mod	76	10	lis ori mulhwu subf rlwinm add rlwinm mulli subf blr	lis r11,-20696 ; ori r10,r11,0x6bcb ; mulhwu r11,r3,r10 ; subf r9,r11,r3 ; rlwinm r10,r9,31,1,31 ; add r8,r10,r11 ; rlwinm r7,r8,26,6,31 ; mulli r6,r7,76 ; subf r3,r6,r3 ; blr 	3d60af28 616a6bcb 7d635016 7d2b1850 552af87e 7d0a5a14 5507d1be 1cc7004c 7c661850 4e800020
