provenance:
  c2-rs      e44f3eef468f (clean)  <repo>/.claude/worktrees/w-refs
  il_stmt_param_assign.cpp           PASS   obj=959B ex=3027B
  il_stmt_scope.cpp                  PASS   obj=1120B ex=3686B
  il_stmt_seq.cpp                    PASS   obj=1344B ex=3062B
  il_stmt_static.cpp                 PASS   obj=1227B ex=3086B
  il_stmt_while.cpp                  PASS   obj=1136B ex=2948B
  il_sy_locals.cpp                   PASS   obj=2120B ex=4429B
  il_sy_locals_clean.cpp             PASS   obj=1273B ex=4009B
  il_sy_size_extent.cpp              PASS   obj=985B ex=3096B
  il_this_line70.cpp                 PASS   obj=883B ex=2874B
  il_this_straightline.cpp           PASS   obj=1278B ex=3879B
  il_type_intlike.cpp                PASS   obj=1359B ex=3936B
  il_type_narrow.cpp                 PASS   obj=1310B ex=3763B
  il_type_pack_neg.cpp               PASS   obj=1137B ex=3320B
  il_type_scalars.cpp                PASS   obj=1510B ex=4156B
  il_varargs_neg.cpp                 PASS   obj=1328B ex=3236B
  mvp_add3.cpp                       PASS   obj=842B ex=2765B
  mvp_argtail.cpp                    PASS   obj=872B ex=2769B
  mvp_call.cpp                       PASS   obj=866B ex=2747B
  mvp_call_argframed_plusk.cpp       PASS   obj=1052B ex=2775B
  mvp_call_mulmod.cpp                PASS   obj=1052B ex=2769B
  mvp_call_plus1plus2.cpp            PASS   obj=1048B ex=2775B
  mvp_call_seq.cpp                   PASS   obj=2711B ex=3880B
  mvp_call_seq_b.cpp                 PASS   obj=4734B ex=5406B
  mvp_call_seq_b_neg.cpp             PASS   obj=2537B ex=3796B
  mvp_call_seq_neg.cpp               PASS   obj=1271B ex=2894B
  mvp_call_submod.cpp                PASS   obj=1048B ex=2769B
  mvp_call_then_stmt.cpp             PASS   obj=1059B ex=2766B
  mvp_call_twice.cpp                 PASS   obj=1056B ex=2762B
  mvp_call_two_framed.cpp            PASS   obj=1094B ex=2794B
  mvp_call_widemod.cpp               PASS   obj=1052B ex=2773B
  mvp_edit_ab.cpp                    PASS   obj=838B ex=2758B
  mvp_edit_addk.cpp                  PASS   obj=836B ex=2751B
  mvp_edit_addk2.cpp                 PASS   obj=836B ex=2757B
  mvp_empty.cpp                      PASS   obj=720B ex=2691B
  mvp_fmul3.cpp                      PASS   obj=861B ex=2765B
  mvp_framed.cpp                     PASS   obj=1048B ex=2769B
  mvp_lit.cpp                        PASS   obj=916B ex=2957B
  mvp_plus0.cpp                      PASS   obj=868B ex=2769B
  mvp_sub.cpp                        PASS   obj=944B ex=3009B
  mvp_tailret.cpp                    PASS   obj=868B ex=2763B
  mvp_two.cpp                        PASS   obj=888B ex=2890B
  mvp_wide.cpp                       PASS   obj=933B ex=2969B
  w10_empty_fn.cpp                   PASS   obj=888B ex=2818B
  w12_aggr_type.cpp                  PASS   obj=1076B ex=3102B
  w12_narrow_getters.cpp             PASS   obj=3062B ex=8439B
  w12_narrow_neg.cpp                 PASS   obj=1734B ex=4395B
  w12_ptr_leaf.cpp                   PASS   obj=1426B ex=4063B
  w12_ptr_leaf_neg.cpp               PASS   obj=1529B ex=3829B
  w13_fabi.cpp                       PASS   obj=1268B ex=3630B
  w13_fneg.cpp                       PASS   obj=3144B ex=5178B
  w13_fops.cpp                       PASS   obj=1363B ex=3968B
  w13_fparam_neg.cpp                 PASS   obj=945B ex=2971B
  w13_freassoc.cpp                   PASS   obj=1791B ex=3978B
  w13_fscratch.cpp                   PASS   obj=1498B ex=4263B
  w13b_fconst.cpp                    PASS   obj=1017B ex=2760B
  w13b_fdedup.cpp                    PASS   obj=1512B ex=3084B
  w13b_ffold.cpp                     PASS   obj=1328B ex=3192B
  w13b_fpool.cpp                     PASS   obj=1225B ex=2908B
  w14_dtor_delegate.cpp              PASS   obj=1548B ex=4275B
  w14_dtor_delegate_neg.cpp          PASS   obj=2387B ex=3809B
  w15_dtor_member.cpp                PASS   obj=1478B ex=4169B
  w16_addr_leaf.cpp                  PASS   obj=2191B ex=6328B
  w16_addr_leaf_neg.cpp              PASS   obj=1522B ex=4079B
  w17_ptr_operand.cpp                PASS   obj=2500B ex=5196B
  w17_ptr_operand_neg.cpp            PASS   obj=2584B ex=5542B
  w18_reg_move.cpp                   PASS   obj=2608B ex=6624B
  w18_reg_move_neg.cpp               PASS   obj=1812B ex=4143B
  w19_ctor_this.cpp                  PASS   obj=1492B ex=4411B
  w19_ctor_this_neg.cpp              PASS   obj=2091B ex=3821B
  w20_convert.cpp                    PASS   obj=3035B ex=7451B
  w20_convert_neg.cpp                PASS   obj=2001B ex=4593B
  w21_census_gate.cpp                PASS   obj=1309B ex=3675B
  w21_census_gate_neg.cpp            PASS   obj=1270B ex=3581B
  w22_int_spelling.cpp               PASS   obj=1384B ex=4010B
  w22_int_spelling_neg.cpp           PASS   obj=1110B ex=3358B
  w23_gl_callee_bind.cpp             PASS   obj=1218B ex=3353B
  w23_gl_callee_bind_neg.cpp         PASS   obj=1018B ex=3020B
  w25_store_leaf.cpp                 PASS   obj=2722B ex=7800B
  w25_store_leaf_neg.cpp             PASS   obj=1780B ex=4483B
  w26_bool_value.cpp                 PASS   obj=1444B ex=4109B
  w26_bool_value_neg.cpp             PASS   obj=1342B ex=3663B
  w27_fp_reg.cpp                     PASS   obj=2278B ex=6058B
  w27_fp_reg_qual.cpp                PASS   obj=1234B ex=3667B
  w28_fltused_order.cpp              PASS   obj=1033B ex=3181B
  w28_fp_store.cpp                   PASS   obj=1460B ex=4318B
  w28_fp_store_framed.cpp            PASS   obj=1601B ex=3446B
  w28_fp_store_framed_neg.cpp        PASS   obj=1432B ex=3077B
  w28_fp_store_neg.cpp               PASS   obj=1915B ex=3967B
  w29_fp_contract.cpp                PASS   obj=1534B ex=4293B
  w30_callseq_tail_intlike.cpp       PASS   obj=4502B ex=5104B
  w30_callseq_tail_intlike_neg.cpp   PASS   obj=3305B ex=4054B
  w31_fp_tail.cpp                    PASS   obj=1725B ex=4509B
  w31_fp_tail_neg.cpp                PASS   obj=2427B ex=3858B
  w32_volatile_formal_neg.cpp        PASS   obj=2579B ex=4240B
  w32_volatile_free.cpp              PASS   obj=1176B ex=3415B
  w34_fp_multi.cpp                   PASS   obj=2915B ex=6317B
  w34_fp_multi_neg.cpp               PASS   obj=1855B ex=4191B
  w35_offset_run.cpp                 PASS   obj=1861B ex=5543B
  w35_offset_run_neg.cpp             PASS   obj=1277B ex=3708B
  w36_member_call.cpp                PASS   obj=3105B ex=5752B
  w36_member_call_neg.cpp            PASS   obj=3160B ex=4945B
  w37_bit_and_neg.cpp                PASS   obj=1903B ex=3991B
  w38_store_run.cpp                  PASS   obj=2232B ex=6966B
  w38_store_run_neg.cpp              PASS   obj=1593B ex=4611B
  w41_framed_member_call.cpp         PASS   obj=4602B ex=5701B
  w41_framed_member_call_neg.cpp     PASS   obj=4033B ex=4593B
  w5_chain.cpp                       PASS   obj=1013B ex=3154B
  w5_tree2.cpp                       PASS   obj=1024B ex=3144B
  w5_tree3.cpp                       PASS   obj=1074B ex=3276B
  w5_tree_neg.cpp                    PASS   obj=1654B ex=4122B
  w6_k_boundary.cpp                  PASS   obj=908B ex=2868B
  w6_rel_k.cpp                       PASS   obj=1870B ex=4644B
  w6_unsigned_wide.cpp               PASS   obj=1194B ex=3404B
  w8_cond_tail.cpp                   PASS   obj=952B ex=2876B
  w8_cond_tail_neg.cpp               PASS   obj=964B ex=2988B
  w8_cond_tail_value.cpp             PASS   obj=1124B ex=3120B
  wadjust_obj_recv.cpp               PASS   obj=3536B ex=5375B
  wadjust_obj_recv_neg.cpp           PASS   obj=2797B ex=4017B
  wae_assign_dst.cpp                 PASS   obj=1036B ex=3237B
  wae_assign_dst_neg.cpp             PASS   obj=1779B ex=3324B
  wcb_cmp_two_calls.cpp              PASS   obj=4827B ex=5343B
  wcb_cmp_two_calls_neg.cpp          PASS   obj=6471B ex=6190B
  wcf_neighbours.cpp                 PASS   obj=1420B ex=4030B
  wcf_shapes.cpp                     PASS   obj=1675B ex=4645B
  wch_chained_call.cpp               PASS   obj=4014B ex=5023B
  wch_chained_call_neg.cpp           PASS   obj=3887B ex=4743B
  wcl_chain_link_arg.cpp             PASS   obj=6415B ex=7008B
  wcl_chain_link_arg_neg.cpp         PASS   obj=3972B ex=4822B
  wco_chain_tail_load.cpp            PASS   obj=4469B ex=5615B
  wco_chain_tail_load_neg.cpp        PASS   obj=2935B ex=4326B
  wco_explicit_return.cpp            PASS   obj=2110B ex=4174B
  wcr_cmp_order.cpp                  PASS   obj=7551B ex=6960B
  wcr_cmp_order_neg.cpp              PASS   obj=7509B ex=6710B
  wda_dataaddr_neg.cpp               PASS   obj=1969B ex=3487B
  wda_neighbours.cpp                 PASS   obj=1214B ex=3322B
  wdr_neighbours.cpp                 PASS   obj=1909B ex=3888B
  wdr_virtual_byval.cpp              PASS   obj=2958B ex=4807B
  wec_ctor_base.cpp                  PASS   obj=2243B ex=4374B
  wec_ctor_base_neg.cpp              PASS   obj=2664B ex=4614B
  wfl_chain_tail_fp_load.cpp         PASS   obj=4165B ex=5339B
  wfl_chain_tail_fp_load_neg.cpp     PASS   obj=2594B ex=3903B
  wfr_argreg.cpp                     PASS   obj=1515B ex=3138B
  wfr_argreg_member.cpp              PASS   obj=1214B ex=2915B
  wfr_argreg_neg.cpp                 PASS   obj=1228B ex=2946B
  wfr_argreg_types.cpp               PASS   obj=1998B ex=3495B
  wfr_cmp_stride.cpp                 PASS   obj=1732B ex=4037B
  wfr_cmp_stride_neg.cpp             PASS   obj=1260B ex=3185B
  wla_lit_call_arg.cpp               PASS   obj=3054B ex=7123B
  wla_lit_call_arg_neg.cpp           PASS   obj=2829B ex=5380B
  wlb_moved_formal.cpp               PASS   obj=2354B ex=5607B
  wlb_moved_formal_neg.cpp           PASS   obj=2119B ex=4488B
  wlo_dyninit_mixed.cpp              PASS   obj=934B ex=2909B
  wlo_dyninit_pair.cpp               PASS   obj=1598B ex=2885B
  wlr_lit_run.cpp                    PASS   obj=2213B ex=6769B
  wlr_lit_run_neg.cpp                PASS   obj=1527B ex=4576B
  wr1_sym_addr.cpp                   PASS   obj=4443B ex=5943B
  wr1_sym_addr_neg.cpp               PASS   obj=3050B ex=4159B
  wr1c_dyninit_extern.cpp            PASS   obj=1306B ex=2787B
  wr1c_dyninit_two_objects.cpp       PASS   obj=1294B ex=2787B
  wrr_arg_vocab.cpp                  PASS   obj=1495B ex=3678B
  wrr_arg_vocab_neg.cpp              PASS   obj=1299B ex=3291B
  wsl_store_load.cpp                 PASS   obj=3251B ex=9636B
  wsl_store_load_neg.cpp             PASS   obj=1563B ex=4787B
  wunw_float_beside_framed.cpp       PASS   obj=1411B ex=3184B
  wunw_float_neg.cpp                 PASS   obj=1269B ex=2877B
  wunw_framed_pair.cpp               PASS   obj=1201B ex=2886B
  wunw_leaf_then_framed.cpp          PASS   obj=1086B ex=2868B
  wunw_mixed_order.cpp               PASS   obj=1306B ex=3078B
  wunw_two_leaves_framed.cpp         PASS   obj=1124B ex=2967B
