# GRID V — frozen at `holdout.py --freeze`.  KEY ILX evaluated
# on the captured .ex ALONE: no obj was compiled and no
# disassembly was taken by this run.
cell	ru	cu	clause	predict	sha256_src	sha256_ex
V5-otherptr-r2k5	2	5	CROSS	prod	bfb7f25d15c8dd7782a8436b119fe6445092da759884d3b3e902848d7b688a40	432ef94b8e5c2542cab212d200fb9514f0314f3b2e257b56f65877b786653da2
V5-otherptr-r4k2	4	2	CROSS	prod	3a538827b32ea7f2facf926e4f1db300cb15968ad5f9ab5c55f7cc61a8b8899b	7582df733a79f27c8e2c382349cb60761c72aec9ec5a0873bd232cebdc03b931
V6-bindload-r1k1	1	1	LOAD	prod	3676cb286af634e5ef95629c012e7844bc65ebc378752ce4caf6b817c2de5db2	94dc8862da6ef5e1179a3296b1820df2fd1d114dfccabefa5d44983e4def6efd
V6-bindload-r3k4	3	4	LOAD	const	e3d61de9bfd68caa99e050e53a58913d57af8f3e9b0c6c04b475d7aeafaa0801	8df8e6c7c81d603651d3a60d24e8af3bc89d1d3ecdaf44acb0b97e65446696e3
V6-bindload-r3k5	3	5	LOAD	const	0156abaf49e3ddf88898d003b5a6546fb846cba9a67f37d9160e3d08d251b2ac	3866a45cf246a52a028a7e2b0a797662598641928cb79365e2c5242f42ab25bb
V6-bindload-r2k5	2	5	LOAD	const	259e9aed5a1f951d8cd1f80635ef8a6b50b6996614f138da0ce36a2232007cae	34cf2b2c7e173f705693bf2d462fc7a403b8c65360c628fe3ced2d42ee4896a7
V6-bindload-r4k2	4	2	LOAD	const	f862e03f51088a720cb4afd07748f7f081476ff0cbcaf1390442b2ef9c6d2f05	8a37f1a0efd2c5cecba6d77d409cffd83ee8b2606fc38bd576146f6ad5f14b70
V7-bindself-r1k1	1	1	SELF-2B	prod	1ef9c8d1836f3ff641a92c05249bdcddc8ca0d7b477b9b9e514db4b7688b9c98	7e0a6737a378783b8d59d71c20b08ef45f4d1a91746bc005f6a996b1393b9a50
V7-bindself-r3k4	3	4	SELF-2B	prod	4d77e043b378aac9cff15ee845f9b3559f13d88348676e766f8c8b4a02131d4c	c89727af92eacc3d8b714bab9dccac793d329f3f41fe1eac215f20b598a11179
V7-bindself-r3k5	3	5	SELF-2B	prod	a6baa8657429a7a9f4ad860a325c36fe4b38c7bcb1ff793731382164341d4385	89f5b2217a5c32530156e09fafa91cba0e8a2713e087dadbfe4ff70d48bdcf9e
V7-bindself-r2k5	2	5	SELF-2B	prod	5c9c55df738d184b19887e496785f051a552a159bb5c50a36fa17176e2c6de20	3f90c442b9fdcb302c8321b4ee5580dc8cea108cdb0bba656d351b4dc7d163b7
V7-bindself-r4k2	4	2	SELF-2B	prod	525f52dcff6334f0fb292803b2f80384036735578d1b8c337b44e3bc41367efb	e554700ca1fe87260ce14966d9ac99a0ea3c7bf7cccfa87b283e7719d474e8dd
V8-bindcross-r1k1	1	1	CROSS	const	f66119594f6173a2b345db087ffe94cdeaf19bc8c432a49ce17bd04bbc236847	53c28c4a09b5df48405314634e0f4321538636216e2c4c1f92029ee59f30c570
V8-bindcross-r3k4	3	4	CROSS	prod	0656cf2a6f18cdea368f45081de38b7530ef247ff5f3f937559fb520f15f56c4	8438a7187693bf06f90f56fd8b2e380fdf0106d6b18fd65dd2e7444b7c789009
V8-bindcross-r3k5	3	5	CROSS	prod	3c0f361dc4f1be2f8d7dee44aef0507ff6ad992ecce7d693dc0acf840f82a8e7	5e4208d7fcefc756f2c414b66b7805e5ba8e0c9c747b44e0fd95f2c1e0a9385a
V8-bindcross-r2k5	2	5	CROSS	prod	e19482fa45d41ffa6f146ef380bf96c6b575d8ca25a6c55dd89047772e0fb716	22e48e66a7dbc6a08e503ec5fe0ca6f67b3e538de1b5a0833c9d46b1d5691bf4
V8-bindcross-r4k2	4	2	CROSS	prod	0ec846f3da4d9812d8f46900fb23a07a570d6d79623a8659b9886c95bea7b5ef	902a81f3dccce6332ec44e6f0de6e540389d1a5bca518a6e283967dc66162d21
V9-ptrlocal-r1k1	1	1	LOAD	prod	a052de07ca28b9f611db5517a1621b2584068c5953131df55f1e19066f2f766b	de26249179122eaf480be5a2e24e883ce560806c6ad3dc53c0f2996ca64302bb
V9-ptrlocal-r3k4	3	4	LOAD	const	3325156af96c3a8c9d070931a3710d224de2616dbaac386271b19dbd4023b895	befc419fafbd7b8d6325be67ce661f05b778364891968bb39f43f54244c48cc7
V9-ptrlocal-r3k5	3	5	LOAD	const	afaf7f807b10027521cd546d0e13f617e2f76ef8ad43841f52ced8bd42c1e8ec	72d1d2470c4057bbca59a35a8e466a85210a2b22f1c6fb096222c8619476c5c2
V9-ptrlocal-r2k5	2	5	LOAD	const	4b365d00ac02e7013655a811925748437781ea86554647bb8dcf822d4689c402	694d9e47270ec433293508369de1a7ea779335c9ed170143204d50f7f5e95964
V9-ptrlocal-r4k2	4	2	LOAD	const	4b28917d3512b78e3f80b11c399d2c4cdc62c1c82300180f3ff96972c76b3a48	b30268736b8e1e9f60784b4fd1f22d9d52b9429f0e3a36624b712f339f0d2ccd
