# GRID-H FROZEN PREDICTIONS — lane w-alloc3
# name	sha256	refusal	predicted	callee-body
H-wide-n8p7-ret	d2f834301119d6ef4460d768649fd5bea88e6d2f8cb2589f51b4de70185872f4		806a0004 4e800020	80630004 4e800020
H-wide-n8p7-ar	bfdd613879130ecf0cb21e588ecc6a889a77f24f5f8c28686a85fcad03594762		816a0004 386bfffc 4e800020	80630004 4e800020
H-perm-012	d5657af3fb84e260068fc60639171266edc69f417f31365d17a51b1695aaa4e2		7d641850 7c6b2a14 4e800020	7d641850 7c6b2a14 4e800020
H-perm-021	0341e461e8fa916f47f43777dda5013dc21e6a2604c475e8adf4c94a50b8adde		7d651850 7c6b2214 4e800020	7d641850 7c6b2a14 4e800020
H-perm-102	0493d8b222cfa496d66574719f6c45fb9aca64933d1bab8e2b85722d0c650fbc		7d632050 7c6b2a14 4e800020	7d641850 7c6b2a14 4e800020
H-perm-120	d2e1894e83d42eacc20de9675b75f5c8ac3d9ffc7daad52263851cc37ad8f701		7d652050 7c6b1a14 4e800020	7d641850 7c6b2a14 4e800020
H-perm-201	2fc93a910632e3ecd3b8981d1861fbcfe7713be08399321cc1d2f532ce6079eb		7d632850 7c6b2214 4e800020	7d641850 7c6b2a14 4e800020
H-perm-210	6235038a7035f6d516952e9ce4fdddbeb4172e2f3b88887cd89c5f665cca5e87		7d642850 7c6b1a14 4e800020	7d641850 7c6b2a14 4e800020
H-perm4-310	7b972e57d851169cc2ce8a9b01d31265f08b21604d28f8710ed8c4e2d8956d5d		7d643050 7c6b1a14 4e800020	7d641850 7c6b2a14 4e800020
H-perm4-023	3497c4495713d4f1672b24c74c2a8bbe6146b88745174c75e21b568df6c3f945		7d651850 7d6b3214 386b0009 4e800020	7d641850 7c6b2a14 4e800020
H-temp-n1	0a0cd5ea4ff6ef4e5bd23713ffe1b09ee88c260faf90afb19376cc95492c6841		81630000 816b0004 386bfffc 4e800020	81630000 806b0004 4e800020
H-temp-n3	2b554aa13b7147149478282e3b0f2749e81499fbbf4a2023d2b426f75e447885		81650000 816b0004 386bfffc 4e800020	81630000 806b0004 4e800020
H-temp-n5	6d8c34b8308da052fe0d87f301074ecb97c9bc0f270d2f01fc8c9a726816a9ed		81670000 816b0004 386bfffc 4e800020	81630000 806b0004 4e800020
H-temp-ret-n2	a2f31afef622b50e7b235bbb741ba7bd01533a1d6171f42cc1725117ad0ba202		81640000 806b0004 4e800020	81630000 806b0004 4e800020
H-spell-neg	9edd022965c592075b8d20c9199ae4ae8be0a0fec9ddb87d8db014fd15c211a5		7d6400d0 386b0004 4e800020	7c6300d0 4e800020
H-spell-shl	0d78f47462c2e66a06cb1650b9392b92bf6f15e06d84ab6452f13ae1117f9e01		548b1838 386b0004 4e800020	54631838 4e800020
H-spell-and	4e80251208b9c1c72505b38d9ea6cba48519e0ae6c5c513648bc8adc2d11b1f0	D10-commutative		7c632038 4e800020
H-spell-mul	2b1b45a36ef6ffe34b88496321a0025d3deacfa222056f9089555c06acca398d	D10-commutative		7c6321d6 4e800020
H-spell-ext	3f9812f64ac6a961d1ae6778330df4c26d84b87b92907e901dae6e0e96d9b5fe		81640008 7d6b0734 386b0004 4e800020	81630008 7d630734 4e800020
H-spell-ext-ret	160d255072d75c269769c969ad585c52f791225e653ab65114bd9e8bcc00d087		81640008 7d630734 4e800020	81630008 7d630734 4e800020
H-noarg-ret	7e21db6b94c05ef786c8d3ebca83eb12966bafd57de3dc3232fdecd42431114f	D4-temp-collides-r3		3860002a 4e800020
H-noarg-ar	7595c166913a77cdb9e123c21274a1c9d5ca183cb64cb368092231b63221c2a1	D4-temp-collides-r3		3860002a 4e800020
H-idx-ret	1e85d5644cdd1f36fc1f9cc241cc348e7c1b297bd942108784c17103dfffab7c		546b103a 7c6b282e 4e800020	548b103a 7c6b182e 4e800020
H-idx-ar	e0e3cec70b7943a3f6f6f81984fd8b17039a59d1d60e701c6d4d81c78cea5171		546b103a 7d6b282e 386b0008 4e800020	548b103a 7c6b182e 4e800020
H-store-12	737596b56c3abc3474664cd8fe5dfef5f36c6481d03b91389d15bc9f5a7404db		90a40008 4e800020	90830008 4e800020
H-store-20	5dcd2a7c3bf02cc1b9b21847a842f3480320665d1f1ea3e18aab88896fd240bc		90650008 4e800020	90830008 4e800020
H-zero-ret	7cfbb9cadc06db6405ec24d792f32d4fa1e32bce8ea748e5531b71023e96b405		80640000 4e800020	80630000 4e800020
H-zero-ar	e6ab7dc8f0b40cf1ffb598c58d981096c1b980d46c0fe979babd60271b060179		81640000 386bfffc 4e800020	80630000 4e800020
H-out-twocall-a	72e5f02cb2a431c1b38c1ec2663c0ed48c02232b9e1f65bfa3d159a749b24a18	D7-two-call-sites (registered)		80630004 4e800020
H-out-twocall-b	cb83f369f6c27ca335b8b62a7db910580456de0522e60450a203f309013b00fb	D7-two-call-sites (registered)		7c632214 4e800020
H-out-computed-a	c3ecc50bef29f487beb539dd4e3e7287a709d1df94ed7f34d4a982f9fb3df51b	D2-computed-actual (registered)		38630001 4e800020
H-out-computed-b	6b2e6c4fb6d9ec82277cf936a238dd5f6b6cbaef751b9a08442de6f36b6858e2	D2-computed-actual (registered)		80630004 4e800020
