name	axis	callee	n	mode	gwords	verdict	why	pred	got	gbody
H-perm-021	H-perm	SUM3	3	ret	2	HIT		7d651850 7c6b2214 4e800020	7d651850 7c6b2214 4e800020	7d641850 7c6b2a14 4e800020
H-perm-102	H-perm	SUM3	3	ret	2	HIT		7d632050 7c6b2a14 4e800020	7d632050 7c6b2a14 4e800020	7d641850 7c6b2a14 4e800020
H-perm-120	H-perm	SUM3	3	ret	2	MISS		7d652050 7c6b1a14 4e800020	7d651850 7c6b2214 4e800020	7d641850 7c6b2a14 4e800020
H-perm-201	H-perm	SUM3	3	ret	2	MISS		7d632850 7c6b2214 4e800020	7d632050 7c6b2a14 4e800020	7d641850 7c6b2a14 4e800020
H-perm-210	H-perm	SUM3	3	ret	2	MISS		7d642850 7c6b1a14 4e800020	7d641850 7c6b2a14 4e800020	7d641850 7c6b2a14 4e800020
H-perm4-310	H-perm4	SUM3	4	ret	2	MISS		7d643050 7c6b1a14 4e800020	7d641850 7c6b3214 4e800020	7d641850 7c6b2a14 4e800020
H-perm4-023	H-perm4	SUM3	4	arith	2	HIT		7d651850 7d6b3214 386b0009 4e800020	7d651850 7d6b3214 386b0009 4e800020	7d641850 7c6b2a14 4e800020
H-temp-n1	H-temp	LD2	1	arith	2	HIT		81630000 816b0004 386bfffc 4e800020	81630000 816b0004 386bfffc 4e800020	81630000 806b0004 4e800020
H-temp-n3	H-temp	LD2	3	arith	2	HIT		81650000 816b0004 386bfffc 4e800020	81650000 816b0004 386bfffc 4e800020	81630000 806b0004 4e800020
H-temp-n5	H-temp	LD2	5	arith	2	HIT		81670000 816b0004 386bfffc 4e800020	81670000 816b0004 386bfffc 4e800020	81630000 806b0004 4e800020
H-temp-ret-n2	H-temp	LD2	2	ret	2	HIT		81640000 806b0004 4e800020	81640000 806b0004 4e800020	81630000 806b0004 4e800020
H-spell-neg	H-spell	NEG	2	arith	1	MISS		7d6400d0 386b0004 4e800020	20640004 4e800020	7c6300d0 4e800020
H-spell-shl	H-spell	SHL	2	arith	1	HIT		548b1838 386b0004 4e800020	548b1838 386b0004 4e800020	54631838 4e800020
H-spell-and	H-spell	AND	3	arith	1	OUT-OF-DOMAIN	D10-commutative (frozen)		7c6b2838 386b0004 4e800020	7c632038 4e800020
H-spell-mul	H-spell	MUL	3	arith	1	OUT-OF-DOMAIN	D10-commutative (frozen)		7d6329d6 386b0004 4e800020	7c6321d6 4e800020
H-spell-ext	H-spell	EXT	2	arith	2	HIT		81640008 7d6b0734 386b0004 4e800020	81640008 7d6b0734 386b0004 4e800020	81630008 7d630734 4e800020
H-spell-ext-ret	H-spell	EXT	2	ret	2	HIT		81640008 7d630734 4e800020	81640008 7d630734 4e800020	81630008 7d630734 4e800020
H-noarg-ret	H-noarg	NOARG	2	ret	1	OUT-OF-DOMAIN	D4-temp-collides-r3 (frozen)		3860002a 4e800020	3860002a 4e800020
H-noarg-ar	H-noarg	NOARG	2	arith	1	OUT-OF-DOMAIN	D4-temp-collides-r3 (frozen)		38600030 4e800020	3860002a 4e800020
H-idx-ret	H-idx	IDX	3	ret	2	HIT		546b103a 7c6b282e 4e800020	546b103a 7c6b282e 4e800020	548b103a 7c6b182e 4e800020
H-idx-ar	H-idx	IDX	3	arith	2	HIT		546b103a 7d6b282e 386b0008 4e800020	546b103a 7d6b282e 386b0008 4e800020	548b103a 7c6b182e 4e800020
H-store-12	H-store	STORE2	3	void	1	HIT		90a40008 4e800020	90a40008 4e800020	90830008 4e800020
H-store-20	H-store	STORE2	3	void	1	HIT		90650008 4e800020	90650008 4e800020	90830008 4e800020
H-zero-ret	H-zero-off	LD1a	2	ret	1	HIT		80640000 4e800020	80640000 4e800020	80630000 4e800020
H-zero-ar	H-zero-off	LD1a	2	arith	1	HIT		81640000 386bfffc 4e800020	81640000 386bfffc 4e800020	80630000 4e800020
H-out-twocall-a	H-out	LD1	2	ret	1	OUT-OF-DOMAIN	D7-two-call-sites (registered)		81640004 7d635b78 4e800020	80630004 4e800020
H-out-twocall-b	H-out	SUM	2	ret	1	OUT-OF-DOMAIN	D7-two-call-sites (registered)		7d632214 5563083c 4e800020	7c632214 4e800020
H-out-computed-a	H-out	ADD1	2	ret	1	OUT-OF-DOMAIN	D2-computed-actual (registered)		38630002 4e800020	38630001 4e800020
H-out-computed-b	H-out	LD1	2	ret	1	OUT-OF-DOMAIN	D2-computed-actual (registered)		80640010 4e800020	80630004 4e800020
