# Diagnostic text from 1033/clui.dll's RT_STRING table — the number->text
# dictionary for c2.dll, which itself holds only the numbers. NOT disassembly:
# this is text the compiler prints, i.e. observable output. Generated by
# docs/whitebox/scripts/build_diagnostics.py; do not hand-edit.
id	code	text
247	C247	returning a reference to a member of a value type that may not be in the GC heap
250	C250	******************************** PGU Divergence Report ************************************
251	C251	PGD Name: %s
252	C252	%c%d of %d profiled functions (%4.1f%%) were optimized using profile data
253	C253	%c%I64d of %I64d total dynamic instructions (%4.1f%%) were optimized using profile data
254	C254	******* Profiled functions not optimized using profile data *******
255	C255	%-30.30s dynamic %%
256	C256	%-30.30s Reason instr total
257	C257	Function Name
258	C258	Not found
259	C259	Modified
260	C260	Profile data found for %d of %d compiled functions (%4.1f%%)
261	C261	******* Compiled functions for which no profile data was found *******
270	C270	Couldn't open %s, continuing without source annotations
306	C306	bad suffix on number
307	C307	unknown
308	C308	<Unknown>
309	C309	return
320	C320	first operand
321	C321	second operand
322	C322	third operand
323	C323	opcode
324	C324	fourth operand
333	C333	anonymous union
334	C334	member
335	C335	enumerator
336	C336	inaccessible
337	C337	input
339	C339	compiler intermediate
340	C340	compiler generated
341	C341	source
342	C342	inline function definition
343	C343	include
344	C344	precompiled header
345	C345	overloaded function type
346	C346	Target Of operator new()
347	C347	single_inheritance
348	C348	multiple_inheritance
349	C349	virtual_inheritance
350	C350	Using precompiled header
351	C351	Creating precompiled header
352	C352	Creating new precompiled header
353	C353	Incompatible options;
354	C354	program database
355	C355	bad path
356	C356	debug
357	C357	browser
358	C358	type library
359	C359	CLR runtime data
360	C360	brace '{'
361	C361	parenthesis '('
362	C362	bracket '['
363	C363	block comment '/*'
364	C364	angle-bracket '<'
365	C365	type dependent on a template parameter
366	C366	namespace
367	C367	typedef
368	C368	formerly unknown identifier
370	C370	default constructor
371	C371	copy constructor
372	C372	assignment operator
373	C373	destructor
374	C374	function
375	C375	empty declaration
376	C376	static data member
377	C377	data
378	C378	function through pointer
379	C379	... (argument)
382	C382	data member
383	C383	bitfield
384	C384	tag
385	C385	member function
386	C386	data variable
387	C387	formal parameter
388	C388	base class
389	C389	template parameter
390	C390	memory model (/A)
391	C391	program database name
392	C392	native caller(/Gn)
393	C393	Pascal calls
394	C394	FastCall(/Gr)
395	C395	Unsigned char(/J)
396	C396	PM representation(/vmb)
397	C397	PM representation(/vmg)
398	C398	general PM representation(/vm[smv])
399	C399	vtordisp(/vd[012])
400	C400	DLL library (/MD)
401	C401	Bit Field layout (/Zb)
402	C402	Optimizations (one or more of /Oawstgp[y]) or debug checks (one or more of /GZ, /RTCcsu)
403	C403	C++ Exception Handling Unwinding
404	C404	Generate Browser Info
405	C405	Library PCH Identifier (/Yl)
406	C406	structure packing (/Zp)
407	C407	C++ Run-Time Type Identification Data
408	C408	Note: including file:%s%s\n
409	C409	C++ support for type 'bool' (/noBool)
410	C410	StdCall(/Gz)
411	C411	CDecl(/Gd)
412	C412	C++ support for type 'HRESULT' (/noHRESULT)
413	C413	Support for type 'wchar_t' (/Zc:wchar_t)
414	C414	MS bytecodes generation (-EEf)
415	C415	Static library (/ML)
416	C416	Static MT library (/MT)
417	C417	Debug DLL library (/MDd)
418	C418	Debug static library (/MLd)
419	C419	Debug static MT library (/MTd)
420	C420	No default libraries (/Zl)
421	C421	For loop scope conformance (/Zc:forScope)
422	C422	Warning level (/W<n>)
423	C423	All warnings enabled (/Wall)
424	C424	assembly
425	C425	module
426	C426	link-time code generation (/GL)
427	C427	support for OpenMP 2.0 (/openmp)
428	C428	support for new floating-point model (/FP)
429	C429	support for security checks (/GS)
450	C450	precompiled header (.h) file
504	C504	true
505	C505	false
506	C506	__hook
507	C507	__unhook
508	C508	int
509	C509	int or void
510	C510	template-parameter-list
511	C511	template-argument-list
512	C512	interfaces
513	C513	pure virtual functions
514	C514	template
515	C515	generic
516	C516	generic-parameter-list
517	C517	generic-argument-list
518	C518	template-class-id
519	C519	generic-class-id
599	C599	PCH header file
600	C600	end of file
601	C601	<internal>
602	C602	identifier
603	C603	string
604	C604	<class-head>
605	C605	enum [tag]
606	C606	type
607	C607	right-side modifier
608	C608	assignment operator
609	C609	type cast
610	C610	constant
612	C612	equality operator
613	C613	increment operator
614	C614	initializing
615	C615	left-side modifier
616	C616	relational operator
617	C617	shift operator
618	C618	struct/union operator
619	C619	operator <op>
620	C620	user-defined conversion
621	C621	qualified-name
622	C622	function-style cast
623	C623	<tag>::*
624	C624	expression
625	C625	declarator
626	C626	'symbol'
627	C627	inline function header
628	C628	resolved identifier
629	C629	hidden udt return argument
630	C630	bit field
631	C631	based reference
632	C632	deseg
633	C633	argument
634	C634	entry
635	C635	function
636	C636	intrinsic
638	C638	Base/member initializer destructor list
639	C639	List of destructors in default arg tree
640	C640	List of keys in default arg tree
641	C641	alignment cast
642	C642	on/off
643	C643	force include
644	C644	CompileTime directive
645	C645	force include assembly
646	C646	C-style cast
647	C647	wide
648	C648	narrow
649	C649	property
650	C650	event
700	C700	element of a managed array
701	C701	member of a managed class
702	C702	an unboxed value type
703	C703	a dereferenced gc pointer
704	C704	pointer to __gc class or __gc interface
705	C705	handle type
706	C706	__gc class or __gc interface
707	C707	ref class or interface class
708	C708	__gc array
709	C709	managed array
710	C710	__gc class
711	C711	ref class
712	C712	__gc new
713	C713	new
714	C714	gcnew
715	C715	__gc interfaces
716	C716	interface classes
717	C717	__value class
718	C718	value class
719	C719	declaration within #pragma unmanaged
721	C721	non-virtual
751	C751	 Discarding /** comment with no closing */ 
752	C752	 <include> tag requires '%s' attribute. 
753	C753	 Cannot access '%s'. 
754	C754	 Cannot select XPath '%s' in doc '%s'. 
755	C755	 <include> nesting limit reached. 
756	C756	 Parameter name '%s' already referenced. 
757	C757	 '%s' is not a parameter named in the declaration of this function. 
758	C758	 Reference to empty symbol. 
759	C759	 <param> target is not a member function. 
761	C761	 Discarding tag with missing or empty 'cref' attribute. 
762	C762	 Discarding tag with missing or empty 'name' attribute. 
763	C763	 Discarding badly formed XML document comment for member '%s'. 
764	C764	 Discarding XML document comment for invalid target. 
765	C765	 COM error, cannot create XML document handles. 
766	C766	 Discarding badly-formed XML document comment. 
767	C767	 MSXML 3.0 (or later) not registered 
768	C768	 path resulted in empty nodelist 
769	C769	 document comment too long, XML was discarded
770	C770	 applied to '%s'
781	C781	cannot use no_registry with %s
901	C901	Note: %$M %$M %s\n
902	C902	Note: %$M %s\n
903	C903	Note: creating new precompiled header %s with %d include file(s)\n
904	C904	compiler options have changed, all functions will be recompiled
905	C905	updating precompiled header memory details
906	C906	unable to update precompiled header memory details
907	C907	unable to preserve the time stamp whilst updating the precompiled header file %s
908	C908	reusing persistent precompiled header
910	C910	Note: non-fatal system error releasing memory (%d)\n
911	C911	Note: Old project was compiled without /Zc:ForScope option; ignoring the current  /Zc:ForScope option \n
912	C912	Note: Old project was compiled with /Zc:ForScope option; ignoring the current /Zc:ForScope option \n
914	C914	CLRCall(/Gc)
915	C915	constructor
916	C916	finally
917	C917	__finally
918	C918	finalizer
919	C919	~
920	C920	!
921	C921	was declared deprecated
999	C999	UNKNOWN MESSAGE %$N Please choose the Technical Support command on the Visual C++ %$N Help menu, or open the Technical Support help file for more information
1000	C1000	UNKNOWN FATAL ERROR\n Please choose the Technical Support command on the Visual C++\n Help menu, or open the Technical Support help file for more information
1001	C1001	An internal error has occurred in the compiler.\n(compiler file '%s', line %d)\n To work around this problem, try simplifying or changing the program near the locations listed above.\nPlease choose the Technical Support command on the Visual C++ \n Help menu, or open the Technical Support help file for more information
1002	C1002	compiler is out of heap space in pass 2
1003	C1003	error count exceeds %d; stopping compilation
1004	C1004	unexpected end-of-file found
1005	C1005	string too big for buffer
1006	C1006	write error on compiler intermediate file
1007	C1007	unrecognized flag '%s' in '%s'
1008	C1008	no input file specified
1009	C1009	compiler limit : macros nested too deeply
1010	C1010	unexpected end of file while looking for precompiled header. Did you forget to add '#include %c%s%c' to your source?
1012	C1012	unmatched parenthesis : missing '%c'
1013	C1013	compiler limit : too many open parentheses
1014	C1014	too many include files : depth = %d
1016	C1016	#if[n]def expected an identifier
1017	C1017	invalid integer constant expression
1018	C1018	unexpected #elif
1019	C1019	unexpected #else
1020	C1020	unexpected #endif
1021	C1021	invalid preprocessor command '%s'
1022	C1022	expected #endif
1023	C1023	'%s' : unexpected error with pch, try rebuilding the pch
1026	C1026	parser stack overflow, program too complex
1027	C1027	Inconsistent values for /Ym between creation and use of precompiled header
1030	C1030	WMMX types not allowed in the function signature by the calling convention
1032	C1032	__eabi requires VFP code generation (/QRfpe-)
1033	C1033	cannot open program database '%s'
1034	C1034	%s: no include path set
1035	C1035	expression too complex; simplify expression
1036	C1036	cannot overwrite earlier program database format, delete '%s' and recompile
1037	C1037	cannot open object file '%s'
1038	C1038	compiler limit : '%$S' : control flow state too complex; simplify function
1039	C1039	more arguments of intrinsic type than allowed by the calling convention
1040	C1040	intrinsic function or type not allowed in Thumb mode
1042	C1042	cannot open compiler intermediate file - no such file or directory
1043	C1043	cannot open compiler intermediate file
1044	C1044	out of disk space for compiler intermediate file
1045	C1045	compiler limit : linkage specifications nested too deeply
1046	C1046	compiler limit : %$B nested too deeply
1047	C1047	The object or library file '%s' was created with an older compiler than other objects; rebuild old objects and libraries
1048	C1048	unknown option '%c' in '%s'
1049	C1049	invalid numerical argument '%s'
1051	C1051	program database file, '%s', has an obsolete format, delete it and recompile
1053	C1053	'%s' : function too large
1054	C1054	compiler limit : initializers nested too deeply
1055	C1055	compiler limit : out of keys
1057	C1057	unexpected end of file in macro expansion
1059	C1059	compiler is out of near heap space
1060	C1060	compiler is out of heap space
1061	C1061	compiler limit : blocks nested too deeply
1063	C1063	compiler limit : compiler stack overflow
1064	C1064	compiler limit : token overflowed internal buffer
1065	C1065	compiler limit : out of tags
1067	C1067	compiler limit : 64K limit on size of a type record has been exceeded
1068	C1068	cannot open file '%s'
1070	C1070	mismatched #if/#endif pair in file '%s'
1071	C1071	unexpected end of file found in comment
1073	C1073	Internal error involving incremental compilation(compiler file '%s', line %d)
1074	C1074	'IDB' is illegal extension for PDB file: %s
1075	C1075	end of file found before the left %s at '%$P' was matched
1076	C1076	compiler limit : internal heap limit reached; use /Zm to specify a higher limit
1077	C1077	compiler limit : cannot have more than %d command line options
1079	C1079	compiler limit : PCH file size limit exceeded
1080	C1080	compiler limit : command line option exceeded limit of %d characters
1081	C1081	'%s': file name too long
1082	C1082	Cannot close %$M file: '%s': %$*
1083	C1083	Cannot open %$M file: '%s': %$*
1084	C1084	Cannot read %$M file: '%s': %$*
1085	C1085	Cannot write %$M file: '%s': %$*
1086	C1086	Cannot seek %$M file: '%s': %$*
1087	C1087	Cannot tell %$M file: '%s': %$*
1088	C1088	Cannot flush %$M file: '%s': %$*
1089	C1089	Cannot truncate %$M file: '%s': %$*
1090	C1090	PDB API call failed, error code '%d' : '%s
1091	C1091	compiler limit: string exceeds %d bytes in length
1092	C1092	Edit and Continue does not support changes to data types; build required
1093	C1093	API call '%s' failed '0x%x' : %$O
1094	C1094	'-Zm%d' : command line option is inconsistent with value used to build precompiled header ('-Zm%d')
1098	C1098	Version mismatch with Edit and Continue engine
1099	C1099	Edit and Continue engine terminating compile
1100	C1100	unable to initialize OLE : %$E
1101	C1101	cannot create handler for attribute '%$I'
1102	C1102	unable to initialize : '%$E'
1103	C1103	fatal error importing progid: '%s'
1104	C1104	fatal error importing libid: '%s'
1105	C1105	%s : %$E
1107	C1107	could not find assembly '%s': please specify the assembly search path using /AI or by setting the LIBPATH environment variable
1108	C1108	unable to find DLL: '%s'
1109	C1109	unable to find '%s' in DLL '%s'
1110	C1110	too many nested %$[TEMPLATE GENERIC] definitions
1111	C1111	too many %$[TEMPLATE GENERIC] parameters
1112	C1112	compiler limit : '%d' too many macro arguments, only '%d' allowed
1113	C1113	#using failed on '%s'
1120	C1120	call to GetProcAddress failed for '%s'
1121	C1121	call to CryptoAPI failed
1126	C1126	automatic allocation exceeds %s
1128	C1128	number of sections exceeded object file format limit : compile with /bigobj
1189	C1189	#error : %s
1190	C1190	managed targeted code requires a '/clr' option
1191	C1191	'%s' can only be imported at global scope
1192	C1192	#using failed on '%s'%$N'%s'
1193	C1193	an error expected in %s(%d) not reached
1194	C1194	checkpoint '%s' expected in %s(%d) not reached
1195	C1195	use of /Yu and /Yc on the same command line is incompatible with the /clr option
1196	C1196	'%s' : identifier found in type library '%s' is not a valid C++ identifier
1197	C1197	cannot reference '%s' as the program has already referenced '%s'
1201	C1201	unable to continue after syntax error in class template definition
1202	C1202	recursive type or function dependency context too complex
1205	C1205	Generics are not supported by the version of the runtime installed
1206	C1206	Per-appdomain data is not supported by the version of the runtime installed
1207	C1207	Managed templates not supported by the version of the runtime installed
1208	C1208	Allocating reference classes on the stack is not supported by the version of the runtime installed
1209	C1209	Friend assemblies not supported by the version of the runtime installed
1210	C1210	/clr:pure and /clr:safe are not supported by the version of the runtime installed
1211	C1211	The TypeForwardedTo Custom Attribute is not supported by the version of the runtime installed
1300	C1300	error accessing program database %s (%s)
1301	C1301	error accessing program database %s, invalid format, please delete and rebuild
1302	C1302	no profile data for module '%s' in profile database '%s'
1303	C1303	profile data corrupt in profile database '%s'
1304	C1304	profile data version mismatch in profile database '%s'
1305	C1305	profile database '%s' is for a different architecture
1306	C1306	last change to profile data base '%s' was not\noptimization analysis; optimization decisions may be out of date
1307	C1307	program has been edited since profile data was collected
1308	C1308	%s: linking assemblies is not supported
1309	C1309	Mismatched versions of C2.DLL and pgodb100.DLL
1310	C1310	profile guided optimizations are not available with OpenMP
1311	C1311	COFF format cannot statically initialize '%s' with %d byte(s) of an address
1312	C1312	Too many conditional branches in function. Simplify or refactor source code.
1313	C1313	compiler limit : %s blocks may not be nested deeper than %d levels.
1350	C1350	error loading dll '%s': dll not found
1351	C1351	error loading dll '%s': incompatible version
1352	C1352	Invalid or corrupt MSIL in function '%s' from module '%s'
1353	C1353	metadata operation failed: runtime not installed or version mismatch
1382	C1382	the PCH file '%s' has been rebuilt since '%s' was generated. Please rebuild this object
1383	C1383	compiler option /GL is incompatible with the installed version of common language runtime
1384	C1384	Incorrect setting for PGO_PATH_TRANSLATION when linking '%s'
1505	C1505	unrecoverable parser look-ahead error
1506	C1506	unrecoverable block scoping error
1507	C1507	previous user errors and subsequent error recovery halt further compilation
1508	C1508	compiler limit : '%$S' : more than 65535 argument bytes
1509	C1509	compiler limit : too many exception handler states in function '%$S'. simplify function
1510	C1510	Cannot open language resource clui.dll
1600	C1600	unsupported data type
1601	C1601	unsupported inline assembly opcode
1602	C1602	unsupported intrinsic
1603	C1603	inline assembly branch target out of range by %d bytes
1701	C1701	too many live variables entering OpenMP block
1852	C1852	'%s' is not a valid precompiled header file
1853	C1853	'%s' precompiled header file is from a previous version of the compiler, or the precompiled header is C++ and you are using it from C (or vice versa)
1854	C1854	cannot overwrite information formed during creation of the precompiled header in object file: '%s'
1859	C1859	'%s' unexpected precompiled header error, simply rerunning the compiler might fix this problem
1900	C1900	Il mismatch between '%s' version '%d' and '%s' version '%d'
1901	C1901	Internal memory management error
1902	C1902	Program database manager mismatch; please check your installation
1903	C1903	unable to recover from previous error(s); stopping compilation
1904	C1904	bad provider interaction: %s
1905	C1905	'%s': Front end and back end not compatible (must target same processor).
1999	C1999	UNKNOWN FATAL ERROR %$N Please choose the Technical Support command on the Visual C++ %$N Help menu, or open the Technical Support help file for more information
2000	C2000	UNKNOWN ERROR%$N Please choose the Technical Support command on the Visual C++%$N Help menu, or open the Technical Support help file for more information
2001	C2001	newline in constant
2002	C2002	invalid wide-character constant
2003	C2003	expected 'defined id'
2004	C2004	expected 'defined(id)'
2005	C2005	#line expected a line number, found '%s'
2006	C2006	'%s' : expected a filename, found '%s'
2007	C2007	#define syntax
2008	C2008	'%c' : unexpected in macro definition
2009	C2009	reuse of macro formal '%s'
2010	C2010	'%c' : unexpected in macro formal parameter list
2011	C2011	'%$pS' : '%$B' type redefinition
2012	C2012	missing name following '<'
2013	C2013	missing '>'
2014	C2014	preprocessor command must start as first nonwhite space
2015	C2015	too many characters in constant
2016	C2016	C requires that a struct or union has at least one member
2017	C2017	illegal escape sequence
2018	C2018	unknown character '0x%x'
2019	C2019	expected preprocessor directive, found '%c'
2020	C2020	'%$I' : '%$B' member redefinition
2021	C2021	expected exponent value, not '%c'
2022	C2022	'%d' : too big for character
2023	C2023	'%s' : invalid macro formal
2026	C2026	string too big, trailing characters truncated
2027	C2027	use of undefined type '%$pS'
2028	C2028	struct/union member must be inside a struct/union
2029	C2029	left of '%$*' specifies undefined class/struct/interface '%$*'
2032	C2032	'%$S' : function cannot be member of %$B '%$C'
2033	C2033	'%$S' : bit field cannot have indirection
2034	C2034	'%$S' : type of bit field too small for number of bits
2036	C2036	'%$T' : unknown size
2037	C2037	left of '%$I' specifies undefined struct/union '%$S'
2039	C2039	'%$*' : is not a member of '%$pS'
2040	C2040	'%$*' : '%$T' differs in levels of indirection from '%$T'
2041	C2041	illegal digit '%c' for base '%d'
2042	C2042	signed/unsigned keywords mutually exclusive
2043	C2043	illegal break
2044	C2044	illegal continue
2045	C2045	'%$I' : label redefined
2046	C2046	illegal case
2047	C2047	illegal default
2048	C2048	more than one default
2050	C2050	switch expression not integral
2051	C2051	case expression not constant
2052	C2052	'%$T' : illegal type for case expression
2053	C2053	'%$S' : wide string mismatch
2054	C2054	expected '(' to follow '%$*'
2055	C2055	expected formal parameter list, not a type list
2056	C2056	illegal expression
2057	C2057	expected constant expression
2058	C2058	constant expression is not integral
2059	C2059	syntax error : '%$*'
2060	C2060	syntax error : end of file found
2061	C2061	syntax error : identifier '%$I'
2062	C2062	type '%$T' unexpected
2063	C2063	'%$S' : not a function
2064	C2064	term does not evaluate to a function taking %d arguments
2065	C2065	'%$I' : undeclared identifier
2066	C2066	cast to function type is illegal
2067	C2067	cast to array type is illegal
2069	C2069	cast of 'void' term to non-'void'
2070	C2070	'%$T': illegal sizeof operand
2071	C2071	'%$S' : illegal storage class
2072	C2072	'%$S' : initialization of a function
2073	C2073	'%$S' : elements of partially initialized array must have a default constructor
2074	C2074	'%$S' : '%$B' initialization needs curly braces
2075	C2075	'%$S' : array initialization needs curly braces
2077	C2077	non-scalar field initializer '%$pS'
2078	C2078	too many initializers
2079	C2079	'%$S' uses undefined %$B '%$S'
2081	C2081	'%$S' : name in formal parameter list illegal
2082	C2082	redefinition of formal parameter '%$I'
2083	C2083	%$B comparison illegal
2084	C2084	function '%$pD' already has a body
2085	C2085	'%$I' : not in formal parameter list
2086	C2086	'%$pD' : redefinition
2087	C2087	'%$I' : missing subscript
2088	C2088	'%$L' : illegal for %$B
2089	C2089	'%$S' : '%$B' too large
2090	C2090	function returns array
2091	C2091	function returns function
2092	C2092	'%$I' array element type cannot be function
2093	C2093	'%$S' : cannot be initialized using address of automatic variable '%$pS'
2094	C2094	label '%$S' was undefined
2095	C2095	'%s' : actual parameter has type 'void' : parameter %d
2097	C2097	illegal initialization
2099	C2099	initializer is not a constant
2100	C2100	illegal indirection
2101	C2101	'%$L' on constant
2102	C2102	'%$L' requires l-value
2103	C2103	'%$L' on register variable
2104	C2104	'%$L' on bit field ignored
2105	C2105	'%$L' needs l-value
2106	C2106	'%$L' : left operand must be l-value
2107	C2107	illegal index, indirection not allowed
2108	C2108	subscript is not of integral type
2109	C2109	subscript requires array or pointer type
2110	C2110	'%$L' : cannot add two pointers
2111	C2111	'%$L' : pointer addition requires integral operand
2112	C2112	'%$L' : pointer subtraction requires integral or pointer operand
2113	C2113	'%$L' : pointer can only be subtracted from another pointer
2114	C2114	'%$L' : pointer on left; needs integral value on right
2115	C2115	'%$L' : incompatible types
2116	C2116	function parameter lists differed
2117	C2117	'%$pS' : array bounds overflow
2118	C2118	negative subscript
2120	C2120	'void' illegal with all types
2121	C2121	'#' : invalid character : possibly the result of a macro expansion
2122	C2122	'%$*' : prototype parameter in name list illegal
2124	C2124	divide or mod by zero
2128	C2128	'%$pS' : alloc_text/same_seg applicable only to functions with C linkage
2129	C2129	static function '%$pD' declared but not defined
2130	C2130	#line expected a string containing the filename, found '%$L'
2132	C2132	syntax error : unexpected identifier
2133	C2133	'%$S' : unknown size
2135	C2135	'%$L' : illegal bit field operation
2137	C2137	empty character constant
2138	C2138	illegal to define an enumeration without any members
2139	C2139	'%$pS' : an undefined class is not allowed as an argument to compiler intrinsic type trait '%$L'
2140	C2140	'%$T' : a type that is dependent on a generic type parameter is not allowed as an argument to compiler intrinsic type trait '%$L'
2141	C2141	array size overflow
2142	C2142	function declarations differ, variable parameters specified only in one of them
2143	C2143	syntax error : missing '%$L' before '%$*'
2144	C2144	syntax error : '%$*' should be preceded by '%$L'
2145	C2145	syntax error : missing '%$L' before identifier
2146	C2146	syntax error : missing '%$L' before identifier '%$I'
2147	C2147	syntax error : '%$L' is a new keyword
2148	C2148	total size of array must not exceed 0x%x bytes
2149	C2149	'%$S' : named bit field cannot have zero width
2150	C2150	'%$S' : bit field must have type 'int', 'signed int', or 'unsigned int'
2151	C2151	more than one language attribute
2152	C2152	'%$L' : pointers to functions with different attributes
2153	C2153	hex constants must have at least one hex digit
2155	C2155	'?' : invalid left operand, expected arithmetic or pointer type
2156	C2156	pragma must be outside function
2157	C2157	'%$I' : must be declared before use in pragma list
2158	C2158	'%$S' : #pragma make_public directive is currently supported for native non-template types only
2159	C2159	more than one storage class specified
2160	C2160	'##' cannot occur at the beginning of a macro definition
2161	C2161	'##' cannot occur at the end of a macro definition
2162	C2162	expected macro formal parameter
2163	C2163	'%s' : not available as an intrinsic function
2164	C2164	'%$S' : intrinsic function not declared
2165	C2165	'%$L' : cannot modify pointers to data
2166	C2166	l-value specifies const object
2167	C2167	'%s' : too many actual parameters for intrinsic function
2168	C2168	'%s' : too few actual parameters for intrinsic function
2169	C2169	'%$S' : intrinsic function, cannot be defined
2170	C2170	'%$I' : not declared as a function, cannot be intrinsic
2171	C2171	'%$L' : illegal on operands of type '%$T'
2172	C2172	'%s' : actual parameter is not a pointer : parameter %d
2173	C2173	'%s' : actual parameter is not a pointer : parameter %d, parameter list %d
2174	C2174	'%s' : actual parameter has type 'void' : parameter %d, parameter list %d
2175	C2175	'%s' : invalid locale
2177	C2177	constant too big
2179	C2179	'%$T' : an attribute argument cannot use type parameters
2180	C2180	controlling expression has type '%$T'
2181	C2181	illegal else without matching if
2182	C2182	'%$I' : illegal use of type 'void'
2183	C2183	syntax error: translation unit is empty
2184	C2184	'%$T' : illegal type for __except expression
2185	C2185	'%$S' : illegal based allocation
2186	C2186	'%$L' : illegal operand of type 'void'
2188	C2188	'%d' : too big for wide character
2190	C2190	first parameter list longer than second
2191	C2191	second parameter list longer than first
2192	C2192	parameter '%d' declaration different
2193	C2193	'%$pS' : already in a segment
2194	C2194	'%$S' : is a text segment
2195	C2195	'%$S' : is a data segment
2196	C2196	case value '%$*' already used
2197	C2197	'%$*' : too many arguments for call
2198	C2198	'%$*' : too few arguments for call
2199	C2199	syntax error : found '%$* (' at global scope (was a declaration intended?)
2200	C2200	'%$pS' : function has already been defined
2201	C2201	'%$S' : must have external linkage in order to be exported/imported
2202	C2202	'%s' : not all control paths return a value
2203	C2203	delete operator cannot specify bounds for an array
2204	C2204	'%$S' : type definition found within parentheses
2205	C2205	'%$S' : cannot initialize extern variables with block scope
2206	C2206	'%$S' : typedef cannot be used for function definition
2208	C2208	'%$T' : no members defined using this type
2212	C2212	'%$S' : __based not available for pointers to functions
2213	C2213	'%$I' : illegal argument to __based
2214	C2214	pointers based on 'void' require the use of :>
2216	C2216	'%$L' cannot be used with '%$L'
2217	C2217	'%$L' requires '%$L'
2219	C2219	syntax error : type qualifier must be after '*'
2220	C2220	warning treated as error - no '%s' file generated
2221	C2221	unexpected type '%$T': must be a native class/struct/union type
2223	C2223	left of '->%$I' must point to struct/union
2224	C2224	left of '.%$I' must have struct/union type
2226	C2226	syntax error : unexpected type '%$S'
2227	C2227	left of '->%$I' must point to class/struct/union/generic type
2228	C2228	left of '.%$I' must have class/struct/union
2229	C2229	%$B '%$C' has an illegal zero-sized array
2231	C2231	'.%$*' : left operand points to '%$B', use '->'
2232	C2232	'->%$*' : left operand has '%$B' type, use '.'
2233	C2233	'%$I' : arrays of objects containing zero-size arrays are illegal
2234	C2234	'%$I' : arrays of references are illegal
2236	C2236	unexpected '%$*' '%$S'. Did you forget a ';'?
2238	C2238	unexpected token(s) preceding '%$L'
2241	C2241	'%$pS' : member access is restricted
2242	C2242	typedef name cannot follow class/struct/union
2243	C2243	'%$L' : conversion from '%$T' to '%$T' exists, but is inaccessible
2244	C2244	'%$pS' : unable to match function definition to an existing declaration
2245	C2245	non-existent member function '%$S' specified as friend (member function signature does not match any overload)
