# DISASSEMBLY-DERIVED — generated by docs/whitebox/scripts/build_strings.py.
# Literals from c2.dll plus the functions that reference them. Do not paste
# any value into crates/ without a docs/whitebox/DISCLOSURE.md entry.
addr	section	len	nxref	xref_funcs	source	value
10b02270	.text	92	4	10b4c762,10b4cb5d,10b50409,10b529f6	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\globopt.c
10b02300	.text	94	1	10b55eae	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\globregs.c
10b02360	.text	12	2	10b58472,10c27852	ghidra+raw	__$ArrayPad
10b0236c	.text	10	0		raw	$rtcName$
10b0236d	.text	9	2	10b591ad	ghidra	rtcName$
10b02378	.text	16	3	10b592d6	ghidra+raw	$rtcFrameData
10b02388	.text	12	3	10b592d6	ghidra+raw	$rtcVarDesc
10b02394	.text	15	1		ghidra+raw	_RTC_UninitUse
10b023a4	.text	16	0		ghidra+raw	_RTC_InitAdvMem
10b023b4	.text	14	1		ghidra+raw	_RTC_Shutdown
10b023c4	.text	14	1		ghidra+raw	_RTC_InitBase
10b023d4	.text	9	2	10b5902e,10b598a4	ghidra+raw	.rtc$TMZ
10b023e0	.text	9	2	10b5902e,10b598a4	ghidra+raw	.rtc$IMZ
10b023ec	.text	6	4	10b5902e,10b59091,10b9a143,10be7b9e	ghidra+raw	CONST
10b023f4	.text	7	1	10b591ad	ghidra+raw	%s%s%d
10b023fc	.text	5	0		raw	%s%s
10b02404	.text	21	1	10b59623	ghidra+raw	_RTC_AllocaHelper@12
10b0241c	.text	14	1	10b59623	ghidra+raw	__$AllocaPad$
10b02430	.text	86	4	10b5a1fc,10b5a31c,10b5b0ee,10b5b1a0	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\hash.c
10b024d0	.text	5	0		raw	PAGE
10b024d8	.text	13	2	10b5c8fb	ghidra+raw	__$ReturnUdt
10b024e8	.text	16	1	10b5c9fa	ghidra+raw	EH/UDT conflict
10b024f8	.text	90	2	10b5cfd4,10b5f048	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\inline.c
10b02554	.text	17	1	10b5e9a5	ghidra+raw	will cause C4714
10b02568	.text	16	1	10b5e9a5	ghidra+raw	Global opts off
10b02578	.text	15	1	10b5e9a5	ghidra+raw	Global opts on
10b02588	.text	24	1	10b5fb5f	ghidra+raw	EH/Global opts conflict
10b025a0	.text	55	1	10b60930	ghidra	INL:\t!!! InlBadCandidate said not to inline %s into %s
10b025a5	.text	50	0		raw	!!! InlBadCandidate said not to inline %s into %s
10b025d8	.text	18	2	10b620fc,10ba1c2d	ghidra	%s (linear flow)\n
10b025ec	.text	35	3	10b620fc,10ba1c2d	ghidra	INL:\tInlining %s (%d instrs) into 
10b025f1	.text	30	0		raw	Inlining %s (%d instrs) into 
10b02610	.text	16	1	10b620fc	ghidra+raw	SEH/EH conflict
10b02620	.text	40	2	10b62675,10ba19b9	ghidra	ERR:\t%s has been edited; Pogo disabled\n
10b02648	.text	16	1	10b6633d	ghidra+raw	DummySafeGlobal
10b02658	.text	12	1	10b6633d	ghidra+raw	DummyGlobal
10b02664	.text	20	1		ghidra+raw	__CAP_End_Profiling
10b02678	.text	22	1		ghidra+raw	__CAP_Start_Profiling
10b02690	.text	16	0		ghidra+raw	__CAP_Profiling
10b026a0	.text	8	0		ghidra+raw	va_end
10b026a8	.text	5	0		raw	powf
10b026b0	.text	16	0		ghidra+raw	__sregister_set
10b026c0	.text	16	0		ghidra+raw	__sregister_get
10b026d0	.text	16	0		ghidra+raw	__gregister_set
10b026e0	.text	16	0		ghidra+raw	__gregister_get
10b026f0	.text	8	0		ghidra+raw	__emit
10b026f8	.text	5	0		raw	cpow
10b02700	.text	5	0		raw	cdiv
10b02708	.text	12	0		ghidra+raw	setjmpex
10b02714	.text	7	0		raw	floorf
10b0271c	.text	6	0		raw	ceilf
10b02724	.text	6	0		raw	sqrtf
10b0272c	.text	12	0		ghidra+raw	va_start
10b02738	.text	7	0		raw	va_arg
10b02740	.text	7	1	10bf7c59	ghidra+raw	setjmp
10b02748	.text	6	0		raw	tanhl
10b02750	.text	5	0		raw	tanl
10b02758	.text	6	0		raw	sqrtl
10b02760	.text	6	0		raw	sinhl
10b02768	.text	5	0		raw	sinl
10b02770	.text	7	0		raw	log10l
10b02778	.text	5	0		raw	logl
10b02780	.text	6	0		raw	fmodl
10b02788	.text	8	0		ghidra+raw	floorl
10b02790	.text	5	0		raw	expl
10b02798	.text	6	0		raw	coshl
10b027a0	.text	5	0		raw	cosl
10b027a8	.text	8	0		ghidra+raw	ceill
10b027b0	.text	7	0		raw	atan2l
10b027b8	.text	6	0		raw	atanl
10b027c0	.text	6	0		raw	asinl
10b027c8	.text	6	0		raw	acosl
10b027d0	.text	8	0		ghidra+raw	floor
10b027d8	.text	5	0		raw	ceil
10b027e0	.text	10	0		raw	verify@20
10b027ec	.text	8	0		raw	scan@20
10b027f4	.text	12	0		ghidra+raw	lentrim@8
10b02800	.text	9	0		raw	index@20
10b0280c	.text	12	0		ghidra+raw	nearsest
10b02818	.text	8	0		ghidra+raw	nearest
10b02824	.text	12	0		ghidra+raw	FClccheck
10b02830	.text	8	0		raw	FClccop
10b02838	.text	12	0		ghidra+raw	FClcconc
10b02844	.text	6	0		raw	FFeof
10b0284c	.text	8	0		raw	cleq@16
10b02854	.text	8	0		raw	clne@16
10b0285c	.text	8	0		raw	cllt@16
10b02864	.text	8	0		raw	clle@16
10b0286c	.text	8	0		raw	clgt@16
10b02874	.text	8	0		raw	clge@16
10b0287c	.text	5	0		raw	tanh
10b02884	.text	6	0		raw	tanhf
10b0288c	.text	5	0		raw	cosh
10b02894	.text	6	0		raw	coshf
10b0289c	.text	5	0		raw	sinh
10b028a4	.text	6	0		raw	sinhf
10b028ac	.text	6	0		raw	atan2
10b028b4	.text	7	0		raw	atan2f
10b028bc	.text	5	0		raw	atan
10b028c4	.text	6	0		raw	atanf
10b028cc	.text	5	0		raw	acos
10b028d4	.text	6	0		raw	acosf
10b028dc	.text	5	0		raw	asin
10b028e4	.text	8	0		ghidra+raw	asinf
10b028ec	.text	8	0		ghidra+raw	algamma
10b028f4	.text	8	0		ghidra+raw	algama
10b028fc	.text	8	0		ghidra+raw	gamma
10b02904	.text	5	0		raw	erfc
10b02910	.text	8	0		ghidra+raw	cotan
10b0291c	.text	5	0		raw	tanf
10b02924	.text	5	0		raw	ccos
10b02930	.text	5	0		raw	cosf
10b02938	.text	5	0		raw	csin
10b02944	.text	5	0		raw	sinf
10b0294c	.text	6	0		raw	log10
10b02954	.text	7	0		raw	log10f
10b0295c	.text	5	0		raw	clog
10b02968	.text	5	0		raw	logf
10b02970	.text	5	0		raw	cexp
10b0297c	.text	5	0		raw	expf
10b02984	.text	6	0		raw	csqrt
10b0298c	.text	5	0		raw	sqrt
10b02994	.text	6	0		raw	conjg
10b0299c	.text	8	0		ghidra+raw	aimag
10b029a4	.text	12	0		ghidra+raw	FClindex
10b029b0	.text	5	0		raw	len4
10b029b8	.text	5	0		raw	len2
10b029c0	.text	5	0		raw	len1
10b029c8	.text	8	0		ghidra+raw	dprod
10b029d4	.text	5	0		raw	sign
10b029dc	.text	5	0		raw	fmod
10b029e4	.text	6	0		raw	fmodf
10b029ec	.text	5	0		raw	cabs
10b029f4	.text	8	0		ghidra+raw	anint
10b029fc	.text	5	0		raw	aint
10b12af8	.text	24	1		ghidra+raw	Vector dependency stall
10b12b14	.text	28	0		ghidra+raw	Vector structural hazard
10b12b34	.text	18	1		ghidra+raw	Vector queue full
10b12b4c	.text	17	1		ghidra+raw	Dependency stall
10b12b64	.text	41	1		ghidra+raw	Dependency stall for address calculation
10b12b94	.text	20	0		ghidra+raw	Structural hazard
10b12bac	.text	34	1		ghidra+raw	Stalled for microcode instruction
10b12bd4	.text	38	1		ghidra+raw	Stalled for non-pipelined instruction
10b12c00	.text	32	1		ghidra+raw	Possible load-hit-store penalty
10b12c20	.text	7	1		ghidra+raw	LHSUSE
10b12c28	.text	30	2	10b6fedd	ghidra+raw	Possible branch flush penalty
10b12c4c	.text	34	2	10b6fedd	ghidra+raw	Possible load-hit-store condition
10b12d30	.text	22	1	10b6fedd	ghidra	; %9s  %5u   %6u  %s\n
10b12d48	.text	42	1	10b6fedd	ghidra	; Indicator  Count   Cycles  Description\n
10b12d74	.text	56	1	10b6fedd	ghidra	;  ***  Summary of stalls since start of function  ***\n
10b12dac	.text	44	1	10b6fedd	ghidra	;  ***  Stalls since previous summary  ***\n
10b12dd8	.text	41	1	10b6fedd	ghidra	;  ***  Stall summary for function  ***\n
10b12e04	.text	26	1	10b6ff92	ghidra+raw	, VMX IPC = %u/%u = %0.3f
10b12e20	.text	38	1	10b6ff92	ghidra+raw	; Estimated block IPC = %u/%u = %0.3f
10b12e4f	.text	21	0		ghidra+raw	AInjected code %S
10b12e7c	.text	31	1	10b706ef	ghidra	\t\ttaken %I64u, not-taken %I64u
10b12e7e	.text	29	0		raw	taken %I64u, not-taken %I64u
10b12e9c	.text	43	1	10b706ef	ghidra	\t\ttaken %I64u(%u%%), not-taken %I64u(%u%%)
10b12e9e	.text	41	0		raw	taken %I64u(%u%%), not-taken %I64u(%u%%)
10b12ecc	.text	8	1	10b7089e	ghidra+raw	0%.8lxr
10b12edc	.text	13	1	10b7089e	ghidra+raw	0%.8lx%.8lxr
10b12eec	.text	9	3	10b7089e,10b709b8	ghidra+raw	%ld DUP(
10b12efc	.text	7	1	10b709b8	ghidra+raw	0%01xH
10b12f04	.text	5	0		raw	0%xH
10b12f0c	.text	6	1	10b709b8	ghidra+raw	0%lxH
10b12f14	.text	12	1	10b709b8	ghidra+raw	%08lx%08lxH
10b12f20	.text	86	4	10b709b8,10b71933	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\list.c
10b12f78	.text	5	0		raw	BYTE
10b12f80	.text	5	0		raw	WORD
10b12f88	.text	6	2	10b70c36,10b70c0c	ghidra+raw	DWORD
10b12f90	.text	6	1	10b70c0c	ghidra+raw	QWORD
10b12f98	.text	5	0		raw	PARA
10b12fa0	.text	18	1	10b70c58	ghidra	 File %s
10b12fb4	.text	11	1	10b70d98	ghidra+raw	; Line %ld
10b12fc0	.text	26	1	10b70dbe	ghidra+raw	 Listing generated by %s 
10b12fe0	.text	14	1	10b70e57	ghidra+raw	 /QVMXReserve
10b12ff0	.text	14	1	10b70e57	ghidra+raw	 /QGPRReserve
10b13000	.text	5	0		raw	 /GZ
10b13008	.text	6	1	10b70e57	ghidra+raw	 /RTC
10b13038	.text	26	1	10b70e57	ghidra+raw	 Function compile flags: 
10b13054	.text	22	1	10b71016	ghidra+raw	 Instrs(%d) Bytes(%d)
10b1306c	.text	6	1	10b71016	ghidra+raw	 Out(
10b13078	.text	5	0		raw	 In(
10b13084	.text	14	1	10b71016	ghidra+raw	 Count(%I64d)
10b13094	.text	11	1	10b71016	ghidra+raw	 Block(%d)
10b130a0	.text	11	1	10b711b4	ghidra+raw	 %-5lu: %s
10b130ac	.text	7	1	10b71324	ghidra+raw	PUBLIC
10b130b4	.text	6	1	10b713ea	ghidra+raw	%s:%s
10b130bc	.text	6	1	10b713ea	ghidra+raw	EXTRN
10b130c4	.text	5	0		raw	PROC
10b130cc	.text	14	1		ghidra+raw	0%lxH DUP (?)
10b130dc	.text	11	1		ghidra	\tALIGN\t%d\n
10b130e8	.text	7	1		ghidra+raw	:0%lxH
10b130f0	.text	11	1		ghidra	COMM\t%s:%s
10b130f5	.text	6	0		raw	%s:%s
10b130fc	.text	13	1	10b71709	ghidra+raw	0%xH DUP (?)
10b13110	.text	5	0		raw	%+ld
10b13118	.text	6	1	10b71933	ghidra+raw	FLAT:
10b13120	.text	9	1	10b71933	ghidra	ALIGN\t%s
10b1312c	.text	8	1		ghidra+raw	 COMMON
10b13134	.text	11	1		ghidra	\t%s%s '%s'
10b13135	.text	10	0		raw	%s%s '%s'
10b13140	.text	8	2		ghidra+raw	 PUBLIC
10b13148	.text	11	1		ghidra	%s\tSEGMENT
10b1314b	.text	8	0		raw	SEGMENT
10b13154	.text	12	1		ghidra	\tCOMDAT %s\n
10b13160	.text	36	1	10b71d8f	ghidra+raw	; Estimated VMX IPC = %d/%d = %0.3f
10b13184	.text	32	1	10b71d8f	ghidra+raw	; Estimated IPC = %d/%d = %0.3f
10b131a4	.text	26	1	10b71d8f	ghidra+raw	 Scenario dead code below
10b131c0	.text	21	1	10b71d8f	ghidra+raw	 entered %I64u times
10b131d8	.text	22	1	10b71d8f	ghidra+raw	 %I64u dynamic instrs
10b131f0	.text	11	1	10b71d8f	ghidra+raw	 %s probes
10b131fc	.text	26	1	10b71d8f	ghidra+raw	 External Pogo thunk for 
10b13218	.text	11	1	10b71d8f	ghidra+raw	.endprolog
10b13224	.text	8	1	10b71d8f	ghidra+raw	 V %u%c
10b1322c	.text	13	1	10b71d8f	ghidra+raw	(from I %u%c
10b13244	.text	11	1	10b71d8f	ghidra+raw	         ]
10b13250	.text	10	1	10b71d8f	ghidra+raw	 V %5d%c]
10b1325c	.text	11	1	10b71d8f	ghidra+raw	; [I %5d%c
10b1326c	.text	44	1	10b71d8f	ghidra+raw	 V <vector issue cycle><setup pipeline U|L>
10b13298	.text	30	1	10b71d8f	ghidra+raw	; [I <issue cycle><slot A|B)>
10b132b8	.text	38	1	10b71d8f	ghidra+raw	; /QXSTALLS comments are of the form:
10b132e0	.text	7	2	10b72c0a,10b72d14	ghidra+raw	ILFILE
10b132e8	.text	6	3	10be8234,10b73c48,10b72c0a	ghidra+raw	.cil$
10b132f0	.text	8	1	10b72d14	ghidra+raw	.cil$fg
10b132f8	.text	86	2	10b72fe7,10b73c48	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\ltcg.c
10b13350	.text	7	0		raw	__imp_
10b13390	.text	11	1	10b73923	ghidra+raw	-compiler:
10b133a8	.text	24	2	10b74236,10c278f2	ghidra+raw	__security_check_cookie
10b133c0	.text	15	1		ghidra+raw	WHILE_BITCOUNT
10b133d0	.text	20	1		ghidra+raw	REDUCTION_NOT_FIXED
10b133e4	.text	31	1		ghidra+raw	DO_REJECTED_FG_BLK_CNT_TOO_BIG
10b13404	.text	26	1		ghidra+raw	DO_REJECTED_TUP_CNT_GT_50
10b13420	.text	28	1		ghidra+raw	DO_REJECTED_STORES_EQ_LOADS
10b1343c	.text	33	1		ghidra+raw	DO_REJECTED_ONLY_STORES_NO_LOADS
10b13460	.text	35	1		ghidra+raw	DO_REJECTED_NO_FLOPS_AND_NO_STORES
10b13484	.text	34	1		ghidra+raw	DO_REJECTED_NO_FLOPS_AND_NO_LOADS
10b134a8	.text	20	1		ghidra+raw	DO_REJECTED_NO_MEAT
10b134bc	.text	40	1		ghidra+raw	DO_REJECTED_CONTAINS_INADMISSABLE_TUPLE
10b134e4	.text	29	1		ghidra+raw	WHILE_REJECTED_CONTAINS_CALL
10b13504	.text	41	1		ghidra+raw	DO_REJECT_NOT_WORTH_USING_REMAINDER_LOOP
10b13530	.text	31	1		ghidra+raw	DO_REJECT_BLOCK_MOVE_INTRINSIC
10b13550	.text	16	1		ghidra+raw	NO_ZTRIP_REJECT
10b13560	.text	18	1		ghidra+raw	OUTER_LOOP_REJECT
10b13574	.text	14	1		ghidra+raw	HASTRY_REJECT
10b13584	.text	11	1		ghidra+raw	NRF_REJECT
10b13590	.text	15	1		ghidra+raw	WHILE_REJECTED
10b135a0	.text	18	1		ghidra+raw	DO_REJECT_REDUCES
10b135b4	.text	17	1		ghidra+raw	DO_REJECT_STRIDE
10b135c8	.text	12	1		ghidra+raw	DO_REJECTED
10b135d4	.text	9	1		ghidra+raw	HOPELESS
10b135e0	.text	17	1		ghidra+raw	ONE_IF_ITERATION
10b135f4	.text	11	1		ghidra+raw	DUMB_WHILE
10b13600	.text	10	1		ghidra+raw	REDUCTION
10b1360c	.text	8	1		ghidra+raw	DOWHILE
10b13614	.text	6	1		ghidra+raw	WHILE
10b13620	.text	8	1		ghidra+raw	UNKNOWN
10b13628	.text	84	4	10b75e1e,10b765b5,10b77547,10b7abd5	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\lur.c
10b1367c	.text	28	2	10b7e339,10b7e44d	ghidra	%s[0x%p:0x%p]
10b13698	.text	86	4	10b7e339,10b7e44d	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\main.c
10b136f0	.text	28	1	10b7e4f0	ghidra	MSC_CMD_FLAGS
10b13828	.text	86	5	10b7f3f4,10b80179,10b85452,10b855b9,10b86b6c	ghidra	e:\\bt\\278379\\vctools\\compiler\\be\\p2\\misc.c
10b13880	.text	7	1	10c117cf	ghidra+raw	LIBCMT
10b13888	.text	8	1	10c117cf	ghidra+raw	LIBCMTD
10b13890	.text	12	2	10b825de	ghidra+raw	__fltused
10b1389c	.text	10	1	10bf7c59	ghidra+raw	_setjmpex
10b138a8	.text	10	2	10b848dc	ghidra	.asm
10b138b4	.text	10	2	10b848dc	ghidra	.cod
10b138e8	.text	12	1	10b855b9	ghidra+raw	__real@%.8x
10b138f4	.text	16	1	10b855b9	ghidra+raw	__real@%.8x%.8x
10b13904	.text	11	1	10b855b9	ghidra+raw	__pool@_%d
10b13910	.text	23	1	10b85a19	ghidra+raw	__vmx@%.8x%.8x%.8x%.8x
10b13928	.text	15	2	10b86b6c	ghidra+raw	__RTCastToVoid
10b13938	.text	16	2	10b86b6c	ghidra+raw	__RTDynamicCast
10b13948	.text	19	1	10b86b6c	ghidra+raw	_CxxThrowException
10b1395c	.text	43	1	10b88916	ghidra+raw	__MscInitializerDummyFuncSymbolUniqueName1
10b1398c	.text	32	1		ghidra	-memoryBarriers
10b139ac	.text	18	1		ghidra	-typedil
10b139d0	.text	18	1		ghidra	-schdat#
10b139e4	.text	10	1		ghidra	-UI#
10b139f0	.text	20	1		ghidra	-mnunmrf#
10b13a04	.text	26	1		ghidra	-MPdiagMutex
10b13a20	.text	36	1		ghidra	-errorreport:none
10b13a44	.text	36	1		ghidra	-errorreport:send
10b13a68	.text	40	1		ghidra	-errorreport:prompt
10b13a90	.text	38	1		ghidra	-errorreport:queue
10b13ab8	.text	28	1		ghidra	-PogoSafeMode
10b13ad4	.text	28	1		ghidra	-PogoNoThunks
10b13af0	.text	22	1		ghidra	-PogoKmode
10b13b08	.text	28	1		ghidra	-PogoNtoskrnl
10b13b24	.text	36	1		ghidra	-PogoCodeCoverage
10b13b48	.text	20	1		ghidra	-QXnoxbld
10b13b5c	.text	38	1		ghidra	-QXnoloopreduction
10b13b84	.text	22	1		ghidra	-QXnonov10
10b13b9c	.text	22	1		ghidra	-QXnojan10
10b13bb4	.text	22	1		ghidra	-QXnonov08
10b13bcc	.text	24	1		ghidra	-QXnopreinc
10b13be4	.text	20	1		ghidra	-QXnobdnz
10b13bf8	.text	12	1		ghidra	-QDD2
10b13c04	.text	20	1		ghidra	-QXSTALLS
10b13c18	.text	26	1		ghidra	-Qhypervisor
10b13c34	.text	18	1		ghidra	-Qoptasm
10b13c48	.text	14	1		ghidra	-QFPU#
10b13c58	.text	26	1		ghidra	-QGPRReserve
10b13c74	.text	26	1		ghidra	-QVMXReserve
10b13c90	.text	18	1		ghidra	-QVMX128
10b13ca4	.text	16	1		ghidra	-QPfpe-
10b13cb4	.text	14	1		ghidra	-QPifp
10b13cc4	.text	14	1		ghidra	-QPiim
10b13cd4	.text	16	1		ghidra	-QPltls
10b13ce4	.text	10	1		ghidra	-QPi
10b13cf0	.text	10	1		ghidra	-QPa
10b13cfc	.text	12	1		ghidra	-xoff
10b13d08	.text	24	1		ghidra	-AlignFuncs
10b13d28	.text	10	1		ghidra	-Ob#
10b13d34	.text	36	1		ghidra	-initialAppDomain
10b13d58	.text	14	1		ghidra	-NoLUR
10b13d68	.text	32	1		ghidra	-Qsafe_fp_loads
10b13d88	.text	46	1		ghidra	-Qfast_transcendentals
10b13db8	.text	38	1		ghidra	-Qimprecise_fwaits
10b13de0	.text	10	1		ghidra	-cap
10b13dec	.text	18	1		ghidra	-callcap
10b13e00	.text	10	1		ghidra	-Fg#
10b13e0c	.text	10	1		ghidra	-pv#
10b13e18	.text	10	1		ghidra	-po#
10b13e24	.text	10	1		ghidra	-pi#
10b13e30	.text	12	1		ghidra	-pgu#
10b13e3c	.text	12	1		ghidra	-pgo#
10b13e48	.text	12	1		ghidra	-pgi#
10b13e54	.text	16	1		ghidra	-pinth#
10b13e64	.text	10	1		ghidra	-omp
10b13e70	.text	24	1		ghidra	-nowarn4786
10b13e88	.text	24	1		ghidra	-nowarn4715
10b13ea8	.text	10	1		ghidra	-dos
10b13eb4	.text	10	1		ghidra	-Fo#
10b13ec8	.text	46	1		ghidra	-OptCodeDebugParamOnly
10b13ef8	.text	62	1		ghidra	-OptCodeDebugIncludeMaybeRange
10b13f38	.text	10	1		ghidra	-Zi+
10b13f44	.text	10	1		ghidra	-Zo-
10b13f50	.text	12	1		ghidra	-Zvc6
10b13f7c	.text	16	1		ghidra	-Brepro
10b13f94	.text	10	1		ghidra	-Fs#
10b13fa0	.text	10	1		ghidra	-Fa#
10b13fac	.text	10	1		ghidra	-FA#
10b13fb8	.text	10	1		ghidra	-FAF
10b13fc4	.text	10	1		ghidra	-FAf
10b13fd0	.text	18	1		ghidra	-pchmap#
10b13fe4	.text	16	1		ghidra	-optref
10b13ff4	.text	12	1		ghidra	-ltcg
10b14000	.text	10	1		ghidra	-Fl#
10b1400c	.text	16	1		ghidra	-dslow#
10b1401c	.text	18	1		ghidra	-dshigh#
10b14030	.text	24	1		ghidra	-nodatasort
10b14048	.text	18	1		ghidra	-nopdata
10b1405c	.text	18	1		ghidra	-noehopt
10b14070	.text	14	1		ghidra	-ehopt
10b14080	.text	22	1		ghidra	-msilDebug
10b140b0	.text	10	1		ghidra	-MTd
10b140bc	.text	10	1		ghidra	-MDd
10b140c8	.text	10	1		ghidra	-MLd
10b140d4	.text	22	1		ghidra	-unwindtab
10b140ec	.text	32	1		ghidra	-useoldhandlers
10b1410c	.text	18	1		ghidra	-loopopt
10b14120	.text	14	1		ghidra	-Loop#
10b14130	.text	10	1		ghidra	-EHa
10b1413c	.text	10	1		ghidra	-EHs
10b14148	.text	12	1		ghidra	-vol#
10b14154	.text	20	1		ghidra	-inlipfw#
10b14168	.text	20	1		ghidra	-inldasw#
10b1417c	.text	20	1		ghidra	-inlcasw#
